,name,team_x,minutes
297,Mohamed Salah,Liverpool,1
301,Naby Keita,Liverpool,0
305,Curtis Jones,Liverpool,0
307,Luis Díaz,Liverpool,1
308,Harvey Elliott,Liverpool,0
309,Fábio Freitas Gouveia Carvalho,Liverpool,0
319,Ilkay Gündogan,Man City,1
320,Kevin De Bruyne,Man City,1
322,Riyad Mahrez,Man City,1
323,Jack Grealish,Man City,1
329,Bernardo Veiga de Carvalho e Silva,Man City,1
332,Phil Foden,Man City,1
333,Rodrigo Hernandez,Man City,1
334,Cole Palmer,Man City,0
335,James McAtee,Man City,0
342,Kalvin Phillips,Man City,1
349,Frederico Rodrigues de Paula Santos,Man Utd,1
351,Bruno Borges Fernandes,Man Utd,1
353,Marcus Rashford,Man Utd,1
354,Donny van de Beek,Man Utd,0
356,Scott McTominay,Man Utd,1
358,Jadon Sancho,Man Utd,1
362,Anthony Elanga,Man Utd,1
364,Facundo Pellistri Rebollo,Man Utd,0
367,Christian Eriksen,Man Utd,1
368,Jonjo Shelvey,Newcastle,1
378,Ryan Fraser,Newcastle,0
384,Jacob Murphy,Newcastle,1
387,Allan Saint-Maximin,Newcastle,1
388,Miguel Almirón Rejala,Newcastle,0
389,Sean Longstaff,Newcastle,1
390,Joelinton Cássio Apolinário de Lira,Newcastle,1
392,Joe Willock,Newcastle,1
393,Bruno Guimarães Rodriguez Moura,Newcastle,1
394,Jeff Hendrick,Newcastle,0
398,Harry Arter,Nott'm Forest,1
401,Jack Colback,Nott'm Forest,0
403,Carlos Ribeiro Dias,Nott'm Forest,0
404,Joe Lolley,Nott'm Forest,0
407,Ryan Yates,Nott'm Forest,0
410,Xande Nascimento da Costa Silva,Nott'm Forest,0
415,Alex Mighten,Nott'm Forest,0
416,Braian Ojeda Rodríguez,Nott'm Forest,0
424,Lewis O'Brien,Nott'm Forest,0
425,Jesse Lingard,Nott'm Forest,0
426,Roméo Lavia,Southampton,0
427,Theo Walcott,Southampton,0
429,Oriol Romeu Vidal,Southampton,1
430,Nathan Redmond,Southampton,1
432,Stuart Armstrong,Southampton,1
433,Mohamed Elyounoussi,Southampton,1
434,James Ward-Prowse,Southampton,1
439,Nathan Tella,Southampton,0
442,Will Smallbone,Southampton,0
443,Ibrahima Diallo,Southampton,1
445,Moussa Djenepo,Southampton,0
452,Joe Ayodele-Aribo,Southampton,1
456,Son Heung-min,Spurs,1
459,Lucas Rodrigues Moura da Silva,Spurs,1
462,Pierre-Emile Højbjerg,Spurs,1
463,Harry Winks,Spurs,0
466,Steven Bergwijn,Spurs,1
469,Rodrigo Bentancur,Spurs,1
470,Oliver Skipp,Spurs,0
473,Yves Bissouma,Spurs,1
475,Dejan Kulusevski,Spurs,1
478,Harvey White,Spurs,0
479,Pape Matar Sarr,Spurs,0
481,Alfie Devine,Spurs,0
491,Manuel Lanzini,West Ham,1
495,Saïd Benrahma,West Ham,1
496,Jarrod Bowen,West Ham,1
497,Nikola Vlasic,West Ham,0
498,Declan Rice,West Ham,1
499,Tomas Soucek,West Ham,1
500,Pablo Fornals Malla,West Ham,1
505,Flynn Downes,West Ham,0
511,Leander Dendoncker,Wolves,1
512,Rúben da Silva Neves,Wolves,1
513,Hwang Hee-chan,Wolves,1
515,Daniel Castelo Podence,Wolves,1
517,Luke Cundle,Wolves,0
518,Pedro Lomba Neto,Wolves,0
522,Francisco Jorge Tomás Oliveira,Wolves,0
523,Adama Traoré Diarra,Wolves,1
525,Morgan Gibbs-White,Wolves,0
527,João Filipe Iria Santos Moutinho,Wolves,1
