,name,team_x,minutes
931,Rico Henry,Brentford,1
933,Rico Lewis,Man City,0
937,Rob Holding,Arsenal,0
939,Robert Kenedy Nunes do Nascimento,Chelsea,0
945,Robin Koch,Leeds,1
957,Romain Perraud,Southampton,1
965,Ryan Bertrand,Leicester,0
971,Ryan Fredericks,Bournemouth,0
973,Ryan Sessegnon,Spurs,1
977,Rúben Gato Alves Dias,Man City,1
979,Rúben Nascimento Vinagre,Everton,1
997,Scott McKenna,Nott'm Forest,1
1001,Seamus Coleman,Everton,0
1005,Sepp van den Berg,Liverpool,0
1007,Sergi Canós Tenés,Brentford,0
1009,Sergio Reguilón,Spurs,0
1013,Shane Duffy,Fulham,0
1027,Steve Cook,Nott'm Forest,0
1035,Stuart Dallas,Leeds,0
1037,Sven Botman,Newcastle,0
1043,Takehiro Tomiyasu,Arsenal,0
1045,Tariq Lamptey,Brighton,0
1049,Terence Kongolo,Fulham,0
1055,Thiago Emiliano da Silva,Chelsea,1
1063,Tim Ream,Fulham,1
1067,Timothy Castagne,Leicester,1
1069,Tino Livramento,Southampton,0
1079,Tosin Adarabioyo,Fulham,1
1081,Toti António Gomes,Wolves,0
1083,Trent Alexander-Arnold,Liverpool,1
1085,Trevoh Chalobah,Chelsea,0
1093,Tyrell Malacia,Man Utd,0
1097,Tyrick Mitchell,Crystal Palace,1
1099,Tyrone Mings,Aston Villa,0
1103,Victor Lindelöf,Man Utd,0
1105,Virgil van Dijk,Liverpool,1
1107,Vitalii Mykolenko,Everton,1
1111,Vladimir Coufal,West Ham,1
1115,Wesley Fofana,Leicester,1
1127,William Saliba,Arsenal,1
1129,Willy Boly,Wolves,0
1135,Yan Valery,Southampton,0
1137,Yerry Mina,Everton,0
1139,Yerson Mosquera Valdelamar,Wolves,0
1151,Çaglar Söyüncü,Leicester,0
