,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1085,24948,0,1085,1,Folarin Balogun,44,FWD,Arsenal,Sheffield Utd,Arsenal
1,2,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,1691,44333,3684,1993,2,Cédric Alves Soares,39,DEF,Arsenal,Sheffield Utd,Arsenal
2,3,91,Sheffield Utd,4,True,2023-10-28T14:00:00Z,5,0,10,1,0,1,0,0,0,0,0,0,0,0,0,12,1.8,0.5,2.0,0.4,0,0.00,0.00,0.00,0.00,44,90,8952,805,715,3,Mohamed Elneny,44,MID,Arsenal,Sheffield Utd,Arsenal
3,4,91,Sheffield Utd,6,True,2023-10-28T14:00:00Z,5,0,10,17,1,0,0,0,0,0,0,0,0,0,0,22,33.4,5.6,19.0,5.8,0,0.79,0.02,0.81,0.00,54,-882,12005,209,1091,4,Fábio Ferreira Vieira,54,MID,Arsenal,Sheffield Utd,Arsenal
4,5,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,228872,1541268,270867,41995,5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,Sheffield Utd,Arsenal
5,6,91,Sheffield Utd,3,True,2023-10-28T14:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,0,0,7,4.2,16.3,9.0,3.0,1,0.28,0.04,0.32,0.03,71,-5493,160775,1292,6785,6,Kai Havertz,71,MID,Arsenal,Sheffield Utd,Arsenal
6,8,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,79,-64994,292608,22337,87331,8,Gabriel Fernando de Jesus,79,FWD,Arsenal,Sheffield Utd,Arsenal
7,9,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-42,18737,487,529,9,Jorge Luiz Frello Filho,53,MID,Arsenal,Sheffield Utd,Arsenal
8,10,91,Sheffield Utd,6,True,2023-10-28T14:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,0,0,25,13.0,1.5,2.0,1.7,1,0.00,0.02,0.02,0.03,43,-188,8667,121,309,10,Jakub Kiwior,43,DEF,Arsenal,Sheffield Utd,Arsenal
9,11,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-111,4999,0,111,11,Marcus Oliveira Alencar,45,MID,Arsenal,Sheffield Utd,Arsenal
10,12,91,Sheffield Utd,3,True,2023-10-28T14:00:00Z,5,0,10,65,0,0,1,0,0,0,0,0,0,0,0,17,16.4,44.0,33.0,9.3,1,0.09,0.38,0.47,0.03,77,57349,528784,84930,27581,12,Gabriel Martinelli Silva,77,MID,Arsenal,Sheffield Utd,Arsenal
11,13,91,Sheffield Utd,17,True,2023-10-28T14:00:00Z,5,0,10,90,3,0,1,0,0,0,0,0,0,0,3,77,100.8,2.8,74.0,17.8,1,0.96,0.02,0.98,0.03,55,-1954,520438,57360,59314,13,Eddie Nketiah,55,FWD,Arsenal,Sheffield Utd,Arsenal
12,14,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,85,-159675,2219658,57342,217017,14,Martin Ødegaard,85,MID,Arsenal,Sheffield Utd,Arsenal
13,15,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-735,19051,195,930,15,Thomas Partey,48,MID,Arsenal,Sheffield Utd,Arsenal
14,16,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-96,4884,0,96,16,Nicolas Pépé,49,MID,Arsenal,Sheffield Utd,Arsenal
15,17,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-82149,900682,3711,85860,17,Aaron Ramsdale,48,GKP,Arsenal,Sheffield Utd,Arsenal
16,18,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-333,10175,0,333,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Sheffield Utd,Arsenal
17,19,91,Sheffield Utd,6,True,2023-10-28T14:00:00Z,5,0,10,72,0,1,1,0,0,0,0,0,0,0,0,16,2.8,14.9,18.0,3.6,1,0.00,0.06,0.06,0.03,86,440171,5178459,540989,100818,19,Bukayo Saka,86,MID,Arsenal,Sheffield Utd,Arsenal
18,20,91,Sheffield Utd,7,True,2023-10-28T14:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,0,1,27,12.4,8.3,0.0,2.1,1,0.00,0.30,0.30,0.03,52,36611,2554328,116206,79595,20,William Saliba,52,DEF,Arsenal,Sheffield Utd,Arsenal
19,22,91,Sheffield Utd,6,True,2023-10-28T14:00:00Z,5,0,10,72,0,1,1,0,0,0,0,0,0,0,0,18,25.4,15.0,5.0,4.5,1,0.34,0.04,0.38,0.03,53,-287,11829,256,543,22,Emile Smith Rowe,53,MID,Arsenal,Sheffield Utd,Arsenal
20,24,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-335,11503,0,335,24,Kieran Tierney,44,DEF,Arsenal,Sheffield Utd,Arsenal
21,25,91,Sheffield Utd,7,True,2023-10-28T14:00:00Z,5,0,10,24,1,0,0,0,0,0,0,0,0,0,0,15,36.0,0.9,23.0,6.0,0,0.21,0.00,0.21,0.00,45,1618,28019,2948,1330,25,Takehiro Tomiyasu,45,DEF,Arsenal,Sheffield Utd,Arsenal
22,26,91,Sheffield Utd,1,True,2023-10-28T14:00:00Z,5,0,10,24,0,0,0,0,0,0,0,0,0,0,0,3,2.8,1.8,4.0,0.9,0,0.00,0.03,0.03,0.00,65,1509,162489,7688,6179,26,Leandro Trossard,65,MID,Arsenal,Sheffield Utd,Arsenal
23,29,91,Sheffield Utd,6,True,2023-10-28T14:00:00Z,5,0,10,65,0,0,1,0,0,0,0,0,0,0,0,24,11.6,2.6,17.0,3.1,1,0.04,0.01,0.05,0.03,56,134728,1479984,193115,58387,29,Benjamin White,57,DEF,Arsenal,Sheffield Utd,Arsenal
24,30,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-6,1027,0,6,30,Granit Xhaka,60,MID,Arsenal,Sheffield Utd,Arsenal
25,31,91,Sheffield Utd,8,True,2023-10-28T14:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,0,2,29,11.6,27.6,8.0,4.7,1,0.02,0.37,0.39,0.03,49,-11392,565982,25550,36942,31,Oleksandr Zinchenko,49,DEF,Arsenal,Sheffield Utd,Arsenal
26,113,91,Sheffield Utd,6,True,2023-10-28T14:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,0,0,19,3.2,0.0,0.0,0.3,1,0.00,0.00,0.00,0.03,48,40571,434574,58969,18398,113,David Raya Martin,48,GKP,Arsenal,Sheffield Utd,Arsenal
27,540,91,Sheffield Utd,6,True,2023-10-28T14:00:00Z,5,0,10,88,0,1,1,0,0,0,0,0,0,0,0,23,24.0,15.7,4.0,4.4,1,0.06,0.04,0.10,0.03,54,31433,488218,44411,12978,540,Declan Rice,54,MID,Arsenal,Sheffield Utd,Arsenal
28,578,91,Sheffield Utd,1,True,2023-10-28T14:00:00Z,5,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.8,0.0,0.2,0,0.00,0.00,0.00,0.00,49,-351,4368,165,516,578,Reiss Nelson,49,MID,Arsenal,Sheffield Utd,Arsenal
29,585,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,46,-1683,52143,79,1762,585,Jurriën Timber,46,DEF,Arsenal,Sheffield Utd,Arsenal
30,646,91,Sheffield Utd,0,True,2023-10-28T14:00:00Z,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,18,4906,268,250,646,Karl Hein,40,GKP,Arsenal,Sheffield Utd,Arsenal
31,32,92,Luton,0,True,2023-10-29T14:00:00Z,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-529,4745,69,598,32,Alexandre Moreno Lopera,50,DEF,Aston Villa,Luton,Aston Villa
32,34,92,Luton,4,True,2023-10-29T14:00:00Z,3,1,10,45,0,1,0,1,0,0,0,0,0,0,0,11,17.2,22.8,10.0,5.0,0,0.14,0.10,0.24,0.48,55,7341,110616,14718,7377,34,Leon Bailey,55,MID,Aston Villa,Luton,Aston Villa
33,35,92,Luton,0,True,2023-10-29T14:00:00Z,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,57,-72,4177,28,100,35,Emiliano Buendía Stati,57,MID,Aston Villa,Luton,Aston Villa
34,36,92,Luton,5,True,2023-10-29T14:00:00Z,3,1,10,78,0,0,1,0,0,0,0,1,0,0,0,26,9.8,23.1,2.0,3.5,1,0.00,0.32,0.32,0.11,51,190665,3540530,259661,68996,36,Matty Cash,52,DEF,Aston Villa,Luton,Aston Villa
35,37,92,Luton,0,True,2023-10-29T14:00:00Z,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,320,106072,5151,4831,37,Calum Chambers,39,DEF,Aston Villa,Luton,Aston Villa
