,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1453,26039,0,1453,1,Folarin Balogun,44,FWD,Chelsea,Arsenal,Arsenal
1,2,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,1172,42211,2986,1814,2,Cédric Alves Soares,39,DEF,Chelsea,Arsenal,Arsenal
2,3,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,324,8786,1006,682,3,Mohamed Elneny,44,MID,Chelsea,Arsenal,Arsenal
3,4,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-862,12793,313,1175,4,Fábio Ferreira Vieira,54,MID,Chelsea,Arsenal,Arsenal
4,5,84,Chelsea,1,False,2023-10-21T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,11,10.4,2.1,17.0,3.0,1,0.13,0.01,0.14,1.36,47,61588,1303504,106197,44609,5,Gabriel dos Santos Magalhães,47,DEF,Chelsea,Arsenal,Arsenal
5,6,84,Chelsea,1,False,2023-10-21T16:30:00Z,2,2,9,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,0.0,0.1,0,0.00,0.01,0.01,0.02,71,-3441,165616,2375,5816,6,Kai Havertz,71,MID,Chelsea,Arsenal,Arsenal
6,8,84,Chelsea,2,False,2023-10-21T16:30:00Z,2,2,9,67,0,0,0,2,0,0,0,0,0,0,0,6,0.6,0.8,14.0,1.5,1,0.27,0.00,0.27,1.30,79,-5821,356346,28245,34066,8,Gabriel Fernando de Jesus,79,FWD,Chelsea,Arsenal,Arsenal
7,9,84,Chelsea,2,False,2023-10-21T16:30:00Z,2,2,9,67,0,0,0,2,0,0,0,0,0,0,0,11,12.2,14.9,6.0,3.3,1,0.04,0.10,0.14,1.30,54,-177,18610,488,665,9,Jorge Luiz Frello Filho,53,MID,Chelsea,Arsenal,Arsenal
8,10,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-207,8796,154,361,10,Jakub Kiwior,43,DEF,Chelsea,Arsenal,Arsenal
9,11,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-158,5111,0,158,11,Marcus Oliveira Alencar,45,MID,Chelsea,Arsenal,Arsenal
10,12,84,Chelsea,2,False,2023-10-21T16:30:00Z,2,2,9,77,0,0,0,2,0,0,0,0,0,0,0,13,6.8,34.1,11.0,5.2,1,0.04,0.17,0.21,1.34,77,63024,467749,81385,18361,12,Gabriel Martinelli Silva,77,MID,Chelsea,Arsenal,Arsenal
11,13,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,22,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,1.1,11.0,1.5,0,0.06,0.00,0.06,0.06,55,-15108,519082,24497,39605,13,Eddie Nketiah,55,FWD,Chelsea,Arsenal,Arsenal
12,14,84,Chelsea,2,False,2023-10-21T16:30:00Z,2,2,9,77,0,0,0,2,0,0,0,0,0,0,0,8,7.0,29.8,0.0,3.7,1,0.00,0.11,0.11,1.34,85,42087,2374067,126893,84806,14,Martin Ødegaard,85,MID,Chelsea,Arsenal,Arsenal
13,15,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,216,19761,754,538,15,Thomas Partey,48,MID,Chelsea,Arsenal,Arsenal
14,16,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-166,4974,0,166,16,Nicolas Pépé,49,MID,Chelsea,Arsenal,Arsenal
15,17,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-103107,979927,3625,106732,17,Aaron Ramsdale,48,GKP,Chelsea,Arsenal,Arsenal
16,18,84,Chelsea,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-375,10504,0,375,18,Rúnar Alex Rúnarsson,40,GKP,Chelsea,Arsenal,Arsenal
17,19,84,Chelsea,5,False,2023-10-21T16:30:00Z,2,2,9,90,0,1,0,2,0,0,0,0,0,0,0,20,33.0,43.3,6.0,8.2,1,0.00,0.16,0.16,1.36,85,-470223,4680006,59119,529342,19,Bukayo Saka,85,MID,Chelsea,Arsenal,Arsenal
18,20,84,Chelsea,1,False,2023-10-21T16:30:00Z,2,2,9,90,0,0,0,2,0,0,0,0,0,0,0,14,10.2,2.1,0.0,1.2,1,0.00,0.01,0.01,1.36,52,-134453,2492944,47496,181949,20,William Saliba,52,DEF,Chelsea,Arsenal,Arsenal
