,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-2349,27390,0,2349,1,Folarin Balogun,44,FWD,Arsenal,Man City,Arsenal
1,2,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,633,40781,3036,2403,2,Cédric Alves Soares,39,DEF,Arsenal,Man City,Arsenal
2,3,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,195,8370,1130,935,3,Mohamed Elneny,44,MID,Arsenal,Man City,Arsenal
3,4,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-1041,13426,675,1716,4,Fábio Ferreira Vieira,54,MID,Arsenal,Man City,Arsenal
4,5,71,Man City,8,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,2,27,11.2,1.3,0.0,1.3,1,0.00,0.00,0.00,0.55,47,-49011,1226108,80932,129943,5,Gabriel dos Santos Magalhães,47,DEF,Arsenal,Man City,Arsenal
5,6,71,Man City,4,True,2023-10-08T15:30:00Z,1,0,8,15,0,1,0,0,0,0,0,0,0,0,0,12,17.2,11.4,6.0,3.5,0,0.00,0.03,0.03,0.00,71,-4475,167477,3258,7733,6,Kai Havertz,71,MID,Arsenal,Man City,Arsenal
6,8,71,Man City,1,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,1,0,0,0,-1,9.2,8.2,17.0,3.4,1,0.02,0.05,0.07,0.55,80,-53865,348172,19574,73439,8,Gabriel Fernando de Jesus,80,FWD,Arsenal,Man City,Arsenal
7,9,71,Man City,2,True,2023-10-08T15:30:00Z,1,0,8,74,0,0,1,0,0,0,0,1,0,0,0,9,4.2,8.0,0.0,1.2,1,0.00,0.04,0.04,0.55,54,-602,18440,371,973,9,Jorge Luiz Frello Filho,54,MID,Arsenal,Man City,Arsenal
8,10,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-317,8886,155,472,10,Jakub Kiwior,43,DEF,Arsenal,Man City,Arsenal
9,11,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-195,5270,0,195,11,Marcus Oliveira Alencar,45,MID,Arsenal,Man City,Arsenal
10,12,71,Man City,6,True,2023-10-08T15:30:00Z,1,0,8,45,1,0,0,0,0,0,0,0,0,0,0,25,41.2,11.5,24.0,7.7,0,0.07,0.01,0.08,0.14,77,-75089,393341,1064,76153,12,Gabriel Martinelli Silva,77,MID,Arsenal,Man City,Arsenal
11,13,71,Man City,2,True,2023-10-08T15:30:00Z,1,0,8,74,0,0,1,0,0,0,0,0,0,0,0,-1,0.0,0.8,21.0,1.6,1,0.16,0.00,0.16,0.55,55,-32592,528141,28153,60745,13,Eddie Nketiah,55,FWD,Arsenal,Man City,Arsenal
12,14,71,Man City,3,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,7,12.0,32.4,10.0,5.4,1,0.08,0.16,0.24,0.55,85,88758,2306616,218848,130090,14,Martin Ødegaard,85,MID,Arsenal,Man City,Arsenal
13,15,71,Man City,1,True,2023-10-08T15:30:00Z,1,0,8,15,0,0,0,0,0,0,0,0,0,0,0,3,2.4,1.8,0.0,0.4,0,0.00,0.02,0.02,0.00,48,-550,19294,353,903,15,Thomas Partey,48,MID,Arsenal,Man City,Arsenal
14,16,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-213,5143,0,213,16,Nicolas Pépé,49,MID,Arsenal,Man City,Arsenal
15,17,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-156638,1071936,3542,160180,17,Aaron Ramsdale,48,GKP,Arsenal,Man City,Arsenal
16,18,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-470,10864,0,470,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Man City,Arsenal
17,19,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,86,-735022,5100324,127997,863019,19,Bukayo Saka,86,MID,Arsenal,Man City,Arsenal
18,20,71,Man City,7,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,1,26,14.0,1.3,0.0,1.5,1,0.00,0.01,0.01,0.55,52,-99840,2604523,75874,175714,20,William Saliba,52,DEF,Arsenal,Man City,Arsenal
19,22,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-486,12223,435,921,22,Emile Smith Rowe,53,MID,Arsenal,Man City,Arsenal
20,24,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-630,12301,0,630,24,Kieran Tierney,44,DEF,Arsenal,Man City,Arsenal
21,25,71,Man City,1,True,2023-10-08T15:30:00Z,1,0,8,15,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.3,0.0,0.2,0,0.00,0.04,0.04,0.00,45,-727,24938,977,1704,25,Takehiro Tomiyasu,45,DEF,Arsenal,Man City,Arsenal
22,26,71,Man City,1,True,2023-10-08T15:30:00Z,1,0,8,45,0,0,0,0,0,0,0,0,0,0,0,3,1.6,11.3,0.0,1.3,1,0.00,0.01,0.01,0.42,66,-9611,180007,7973,17584,26,Leandro Trossard,66,MID,Arsenal,Man City,Arsenal
23,29,71,Man City,9,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,3,31,16.0,23.6,6.0,4.6,1,0.00,0.07,0.07,0.55,55,127049,1085967,181884,54835,29,Benjamin White,56,DEF,Arsenal,Man City,Arsenal
24,30,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-14,1046,0,14,30,Granit Xhaka,60,MID,Arsenal,Man City,Arsenal
25,31,71,Man City,7,True,2023-10-08T15:30:00Z,1,0,8,74,0,0,1,0,0,0,0,0,0,0,1,26,6.4,12.4,8.0,2.7,1,0.08,0.01,0.09,0.55,49,-4596,544201,31044,35640,31,Oleksandr Zinchenko,49,DEF,Arsenal,Man City,Arsenal
26,113,71,Man City,6,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,20,4.2,0.0,0.0,0.4,1,0.00,0.00,0.00,0.55,48,23242,330227,45733,22491,113,David Raya Martin,48,GKP,Arsenal,Man City,Arsenal
27,540,71,Man City,3,True,2023-10-08T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,18,22.0,22.8,4.0,4.9,1,0.00,0.10,0.10,0.55,54,-5721,440743,17810,23531,540,Declan Rice,54,MID,Arsenal,Man City,Arsenal
28,578,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-1131,4949,474,1605,578,Reiss Nelson,49,MID,Arsenal,Man City,Arsenal
29,585,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,-3544,56072,77,3621,585,Jurriën Timber,47,DEF,Arsenal,Man City,Arsenal
30,646,71,Man City,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,50,4674,375,325,646,Karl Hein,40,GKP,Arsenal,Man City,Arsenal
31,32,80,Wolves,0,False,2023-10-08T13:00:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-1154,5778,319,1473,32,Alexandre Moreno Lopera,50,DEF,Wolves,Aston Villa,Aston Villa
32,34,80,Wolves,1,False,2023-10-08T13:00:00Z,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,4,4.4,14.8,2.0,2.1,0,0.00,0.06,0.06,0.14,55,-22467,105014,7468,29935,34,Leon Bailey,55,MID,Wolves,Aston Villa,Aston Villa
33,35,80,Wolves,0,False,2023-10-08T13:00:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-151,4316,50,201,35,Emiliano Buendía Stati,58,MID,Wolves,Aston Villa,Aston Villa
34,36,80,Wolves,2,False,2023-10-08T13:00:00Z,1,1,8,81,0,0,0,1,0,0,0,0,0,0,0,6,9.6,1.0,26.0,3.7,1,0.23,0.01,0.24,1.05,50,1019073,3083294,1059823,40750,36,Matty Cash,50,DEF,Wolves,Aston Villa,Aston Villa
35,37,80,Wolves,0,False,2023-10-08T13:00:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-1798,104465,4152,5950,37,Calum Chambers,39,DEF,Wolves,Aston Villa,Aston Villa
36,38,80,Wolves,0,False,2023-10-08T13:00:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-820,20519,0,820,38,Philippe Coutinho Correia,58,MID,Wolves,Aston Villa,Aston Villa
37,39,80,Wolves,0,False,2023-10-08T13:00:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-899,14928,0,899,39,Keinan Davis,49,FWD,Wolves,Aston Villa,Aston Villa
38,40,80,Wolves,0,False,2023-10-08T13:00:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,50,1707,166,116,40,Leander Dendoncker,49,MID,Wolves,Aston Villa,Aston Villa
39,41,80,Wolves,2,False,2023-10-08T13:00:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,13,11.2,10.8,0.0,2.2,1,0.00,0.01,0.01,1.19,44,559,30087,1615,1056,41,Diego Carlos Santos Silva,44,DEF,Wolves,Aston Villa,Aston Villa
40,42,80,Wolves,2,False,2023-10-08T13:00:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,13,9.6,30.8,2.0,4.2,1,0.00,0.18,0.18,1.19,46,87395,602591,130439,43044,42,Lucas Digne,46,DEF,Wolves,Aston Villa,Aston Villa
41,43,80,Wolves,2,False,2023-10-08T13:00:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,13,8.6,16.7,21.0,4.6,1,0.33,0.11,0.44,1.19,54,151455,373513,185234,33779,43,Douglas Luiz Soares de Paulo,54,MID,Wolves,Aston Villa,Aston Villa
