,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
20,24,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1147,12925,0,1147,24,Kieran Tierney,44,DEF,Bournemouth,Arsenal,Arsenal
21,25,62,Bournemouth,1,False,2023-09-30T14:00:00Z,0,4,7,21,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.3,0.0,0.3,0,0.00,0.00,0.00,0.35,45,-49,25153,1803,1852,25,Takehiro Tomiyasu,45,DEF,Bournemouth,Arsenal,Arsenal
22,26,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,66,-51606,186036,6210,57816,26,Leandro Trossard,66,MID,Bournemouth,Arsenal,Arsenal
23,29,62,Bournemouth,14,False,2023-09-30T14:00:00Z,0,4,7,90,1,0,1,0,0,0,0,0,0,0,2,40,56.2,1.8,21.0,7.9,1,0.12,0.01,0.13,0.69,55,55864,955610,88760,32896,29,Benjamin White,55,DEF,Bournemouth,Arsenal,Arsenal
24,30,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-18,1061,0,18,30,Granit Xhaka,60,MID,Bournemouth,Arsenal,Arsenal
25,31,62,Bournemouth,6,False,2023-09-30T14:00:00Z,0,4,7,68,0,0,1,0,0,0,0,0,0,0,0,28,25.4,23.9,22.0,7.1,1,0.12,0.10,0.22,0.34,49,28768,550476,52709,23941,31,Oleksandr Zinchenko,49,DEF,Bournemouth,Arsenal,Arsenal
26,113,62,Bournemouth,6,False,2023-09-30T14:00:00Z,0,4,7,90,0,0,1,0,0,0,0,0,0,1,0,26,16.4,0.0,0.0,1.6,1,0.00,0.00,0.00,0.69,48,41168,305022,53370,12202,113,David Raya Martin,48,GKP,Bournemouth,Arsenal,Arsenal
27,540,62,Bournemouth,3,False,2023-09-30T14:00:00Z,0,4,7,80,0,0,1,0,0,0,0,0,0,0,0,14,20.6,13.4,0.0,3.4,1,0.00,0.03,0.03,0.69,54,-74230,437626,12213,86443,540,Declan Rice,54,MID,Bournemouth,Arsenal,Arsenal
28,578,62,Bournemouth,1,False,2023-09-30T14:00:00Z,0,4,7,21,0,0,0,0,0,0,0,0,0,0,0,7,4.2,10.8,2.0,1.7,0,0.00,0.05,0.05,0.35,49,2437,6331,3134,697,578,Reiss Nelson,49,MID,Bournemouth,Arsenal,Arsenal
29,585,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,-5301,59505,98,5399,585,Jurriën Timber,47,DEF,Bournemouth,Arsenal,Arsenal
30,646,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,128,4433,369,241,646,Karl Hein,40,GKP,Bournemouth,Arsenal,Arsenal
31,32,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-1083,6856,1049,2132,32,Alexandre Moreno Lopera,50,DEF,Aston Villa,Brighton,Aston Villa
32,34,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-34522,125276,5777,40299,34,Leon Bailey,55,MID,Aston Villa,Brighton,Aston Villa
33,35,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-206,4453,53,259,35,Emiliano Buendía Stati,58,MID,Aston Villa,Brighton,Aston Villa
34,36,61,Brighton,6,True,2023-09-30T11:30:00Z,6,1,7,90,0,1,0,1,0,0,0,0,0,0,1,26,38.2,10.9,6.0,5.5,1,0.00,0.48,0.48,1.71,48,286632,2006160,349992,63360,36,Matty Cash,49,DEF,Aston Villa,Brighton,Aston Villa
35,37,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-3229,105147,2664,5893,37,Calum Chambers,39,DEF,Aston Villa,Brighton,Aston Villa
36,38,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-1565,21301,0,1565,38,Philippe Coutinho Correia,58,MID,Aston Villa,Brighton,Aston Villa
37,39,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-1454,15803,0,1454,39,Keinan Davis,49,FWD,Aston Villa,Brighton,Aston Villa
38,40,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,45,1578,124,79,40,Leander Dendoncker,49,MID,Aston Villa,Brighton,Aston Villa
39,41,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-3539,28978,198,3737,41,Diego Carlos Santos Silva,44,DEF,Aston Villa,Brighton,Aston Villa
40,42,61,Brighton,1,True,2023-09-30T11:30:00Z,6,1,7,90,0,0,0,1,0,0,0,1,0,0,0,6,12.2,15.8,6.0,3.4,1,0.08,0.06,0.14,1.71,46,95226,511327,118198,22972,42,Lucas Digne,46,DEF,Aston Villa,Brighton,Aston Villa
41,43,61,Brighton,8,True,2023-09-30T11:30:00Z,6,1,7,90,1,0,0,1,0,0,0,1,0,0,2,27,38.4,19.0,12.0,6.9,1,0.14,0.19,0.33,1.71,54,5517,207818,21234,15717,43,Douglas Luiz Soares de Paulo,54,MID,Aston Villa,Brighton,Aston Villa
42,44,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,11,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.5,0.0,0.1,0,0.00,0.00,0.00,0.10,50,6620,30560,10803,4183,44,Jhon Durán,50,FWD,Aston Villa,Brighton,Aston Villa
43,45,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-336,18372,611,947,45,Kortney Hause,40,DEF,Aston Villa,Brighton,Aston Villa
44,46,61,Brighton,0,True,2023-09-30T11:30:00Z,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-74,2049,76,150,46,Tim Iroegbunam,44,MID,Aston Villa,Brighton,Aston Villa
