,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-7682,58109,2507,10189,1,Folarin Balogun,44,FWD,Arsenal,Fulham,Arsenal
1,2,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2284,34131,1538,3822,2,Cédric Alves Soares,40,DEF,Arsenal,Fulham,Arsenal
2,3,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,320,8822,2812,2492,3,Mohamed Elneny,44,MID,Arsenal,Fulham,Arsenal
3,4,21,Fulham,7,True,2023-08-26T14:00:00Z,2.0,2.0,3,34,0,2,0,1,0,0,0,0,0,0,0,22,23.0,15.3,25.0,6.3,0,0.04,0.22,0.26,0.25,54,-1390,9325,183,1573,4,Fábio Ferreira Vieira,54,MID,Arsenal,Fulham,Arsenal
4,5,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-621417,2040170,36142,657559,5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,Fulham,Arsenal
5,6,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,55,0,0,0,1,0,0,0,0,0,0,0,2,5.4,23.6,13.0,4.2,1,0.27,0.14,0.41,0.29,74,-76821,308042,5577,82398,6,Kai Havertz,73,MID,Arsenal,Fulham,Arsenal
6,7,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1586,16044,517,2103,7,Rob Holding,44,DEF,Arsenal,Fulham,Arsenal
7,8,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.3,35.0,3.8,0,0.14,0.01,0.15,0.12,79,-20602,114556,8903,29505,8,Gabriel Fernando de Jesus,79,FWD,Arsenal,Fulham,Arsenal
8,9,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,6,0,0,0,1,0,0,0,0,0,0,0,4,4.2,6.7,0.0,1.1,0,0.00,0.03,0.03,0.25,55,-1887,19366,652,2539,9,Jorge Luiz Frello Filho,54,MID,Arsenal,Fulham,Arsenal
9,10,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,90,0,0,0,2,0,0,0,0,0,0,0,11,16.0,4.7,14.0,3.5,1,0.32,0.03,0.35,0.53,44,-758,9160,332,1090,10,Jakub Kiwior,44,DEF,Arsenal,Fulham,Arsenal
10,11,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2907,8103,0,2907,11,Marcus Oliveira Alencar,45,MID,Arsenal,Fulham,Arsenal
11,12,21,Fulham,2,True,2023-08-26T14:00:00Z,2.0,2.0,3,90,0,0,0,2,0,0,0,0,0,0,0,12,12.2,8.3,75.0,9.6,1,0.54,0.11,0.65,0.53,80,-55951,1386937,71354,127305,12,Gabriel Martinelli Silva,79,MID,Arsenal,Fulham,Arsenal
12,13,21,Fulham,5,True,2023-08-26T14:00:00Z,2.0,2.0,3,45,1,0,0,1,0,0,0,0,0,0,0,24,28.6,7.1,33.0,6.9,0,0.43,0.10,0.53,0.25,56,121675,639022,183104,61429,13,Eddie Nketiah,56,FWD,Arsenal,Fulham,Arsenal
13,14,21,Fulham,2,True,2023-08-26T14:00:00Z,2.0,2.0,3,83,0,0,0,1,0,0,0,0,0,0,0,10,11.8,12.4,24.0,4.8,1,0.11,0.14,0.25,0.29,85,68376,2222102,166740,98364,14,Martin Ødegaard,85,MID,Arsenal,Fulham,Arsenal
14,15,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,55,0,0,0,1,0,0,0,0,0,0,0,16,11.0,6.5,0.0,1.8,1,0.00,0.08,0.08,0.29,50,-3509,35427,2082,5591,15,Thomas Partey,49,MID,Arsenal,Fulham,Arsenal
15,16,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-861,7541,151,1012,16,Nicolas Pépé,49,MID,Arsenal,Fulham,Arsenal
16,17,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,90,0,0,0,2,0,0,0,0,0,1,0,10,12.2,0.0,0.0,1.2,1,0.00,0.00,0.00,0.53,50,-23232,1657162,53491,76723,17,Aaron Ramsdale,50,GKP,Arsenal,Fulham,Arsenal
17,18,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2393,15104,96,2489,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Fulham,Arsenal
18,19,21,Fulham,8,True,2023-08-26T14:00:00Z,2.0,2.0,3,90,1,0,0,2,0,0,0,0,0,0,1,26,51.0,63.2,65.0,17.9,1,1.36,1.08,2.44,0.53,86,123264,6259148,208193,84929,19,Bukayo Saka,87,MID,Arsenal,Fulham,Arsenal
19,20,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,90,0,0,0,2,0,0,0,0,0,0,0,14,17.6,14.5,7.0,3.9,1,0.04,0.03,0.07,0.53,52,460200,2652845,511623,51423,20,William Saliba,52,DEF,Arsenal,Fulham,Arsenal
20,21,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-202,1931,40,242,21,Albert Sambi Lokonga,49,MID,Arsenal,Fulham,Arsenal
21,22,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-2033,13797,387,2420,22,Emile Smith Rowe,54,MID,Arsenal,Fulham,Arsenal
22,24,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-3450,28194,823,4273,24,Kieran Tierney,44,DEF,Arsenal,Fulham,Arsenal
23,25,21,Fulham,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-5126,20667,1387,6513,25,Takehiro Tomiyasu,45,DEF,Arsenal,Fulham,Arsenal
24,26,21,Fulham,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,45,0,0,0,1,0,0,0,0,0,0,0,10,9.4,43.9,10.0,6.3,1,0.00,0.68,0.68,0.29,68,-126915,293748,4237,131152,26,Leandro Trossard,67,MID,Arsenal,Fulham,Arsenal
