,season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,name
175,2021/22,495542,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Niels Nkounkou
176,2021/22,17761,50,49,83,3106,1,2,7,51,1,0,0,11,0,0,5,486,892.6,118.1,315.0,132.8,James Tarkowski
177,2020/21,76357,55,52,27,758,1,1,1,15,0,0,0,2,0,0,2,160,170.6,278.3,124.0,57.3,Tom Cairney
178,2020/21,82514,45,42,10,630,0,0,0,13,0,0,0,0,0,0,0,103,133.6,8.1,2.0,14.5,Tim Ream
179,2020/21,83543,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Anthony Knockaert
180,2021/22,89085,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Nathaniel Chalobah
181,2020/21,92259,50,47,6,116,0,0,0,3,0,0,0,0,0,0,0,13,1.4,14.6,47.0,5.9,Neeskens Kebano
182,2020/21,96994,55,53,88,2367,5,3,9,32,0,0,0,7,0,0,6,343,384.8,254.1,503.0,114.1,Bobby De Cordova-Reid
183,2020/21,101105,50,45,27,663,1,1,0,17,0,0,0,2,0,0,2,132,143.2,100.4,85.0,32.8,Joe Bryan
184,2020/21,102884,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Paulo Gazzaniga Farias
185,2020/21,109434,45,43,2,90,0,0,0,1,0,0,0,0,0,0,0,15,16.8,4.7,2.0,2.4,Terence Kongolo
186,2020/21,109646,45,45,100,2953,0,1,9,41,1,0,0,1,0,0,11,571,673.8,70.1,223.0,97.1,Tosin Adarabioyo
187,2020/21,128389,60,55,63,1389,3,3,1,24,0,0,1,3,0,0,7,178,245.6,323.8,697.0,124.9,Aleksandar Mitrović
188,2020/21,153366,45,44,69,2243,0,3,9,35,0,0,0,5,0,0,0,391,421.2,330.4,82.0,83.5,Harrison Reed
189,2020/21,153682,55,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Harry Wilson
190,2020/21,155529,45,43,2,180,0,0,0,5,0,0,0,0,0,4,0,23,32.6,0.0,0.0,3.2,Marek Rodák
191,2020/21,166324,55,53,85,2465,3,0,7,43,0,0,1,2,0,0,4,261,347.0,647.2,530.0,152.5,Ivan Neves Abreu Cavaleiro
192,2020/21,167074,45,43,50,1477,0,1,5,27,0,0,0,3,0,0,3,288,330.8,312.4,98.0,74.2,Kenny Tete
193,2020/21,168765,50,46,13,369,0,0,0,12,0,0,0,1,0,0,0,46,33.6,28.7,47.0,10.7,Josh Onomah
194,2020/21,169528,45,44,57,2159,0,0,5,28,0,0,0,4,1,0,1,393,451.4,475.8,178.0,110.8,Antonee Robinson
195,2021/22,156689,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Andreas Hoelgebaum Pereira
196,2020/21,432931,45,45,1,14,0,0,0,1,0,0,0,0,0,0,0,2,1.2,1.3,0.0,0.3,Tyrese Francois
197,2021/22,17745,50,50,131,3330,0,0,7,58,0,2,0,1,0,131,12,706,1076.6,11.2,0.0,109.1,Kasper Schmeichel
198,2021/22,37642,55,54,39,1346,1,1,2,23,0,0,0,3,0,0,0,257,355.6,57.6,75.0,48.8,Jonny Evans
199,2021/22,40146,50,46,4,337,0,0,0,7,0,0,0,1,0,0,0,32,48.0,14.8,8.0,7.2,Ryan Bertrand
200,2021/22,51938,55,52,40,1127,1,2,2,24,0,0,0,3,0,0,2,169,236.2,208.6,51.0,49.7,Marc Albrighton
201,2021/22,86881,45,43,24,1032,0,0,2,15,0,0,0,3,0,0,0,147,88.2,44.2,7.0,14.0,Nampalys Mendy
202,2021/22,93100,50,47,11,563,0,0,1,16,0,0,0,2,0,0,0,115,159.2,15.2,15.0,19.0,Jannik Vestergaard
203,2021/22,95463,40,40,3,90,0,0,0,1,0,0,0,0,0,4,0,17,32.4,0.0,0.0,3.2,Danny Ward
204,2021/22,101668,105,103,133,1801,15,3,4,27,1,0,0,2,0,0,24,480,599.8,229.5,775.0,159.6,Jamie Vardy
