,name,team,minutes
208,Aaron Ramsdale,Arsenal,1
185,Adam Davies,Sheffield Utd,0
141,Adrián San Miguel del Castillo,Liverpool,0
219,Alfie Whiteman,Spurs,0
143,Alisson Ramses Becker,Liverpool,1
125,Alphonse Areola,West Ham,1
241,Altay Bayindir,Man Utd,0
236,André Onana,Man Utd,1
161,Andy Lonergan,Everton,0
86,Arijanet Muric,Burnley,0
89,Bailey Peacock-Farrell,Burnley,0
230,Bart Verbruggen,Brighton,1
149,Bernd Leno,Fulham,1
189,Brandon Austin,Spurs,0
153,Caoimhin Kelleher,Liverpool,0
182,Daniel Bentley,Wolves,0
213,Darren Randolph,Bournemouth,0
219,David Raya Martin,Arsenal,1
169,Dean Henderson,Crystal Palace,0
83,Denis Franchi,Burnley,0
249,Djordje Petrovic,Chelsea,0
247,Eddie Beach,Chelsea,0
167,Ederson Santana de Moraes,Man City,1
194,Ellery Balcombe,Brentford,0
203,Emiliano Martínez Romero,Aston Villa,1
278,Ethan Horvath,Nott'm Forest,0
218,Filip Marschall,Aston Villa,0
197,Fraser Forster,Spurs,0
233,Gabriel Słonina,Chelsea,0
300,George Shelvey,Nott'm Forest,0
218,Guglielmo Vicario,Spurs,1
201,Hugo Lloris,Spurs,0
224,Ionuț Radu,Bournemouth,0
66,Jack Walton,Luton,0
63,James Shea,Luton,0
101,James Trafford,Burnley,1
226,Jason Steele,Brighton,0
168,Joe Whitworth,Crystal Palace,0
179,Jordan Amissah,Sheffield Utd,0
157,Jordan Pickford,Everton,1
147,Joseph Anang,West Ham,0
202,José Malheiro de Sá,Wolves,1
160,João Neves Virgínia,Everton,0
235,Karl Darlow,Newcastle,0
223,Karl Hein,Arsenal,0
208,Kepa Arrizabalaga,Chelsea,0
225,Kjell Scherpen,Brighton,0
95,Lawrence Vigouroux,Burnley,0
261,Loris Karius,Newcastle,0
243,Lucas Bergström,Chelsea,0
134,Lukasz Fabianski,West Ham,0
213,Marcus Bettinelli,Chelsea,0
158,Marek Rodák,Fulham,0
204,Mark Flekken,Brentford,1
238,Mark Gillespie,Newcastle,0
221,Mark Travers,Bournemouth,0
236,Martin Dubravka,Newcastle,0
204,Matija Šarkić,Wolves,0
51,Matt Macey,Luton,0
259,Matt Turner,Nott'm Forest,1
200,Matthew Cox,Brentford,0
251,Nick Pope,Newcastle,1
210,Norberto Murara Neto,Bournemouth,1
304,Odysseas Vlachodimos,Nott'm Forest,0
220,Oliwier Zych,Aston Villa,0
239,Radek Vítek,Man Utd,0
158,Remi Matthews,Crystal Palace,0
206,Robert Sánchez,Chelsea,1
206,Robin Olsen,Aston Villa,0
209,Rúnar Alex Rúnarsson,Arsenal,0
155,Sam Johnstone,Crystal Palace,1
163,Scott Carson,Man City,0
175,Stefan Ortega Moreno,Man City,0
172,Steven Benda,Fulham,0
75,Thomas Kaminski,Luton,1
218,Thomas Strakosha,Brentford,0
79,Tim Krul,Luton,0
219,Tom Heaton,Man Utd,0
198,Tom King,Wolves,0
220,Tom McGill,Brighton,0
152,Vicente Guaita,Crystal Palace,0
210,Viljami Sinisalo,Aston Villa,0
277,Wayne Hennessey,Nott'm Forest,0
188,Wes Foderingham,Sheffield Utd,1
180,Zack Steffen,Man City,0
