index,name,team,points,value
Vitalii Mykolenko2023-10-29T13:00:00Z,Vitalii Mykolenko,Everton,2.043272891169641,43
Ashley Young2023-10-29T13:00:00Z,Ashley Young,Everton,1.5089221028070867,44
Nathan Patterson2023-10-29T13:00:00Z,Nathan Patterson,Everton,1.253398143137202,44
Jarrad Branthwaite2023-10-29T13:00:00Z,Jarrad Branthwaite,Everton,1.529814028767613,40
Harry Toffolo2023-10-29T14:00:00Z,Harry Toffolo,Nott'm Forest,1.8900676238042327,44
Moussa Niakhaté2023-10-29T14:00:00Z,Moussa Niakhaté,Nott'm Forest,1.0067170949912938,45
Olu Aina2023-10-29T14:00:00Z,Olu Aina,Nott'm Forest,1.2489951380814324,45
Neco Williams2023-10-29T14:00:00Z,Neco Williams,Nott'm Forest,1.1314904003806194,43
Serge Aurier2023-10-29T14:00:00Z,Serge Aurier,Nott'm Forest,1.487219777123355,45
Joe Worrall2023-10-29T14:00:00Z,Joe Worrall,Nott'm Forest,1.013485133635589,45
Willy Boly2023-10-29T14:00:00Z,Willy Boly,Nott'm Forest,2.0828248138665963,45
Tom Lockyer2023-10-29T14:00:00Z,Tom Lockyer,Luton,1.3949444780738378,43
Alfie Doughty2023-10-29T14:00:00Z,Alfie Doughty,Luton,1.4334530285744966,44
Charlie Taylor2023-10-28T14:00:00Z,Charlie Taylor,Burnley,2.0257774467682945,39
Reece Burke2023-10-29T14:00:00Z,Reece Burke,Luton,1.2810744054990557,40
Issa Kaboré2023-10-29T14:00:00Z,Issa Kaboré,Luton,1.3068378142066068,40
Dara O'Shea2023-10-28T14:00:00Z,Dara O'Shea,Burnley,2.0997272584339153,44
Jayden Bogle2023-10-28T14:00:00Z,Jayden Bogle,Sheffield Utd,1.0483335927021584,45
Chris Basham2023-10-28T14:00:00Z,Chris Basham,Sheffield Utd,0.8844508655964427,40
Yasser Larouci2023-10-28T14:00:00Z,Yasser Larouci,Sheffield Utd,1.078113817487672,44
Jack Robinson2023-10-28T14:00:00Z,Jack Robinson,Sheffield Utd,1.0175228921201835,44
Anel Ahmedhodžić2023-10-28T14:00:00Z,Anel Ahmedhodžić,Sheffield Utd,1.0280372017529513,43
Teden Mengi2023-10-29T14:00:00Z,Teden Mengi,Luton,1.2524799088811764,39
Tyrick Mitchell2023-10-27T19:00:00Z,Tyrick Mitchell,Crystal Palace,2.6501849429301902,45
Tim Ream2023-10-29T14:00:00Z,Tim Ream,Fulham,1.6420407663345942,45
Joel Ward2023-10-27T19:00:00Z,Joel Ward,Crystal Palace,2.453079966979682,45
Chris Richards2023-10-27T19:00:00Z,Chris Richards,Crystal Palace,1.752879969681476,39
Antonee Robinson2023-10-29T14:00:00Z,Antonee Robinson,Fulham,1.6304685516497879,45
Auston Trusty2023-10-28T14:00:00Z,Auston Trusty,Sheffield Utd,0.6858786484410475,39
Nathaniel Clyne2023-10-27T19:00:00Z,Nathaniel Clyne,Crystal Palace,2.291551065687353,44
Joachim Andersen2023-10-27T19:00:00Z,Joachim Andersen,Crystal Palace,2.444191492814758,49
Marc Guéhi2023-10-27T19:00:00Z,Marc Guéhi,Crystal Palace,2.4645623041840627,45
Calvin Bassey2023-10-29T14:00:00Z,Calvin Bassey,Fulham,1.4738942537880295,44
Issa Diop2023-10-29T14:00:00Z,Issa Diop,Fulham,1.4964431993205416,45
Lloyd Kelly2023-10-28T14:00:00Z,Lloyd Kelly,Bournemouth,3.0480376143759407,45
Marcos Senesi2023-10-28T14:00:00Z,Marcos Senesi,Bournemouth,2.7173535972826173,44
Adam Smith2023-10-28T14:00:00Z,Adam Smith,Bournemouth,2.7969614759300137,44
Illia Zabarnyi2023-10-28T14:00:00Z,Illia Zabarnyi,Bournemouth,2.9257204339577383,45
Milos Kerkez2023-10-28T14:00:00Z,Milos Kerkez,Bournemouth,2.84077257182143,45
Max Aarons2023-10-28T14:00:00Z,Max Aarons,Bournemouth,2.9256183627146632,45
Timothy Castagne2023-10-29T14:00:00Z,Timothy Castagne,Fulham,1.3408700759906762,45
