,name,team,minutes
16,Karl Darlow,Newcastle,0
22,Loris Karius,Newcastle,0
25,Martin Dubravka,Newcastle,0
32,Mark Gillespie,Newcastle,0
33,Nick Pope,Newcastle,1
36,Jason Steele,Brighton,1
50,Robin Olsen,Aston Villa,0
52,Emiliano Martínez Romero,Aston Villa,1
57,Viljami Sinisalo,Aston Villa,0
68,Kjell Scherpen,Brighton,0
85,Bart Verbruggen,Brighton,1
91,Tom McGill,Brighton,0
111,Hugo Lloris,Spurs,0
121,Adrián San Miguel del Castillo,Liverpool,0
133,Guglielmo Vicario,Spurs,1
136,Caoimhin Kelleher,Liverpool,0
154,Alisson Ramses Becker,Liverpool,1
155,Alfie Whiteman,Spurs,0
158,Fraser Forster,Spurs,0
166,Brandon Austin,Spurs,0
167,Ederson Santana de Moraes,Man City,1
175,Scott Carson,Man City,0
181,Stefan Ortega Moreno,Man City,1
182,Zack Steffen,Man City,0
206,Rúnar Alex Rúnarsson,Arsenal,0
208,Karl Hein,Arsenal,0
213,David Raya Martin,Arsenal,1
215,Aaron Ramsdale,Arsenal,0
228,Joseph Anang,West Ham,0
233,Alphonse Areola,West Ham,1
238,Lukasz Fabianski,West Ham,0
261,Matthew Cox,Brentford,0
262,Ellery Balcombe,Brentford,0
269,Mark Flekken,Brentford,1
279,Thomas Strakosha,Brentford,0
289,Robert Sánchez,Chelsea,1
294,Marcus Bettinelli,Chelsea,0
297,Kepa Arrizabalaga,Chelsea,0
302,Lucas Bergström,Chelsea,0
332,Gabriel Słonina,Chelsea,0
360,Daniel Bentley,Wolves,0
364,Matija Šarkić,Wolves,0
375,José Malheiro de Sá,Wolves,1
376,Tom Heaton,Man Utd,0
377,Tom King,Wolves,0
394,André Onana,Man Utd,1
397,Andy Lonergan,Everton,0
410,George Shelvey,Nott'm Forest,0
420,Jordan Pickford,Everton,1
422,João Neves Virgínia,Everton,0
428,Matt Turner,Nott'm Forest,1
432,Wayne Hennessey,Nott'm Forest,0
450,Ethan Horvath,Nott'm Forest,0
466,Lawrence Vigouroux,Burnley,0
471,Bailey Peacock-Farrell,Burnley,0
493,Thomas Kaminski,Luton,1
498,Arijanet Muric,Burnley,0
500,James Trafford,Burnley,1
507,Jack Walton,Luton,0
515,Matt Macey,Luton,0
526,James Shea,Luton,0
550,Jordan Amissah,Sheffield Utd,0
559,Wes Foderingham,Sheffield Utd,1
561,Adam Davies,Sheffield Utd,0
574,Joe Whitworth,Crystal Palace,0
580,Vicente Guaita,Crystal Palace,0
587,Denis Franchi,Burnley,0
603,Marek Rodák,Fulham,0
607,Sam Johnstone,Crystal Palace,1
611,Dean Henderson,Crystal Palace,0
612,Bernd Leno,Fulham,1
619,Remi Matthews,Crystal Palace,0
628,Mark Travers,Bournemouth,0
636,Darren Randolph,Bournemouth,0
649,Ionuț Radu,Bournemouth,0
653,Norberto Murara Neto,Bournemouth,1
660,Filip Marschall,Aston Villa,0
666,Altay Bayindir,Man Utd,0
681,Djordje Petrovic,Chelsea,0
682,Eddie Beach,Chelsea,0
715,Odysseas Vlachodimos,Nott'm Forest,0
716,Oliwier Zych,Aston Villa,0
717,Radek Vítek,Man Utd,0
725,Steven Benda,Fulham,0
726,Tim Krul,Luton,0
