,name,team,minutes
486,Ryan Giles,Luton,0
488,Amari'i Bell,Luton,0
490,Reece Burke,Luton,1
492,Hjalmar Ekdal,Burnley,0
494,Dan Potts,Luton,0
502,CJ Egan-Riley,Burnley,0
511,Victor da Silva,Burnley,0
516,Bobby Thomas,Burnley,0
519,Jordan Beyer,Burnley,0
522,Mads Juel Andersen,Luton,0
524,Issa Kaboré,Luton,1
528,Aidan Francis-Clarke,Luton,0
532,Luke McNally,Burnley,0
534,Dara O'Shea,Burnley,1
538,Femi Seriki,Sheffield Utd,0
542,Max Lowe,Sheffield Utd,0
543,Jayden Bogle,Sheffield Utd,1
545,John Egan,Sheffield Utd,0
549,Chris Basham,Sheffield Utd,1
551,Yasser Larouci,Sheffield Utd,1
553,Jack Robinson,Sheffield Utd,1
554,Anel Ahmedhodžić,Sheffield Utd,1
558,Rhys Norrington-Davies,Sheffield Utd,0
562,George Baldock,Sheffield Utd,0
566,Teden Mengi,Luton,1
567,Terence Kongolo,Fulham,0
569,Tyrick Mitchell,Crystal Palace,1
570,Tim Ream,Fulham,1
572,Joel Ward,Crystal Palace,1
576,Chris Richards,Crystal Palace,1
578,Tosin Adarabioyo,Fulham,0
584,Kevin Mbabu,Fulham,0
586,Antonee Robinson,Fulham,1
591,Auston Trusty,Sheffield Utd,1
595,Nathaniel Clyne,Crystal Palace,1
598,Jake O'Brien,Crystal Palace,0
601,Joachim Andersen,Crystal Palace,1
602,James Tomkins,Crystal Palace,0
609,Marc Guéhi,Crystal Palace,1
617,Kenny Tete,Fulham,0
618,Calvin Bassey,Fulham,1
620,Issa Diop,Fulham,1
624,Luc De Fougerolles,Fulham,0
633,James Hill,Bournemouth,0
634,Lloyd Kelly,Bournemouth,1
635,Marcos Senesi,Bournemouth,1
639,Adam Smith,Bournemouth,1
641,Chris Mepham,Bournemouth,0
644,Ryan Fredericks,Bournemouth,0
652,Illia Zabarnyi,Bournemouth,1
656,Milos Kerkez,Bournemouth,1
658,Ben Greenwood,Bournemouth,0
659,Max Aarons,Bournemouth,1
665,Alfie Gilchrist,Chelsea,0
667,Andrew Omobamidele,Nott'm Forest,0
670,Ashley Phillips,Spurs,0
671,Bashir Humphreys,Chelsea,0
673,Callum Scanlon,Liverpool,0
675,Clément Lenglet,Aston Villa,0
685,Fodé Ballo-Touré,Fulham,0
686,Gonzalo Montiel,Nott'm Forest,0
688,Hannes Delcroix,Burnley,0
696,Ji-Soo Kim,Brentford,0
697,Jili Buyabu,Sheffield Utd,0
698,Jonny Evans,Man Utd,0
699,Joseph Johnson,Luton,0
700,Josh Brooking,Chelsea,0
702,Konstantinos Mavropanos,West Ham,0
704,Luke Chambers,Liverpool,0
706,Luke Thomas,Sheffield Utd,0
710,Murillo Santiago Costa dos Santos,Nott'm Forest,0
723,Santiago Bueno,Wolves,0
727,Timothy Castagne,Fulham,1
