,name,team,minutes
2,Omari Kellyman,Aston Villa,0
5,Anthony Gordon,Newcastle,1
6,Joe Willock,Newcastle,0
7,Joelinton Cássio Apolinário de Lira,Newcastle,1
9,Allan Saint-Maximin,Newcastle,0
12,Isaac Hayden,Newcastle,0
13,Sean Longstaff,Newcastle,1
15,Sandro Tonali,Newcastle,1
17,Garang Kuol,Newcastle,0
18,Ryan Fraser,Newcastle,0
23,Elliot Anderson,Newcastle,1
24,Harvey Barnes,Newcastle,0
27,Jeff Hendrick,Newcastle,0
28,Miguel Almirón Rejala,Newcastle,1
29,Matt Ritchie,Newcastle,0
31,Jacob Murphy,Newcastle,1
34,Bruno Guimarães Rodriguez Moura,Newcastle,1
37,Philippe Coutinho Correia,Aston Villa,0
38,Boubacar Kamara,Aston Villa,1
39,Morgan Sanson,Aston Villa,0
41,Moussa Diaby,Aston Villa,1
43,Leander Dendoncker,Aston Villa,0
44,Leon Bailey,Aston Villa,1
48,Douglas Luiz Soares de Paulo,Aston Villa,1
49,Bertrand Traoré,Aston Villa,0
51,Emiliano Buendía Stati,Aston Villa,0
53,Youri Tielemans,Aston Villa,1
54,Jacob Ramsey,Aston Villa,1
56,Jaden Philogene-Bidace,Aston Villa,0
59,Tim Iroegbunam,Aston Villa,0
61,John McGinn,Aston Villa,1
69,Kacper Kozłowski,Brighton,0
70,Jakub Moder,Brighton,0
71,Julio Enciso,Brighton,0
73,James Milner,Brighton,1
74,Mahmoud Dahoud,Brighton,0
78,Jeremy Sarmiento Morante,Brighton,0
80,Kaoru Mitoma,Brighton,1
82,Solly March,Brighton,1
83,Pascal Groß,Brighton,1
84,Facundo Buonanotte,Brighton,0
87,Simon Adingra,Brighton,1
88,Billy Gilmour,Brighton,1
89,Steven Alzate,Brighton,0
93,Adam Lallana,Brighton,0
94,Yasin Ayari,Brighton,0
100,James McConnell,Liverpool,0
101,Bobby Clark,Liverpool,0
102,Ben Doak,Liverpool,0
104,Lewis Miley,Newcastle,0
110,Pape Matar Sarr,Spurs,1
112,Alexis Mac Allister,Liverpool,1
113,Tanguy Ndombélé Alvaro,Spurs,0
115,Thiago Alcántara do Nascimento,Liverpool,0
116,Manor Solomon,Spurs,1
118,James Maddison,Spurs,1
120,Curtis Jones,Liverpool,0
123,Harvey Elliott,Liverpool,1
124,Mohamed Salah,Liverpool,1
127,Dominik Szoboszlai,Liverpool,1
128,Dejan Kulusevski,Spurs,1
129,Jack Hinshelwood,Brighton,0
138,Giovani Lo Celso,Spurs,0
140,Richarlison de Andrade,Spurs,1
141,Fabio Henrique Tavares,Liverpool,0
144,Diogo Teixeira da Silva,Liverpool,1
147,Oliver Skipp,Spurs,1
148,Luis Díaz,Liverpool,1
150,Son Heung-min,Spurs,1
151,Stefan Bajcetic,Liverpool,0
152,Jordan Henderson,Liverpool,0
160,Bryan Gil Salvatierra,Spurs,0
162,Rodrigo Bentancur,Spurs,0
163,Yves Bissouma,Spurs,1
165,Pierre-Emile Højbjerg,Spurs,1
168,Riyad Mahrez,Man City,0
170,Phil Foden,Man City,1
172,Oscar Bobb,Man City,0
173,Shea Charles,Man City,0
