,name,team,minutes
3,Aaron Ramsdale,Arsenal,0
8,Adam Davies,Sheffield Utd,0
15,Adrián San Miguel del Castillo,Liverpool,0
32,Alfie Whiteman,Spurs,0
33,Alisson Ramses Becker,Liverpool,1
36,Alphonse Areola,West Ham,1
37,Altay Bayindir,Man Utd,0
49,André Onana,Man Utd,1
51,Andy Lonergan,Everton,0
65,Arijanet Muric,Burnley,0
73,Bailey Peacock-Farrell,Burnley,0
74,Bart Verbruggen,Brighton,1
90,Bernd Leno,Fulham,1
100,Brandon Austin,Spurs,0
116,Caoimhin Kelleher,Liverpool,0
152,Daniel Bentley,Wolves,0
162,Darren Randolph,Bournemouth,0
167,David Raya Martin,Arsenal,1
169,Dean Henderson,Crystal Palace,0
175,Denis Franchi,Burnley,0
186,Djordje Petrovic,Chelsea,0
194,Eddie Beach,Chelsea,0
196,Ederson Santana de Moraes,Man City,1
199,Ellery Balcombe,Brentford,0
209,Emiliano Martínez Romero,Aston Villa,1
219,Ethan Horvath,Nott'm Forest,0
229,Filip Marschall,Aston Villa,0
235,Fraser Forster,Spurs,0
243,Gabriel Słonina,Chelsea,0
248,George Shelvey,Nott'm Forest,0
256,Guglielmo Vicario,Spurs,1
276,Hugo Lloris,Spurs,0
286,Ionuț Radu,Bournemouth,0
299,Jack Walton,Luton,0
320,James Shea,Luton,0
323,James Trafford,Burnley,1
331,Jason Steele,Brighton,1
351,Joe Whitworth,Crystal Palace,0
367,Jordan Amissah,Sheffield Utd,0
372,Jordan Pickford,Everton,1
374,Joseph Anang,West Ham,0
382,José Malheiro de Sá,Wolves,1
384,João Neves Virgínia,Everton,0
400,Karl Darlow,Newcastle,0
401,Karl Hein,Arsenal,0
406,Kepa Arrizabalaga,Chelsea,0
414,Kjell Scherpen,Brighton,0
422,Lawrence Vigouroux,Burnley,0
436,Loris Karius,Newcastle,0
442,Lucas Bergström,Chelsea,0
447,Lukasz Fabianski,West Ham,0
472,Marcus Bettinelli,Chelsea,0
476,Marek Rodák,Fulham,0
478,Mark Flekken,Brentford,1
479,Mark Gillespie,Newcastle,0
480,Mark Travers,Bournemouth,0
481,Martin Dubravka,Newcastle,0
493,Matija Šarkić,Wolves,0
495,Matt Macey,Luton,0
498,Matt Turner,Nott'm Forest,1
499,Matthew Cox,Brentford,0
540,Nick Pope,Newcastle,1
548,Norberto Murara Neto,Bournemouth,1
552,Odysseas Vlachodimos,Nott'm Forest,0
557,Oliwier Zych,Aston Villa,0
581,Radek Vítek,Man Utd,0
590,Remi Matthews,Crystal Palace,0
600,Robert Sánchez,Chelsea,1
601,Robin Olsen,Aston Villa,0
618,Rúnar Alex Rúnarsson,Arsenal,0
619,Sam Johnstone,Crystal Palace,1
629,Scott Carson,Man City,0
649,Stefan Ortega Moreno,Man City,0
652,Steven Benda,Fulham,0
665,Thomas Kaminski,Luton,1
667,Thomas Strakosha,Brentford,0
669,Tim Krul,Luton,0
675,Tom Heaton,Man Utd,0
676,Tom King,Wolves,0
678,Tom McGill,Brighton,0
691,Vicente Guaita,Crystal Palace,0
694,Viljami Sinisalo,Aston Villa,0
701,Wayne Hennessey,Nott'm Forest,0
702,Wes Foderingham,Sheffield Utd,1
719,Zack Steffen,Man City,0
