index,name,team,points,value
Abdoulaye Doucouré2023-10-07T14:00:00Z,Abdoulaye Doucouré,Everton,3.31946751913687,55
Adam Lallana2023-10-08T13:00:00Z,Adam Lallana,Brighton,1.8532559542483582,49
Albert Sambi Lokonga2023-10-07T11:30:00Z,Albert Sambi Lokonga,Luton,2.0412561602750205,49
Alejandro Garnacho2023-10-07T14:00:00Z,Alejandro Garnacho,Man Utd,1.835094655009392,48
Alex Iwobi2023-10-07T14:00:00Z,Alex Iwobi,Fulham,2.5365046261445308,54
Alexis Mac Allister2023-10-08T13:00:00Z,Alexis Mac Allister,Liverpool,1.93465304879062,59
Amadou Onana2023-10-07T14:00:00Z,Amadou Onana,Everton,2.415296948475402,49
Andreas Hoelgebaum Pereira2023-10-07T14:00:00Z,Andreas Hoelgebaum Pereira,Fulham,3.5559342144782233,55
Anis Slimane2023-10-07T14:00:00Z,Anis Slimane,Sheffield Utd,1.7585943785642564,48
Anssumane Fati Vieira2023-10-08T13:00:00Z,Anssumane Fati Vieira,Brighton,2.2681549602363393,65
Anthony Elanga2023-10-07T16:30:00Z,Anthony Elanga,Nott'm Forest,2.135097860015195,50
Anthony Gordon2023-10-08T13:00:00Z,Anthony Gordon,Newcastle,4.2473056222581205,56
Arnaut Danjuma Groeneveld2023-10-07T14:00:00Z,Arnaut Danjuma Groeneveld,Everton,2.116101606812106,55
Bernardo Veiga de Carvalho e Silva2023-10-08T15:30:00Z,Bernardo Veiga de Carvalho e Silva,Man City,2.2277841184524023,63
Billy Gilmour2023-10-08T13:00:00Z,Billy Gilmour,Brighton,2.827463046074494,49
Bobby De Cordova-Reid2023-10-07T14:00:00Z,Bobby De Cordova-Reid,Fulham,2.8752347527497024,55
Boubacar Kamara2023-10-08T13:00:00Z,Boubacar Kamara,Aston Villa,2.795233895493236,50
Boubacar Traoré2023-10-08T13:00:00Z,Boubacar Traoré,Wolves,1.3351312387767753,44
Brennan Johnson2023-10-07T11:30:00Z,Brennan Johnson,Spurs,2.7225004549962115,58
Bruno Borges Fernandes2023-10-07T14:00:00Z,Bruno Borges Fernandes,Man Utd,4.558997274217209,84
Bruno Guimarães Rodriguez Moura2023-10-08T13:00:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,4.2632360144704196,58
Bryan Mbeumo2023-10-07T14:00:00Z,Bryan Mbeumo,Brentford,4.972571496785225,68
Bukayo Saka2023-10-08T15:30:00Z,Bukayo Saka,Arsenal,5.794030086672875,86
Callum Hudson-Odoi2023-10-07T16:30:00Z,Callum Hudson-Odoi,Nott'm Forest,2.3217233603937637,49
Carlos Henrique Casimiro2023-10-07T14:00:00Z,Carlos Henrique Casimiro,Man Utd,3.2204041907307683,54
Cheick Doucouré2023-10-07T16:30:00Z,Cheick Doucouré,Crystal Palace,2.3733851934066186,50
Cheikhou Kouyaté2023-10-07T16:30:00Z,Cheikhou Kouyaté,Nott'm Forest,1.5976385509539823,49
Christian Eriksen2023-10-07T14:00:00Z,Christian Eriksen,Man Utd,2.185185310949538,59
Christian Nørgaard2023-10-07T14:00:00Z,Christian Nørgaard,Brentford,3.2803478892046574,55
Cole Palmer2023-10-07T14:00:00Z,Cole Palmer,Chelsea,2.870452061655603,49
Conor Gallagher2023-10-07T14:00:00Z,Conor Gallagher,Chelsea,2.8402478367889508,54
Curtis Jones2023-10-08T13:00:00Z,Curtis Jones,Liverpool,2.0534517166653528,49
Dango Ouattara2023-10-07T14:00:00Z,Dango Ouattara,Bournemouth,2.3377894531610597,48
David Brooks2023-10-07T14:00:00Z,David Brooks,Bournemouth,2.0237432677294724,49
Declan Rice2023-10-08T15:30:00Z,Declan Rice,Arsenal,1.7595590489886095,54
Dejan Kulusevski2023-10-07T11:30:00Z,Dejan Kulusevski,Spurs,7.137870873889506,70
Diogo Teixeira da Silva2023-10-08T13:00:00Z,Diogo Teixeira da Silva,Liverpool,1.9378490022455814,78
Dominik Szoboszlai2023-10-08T13:00:00Z,Dominik Szoboszlai,Liverpool,3.5563931261645974,70
Douglas Luiz Soares de Paulo2023-10-08T13:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,3.4567855172396738,54
Dwight McNeil2023-10-07T14:00:00Z,Dwight McNeil,Everton,2.4950920646730435,54
Eberechi Eze2023-10-07T16:30:00Z,Eberechi Eze,Crystal Palace,4.290402962827014,62
