,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Folarin Balogun,44,FWD,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
1,2,Cédric Alves Soares,39,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
2,3,Mohamed Elneny,44,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
3,4,Fábio Ferreira Vieira,54,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
4,5,Gabriel dos Santos Magalhães,47,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
5,6,Kai Havertz,71,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
6,8,Gabriel Fernando de Jesus,80,FWD,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
7,9,Jorge Luiz Frello Filho,54,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
8,10,Jakub Kiwior,44,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
9,11,Marcus Oliveira Alencar,45,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
10,12,Gabriel Martinelli Silva,77,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
11,13,Eddie Nketiah,55,FWD,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
12,14,Martin Ødegaard,85,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
13,15,Thomas Partey,48,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
14,16,Nicolas Pépé,49,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
15,17,Aaron Ramsdale,49,GKP,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
16,18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
17,19,Bukayo Saka,86,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
18,20,William Saliba,52,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
19,22,Emile Smith Rowe,53,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
20,24,Kieran Tierney,44,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
21,25,Takehiro Tomiyasu,45,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
22,26,Leandro Trossard,66,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
23,29,Benjamin White,55,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
24,30,Granit Xhaka,60,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
25,31,Oleksandr Zinchenko,49,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
26,113,David Raya Martin,48,GKP,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
27,540,Declan Rice,54,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
28,578,Reiss Nelson,49,MID,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
29,585,Jurriën Timber,47,DEF,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
30,646,Karl Hein,40,GKP,Arsenal,Man City,2023-10-08T15:30:00Z,True,Arsenal
31,32,Alexandre Moreno Lopera,50,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
32,34,Leon Bailey,55,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
33,35,Emiliano Buendía Stati,58,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
34,36,Matty Cash,49,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
35,37,Calum Chambers,39,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
36,38,Philippe Coutinho Correia,58,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
37,39,Keinan Davis,49,FWD,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
38,40,Leander Dendoncker,49,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
39,41,Diego Carlos Santos Silva,44,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
40,42,Lucas Digne,46,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
41,43,Douglas Luiz Soares de Paulo,54,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
42,44,Jhon Durán,50,FWD,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
43,45,Kortney Hause,40,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
44,46,Tim Iroegbunam,44,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
45,47,Boubacar Kamara,50,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
46,48,Ezri Konsa Ngoyo,45,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
47,49,Emiliano Martínez Romero,49,GKP,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
48,50,John McGinn,55,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
49,51,Tyrone Mings,42,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
50,53,Robin Olsen,40,GKP,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
51,54,Jaden Philogene-Bidace,45,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
52,55,Jacob Ramsey,59,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
53,56,Morgan Sanson,45,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
54,57,Viljami Sinisalo,40,GKP,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
55,58,Youri Tielemans,57,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
56,59,Bertrand Traoré,50,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
57,60,Ollie Watkins,80,FWD,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
58,61,Wesley Moraes Ferreira da Silva,50,FWD,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
59,584,Pau Torres,45,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
60,599,Moussa Diaby,67,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
61,618,Omari Kellyman,45,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
62,670,Filip Marschall,40,GKP,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
63,672,Nicolò Zaniolo,55,MID,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
64,686,Oliwier Zych,40,GKP,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
65,699,Clément Lenglet,45,DEF,Wolves,Aston Villa,2023-10-08T13:00:00Z,False,Aston Villa
66,62,Jaidon Anthony,49,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
67,63,Philip Billing,53,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
68,64,David Brooks,49,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
69,65,Ryan Christie,50,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
70,66,Lewis Cook,50,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
71,67,Siriki Dembélé,45,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
72,68,Ryan Fredericks,44,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
73,69,James Hill,40,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
74,70,Lloyd Kelly,45,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
75,71,Gavin Kilkenny,44,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
76,72,Justin Kluivert,47,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
77,73,Jamal Lowe,49,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
78,74,Emiliano Marcondes,44,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
79,75,Chris Mepham,43,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
80,76,Kieffer Moore,47,FWD,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
81,77,Norberto Murara Neto,45,GKP,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
82,78,Dango Ouattara,48,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
83,79,Ben Pearson,45,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
84,80,Darren Randolph,40,GKP,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
85,81,Joe Rothwell,49,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
86,82,Antoine Semenyo,45,FWD,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
87,83,Marcos Senesi,44,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
88,84,Adam Smith,44,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
89,85,Dominic Solanke,64,FWD,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
90,86,Marcus Tavernier,54,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
91,87,Hamed Traorè,48,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
92,88,Mark Travers,40,GKP,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
93,89,Illia Zabarnyi,45,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
94,595,Milos Kerkez,45,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
95,607,Ionuț Radu,44,GKP,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
96,619,Ben Greenwood,40,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
97,643,Max Aarons,45,DEF,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
98,644,Alex Scott,49,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
99,673,Tyler Adams,50,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
100,705,Luis Sinisterra,55,MID,Everton,Bournemouth,2023-10-07T14:00:00Z,False,Bournemouth
101,90,Kristoffer Ajer,45,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
102,91,Ellery Balcombe,40,GKP,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
103,92,Shandon Baptiste,44,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
104,93,Mads Bech Sørensen,40,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
105,94,Mads Bidstrup,45,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
106,95,Sergi Canós Tenés,50,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
107,96,Nathan Collins,45,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
108,97,Matthew Cox,40,GKP,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
109,98,Mikkel Damsgaard,49,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
110,99,Josh Dasilva,48,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
111,100,Halil Dervişoğlu,45,FWD,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
112,101,Mark Flekken,45,GKP,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
113,102,Charlie Goode,40,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
114,103,Rico Henry,45,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
115,104,Aaron Hickey,45,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
116,105,Vitaly Janelt,54,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
117,106,Mathias Jensen,54,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
118,107,Keane Lewis-Potter,48,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
119,108,Bryan Mbeumo,68,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
120,109,Ben Mee,48,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
121,110,Christian Nørgaard,55,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
122,111,Frank Onyeka,49,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
123,112,Ethan Pinnock,45,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
124,114,Mads Roerslev Rasmussen,44,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
125,115,Kevin Schade,54,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
126,116,Thomas Strakosha,39,GKP,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
127,117,Ivan Toney,79,FWD,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
128,118,Ryan Trevitt,45,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
129,119,Yoane Wissa,60,FWD,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
130,120,Yegor Yarmolyuk,44,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
131,121,Mathias Jorgensen,44,DEF,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
132,258,Neal Maupay,49,FWD,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
133,620,Michael Olakigbe,45,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
134,684,Ethan Brierley,45,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
135,701,Saman Ghoddos,45,MID,Man Utd,Brentford,2023-10-07T14:00:00Z,False,Brentford
136,122,Simon Adingra,50,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
137,123,Steven Alzate,44,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
138,124,Yasin Ayari,45,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
139,125,Facundo Buonanotte,48,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
140,127,Aaron Connolly,45,FWD,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
141,128,Mahmoud Dahoud,48,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
142,129,Lewis Dunk,50,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
143,130,Julio Enciso,51,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
144,131,Pervis Estupiñán,53,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
145,132,Evan Ferguson,60,FWD,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
146,133,Billy Gilmour,49,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
147,134,Pascal Groß,63,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
148,135,João Pedro Junqueira de Jesus,53,FWD,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
149,136,Michał Karbownik,40,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
150,137,Kacper Kozłowski,45,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
151,138,Adam Lallana,49,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
152,139,Tariq Lamptey,39,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
153,140,Solly March,64,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
154,141,Tom McGill,39,GKP,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
155,142,James Milner,48,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
156,143,Kaoru Mitoma,66,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
157,144,Jakub Moder,44,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
158,146,Jeremy Sarmiento Morante,45,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
159,147,Kjell Scherpen,40,GKP,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
160,148,Jason Steele,44,GKP,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
161,149,Deniz Undav,55,FWD,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
162,150,Jan Paul van Hecke,40,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
163,151,Joël Veltman,44,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
164,152,Bart Verbruggen,44,GKP,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
165,153,Adam Webster,44,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
166,154,Danny Welbeck,58,FWD,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
167,155,Andi Zeqiri,44,FWD,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
168,606,Igor Julio dos Santos de Paulo,43,DEF,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
169,621,Jack Hinshelwood,45,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
170,690,Carlos Baleba,45,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
171,700,Anssumane Fati Vieira,65,MID,Brighton,Liverpool,2023-10-08T13:00:00Z,True,Brighton
172,156,Enock Agyei,44,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
173,157,Ameen Al-Dakhil,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
174,158,Samuel Bastien,49,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
175,159,Manuel Benson Hedilazio,53,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
176,160,Jordan Beyer,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
177,161,Josh Brownhill,48,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
178,162,Darko Churlinov,44,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
179,163,Jack Cork,48,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
180,164,Dara Costelloe,45,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
181,165,Josh Cullen,50,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
182,166,CJ Egan-Riley,39,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
183,167,Hjalmar Ekdal,39,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
184,168,Lyle Foster,50,FWD,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
185,169,Denis Franchi,39,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
186,170,Jóhann Berg Gudmundsson,49,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
187,171,Luke McNally,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
188,172,Arijanet Muric,44,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
189,173,Dara O'Shea,44,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
190,174,Michael Obafemi,49,FWD,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
191,175,Bailey Peacock-Farrell,40,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
192,176,Connor Roberts,44,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
193,177,Jay Rodriguez,53,FWD,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
194,178,Charlie Taylor,39,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
195,179,Bobby Thomas,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
196,180,Scott Twine,49,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
197,181,Lawrence Vigouroux,40,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
198,182,Victor da Silva,44,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
199,183,Wout Weghorst,55,FWD,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
200,184,Anass Zaroury,49,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
201,475,Sander Berge,48,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
202,594,Zeki Amdouni,54,FWD,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
203,596,James Trafford,45,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
204,600,Nathan Redmond,48,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
205,605,Luca Koleosho,50,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
206,608,Jacob Bruun Larsen,49,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
207,622,Owen Dodgson,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
208,660,Wilson Odobert,50,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
209,674,Hannes Delcroix,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
210,675,Aaron Ramsey,50,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
211,694,Han-Noah Massengo,50,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
212,706,Mike Trésor,55,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,True,Burnley
213,126,Moisés Caicedo Corozo,48,MID,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
214,145,Robert Sánchez,46,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
215,185,Ethan Ampadu,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
216,187,Kepa Arrizabalaga,50,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
217,188,Pierre-Emerick Aubameyang,65,FWD,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
218,189,César Azpilicueta,45,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
219,190,Abdul Rahman Baba,40,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
220,191,Benoît Badiashile,44,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
221,192,Marcus Bettinelli,40,GKP,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
222,193,Armando Broja,49,FWD,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
223,194,Trevoh Chalobah,43,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
224,195,Ben Chilwell,55,DEF,Burnley,Chelsea,2023-10-07T14:00:00Z,False,Chelsea
