,name,team,minutes
276,Abdoulaye Doucouré,Everton,1
146,Adam Lallana,Brighton,0
330,Adama Traoré,Fulham,1
20,Albert Sambi Lokonga,Arsenal,0
439,Alejandro Garnacho,Man Utd,1
283,Alex Iwobi,Everton,1
524,Alex Mighten,Nott'm Forest,0
97,Alex Scott,Bournemouth,1
346,Alexis Mac Allister,Liverpool,1
366,Allan Campbell,Luton,0
486,Allan Saint-Maximin,Newcastle,0
429,Amad Diallo,Man Utd,0
288,Amadou Onana,Everton,1
193,Anass Zaroury,Burnley,0
569,Andre Brooks,Sheffield Utd,0
302,Andreas Hoelgebaum Pereira,Fulham,1
205,Andrey Nascimento dos Santos,Chelsea,0
271,André Tavares Gomes,Everton,0
563,Anis Slimane,Sheffield Utd,0
501,Anthony Elanga,Nott'm Forest,1
472,Anthony Gordon,Newcastle,1
308,Anthony Knockaert,Fulham,0
430,Antony Matheus dos Santos,Man Utd,1
296,Arnaut Danjuma Groeneveld,Everton,1
358,Ben Doak,Liverpool,0
560,Ben Osborn,Sheffield Utd,1
82,Ben Pearson,Bournemouth,0
400,Bernardo Veiga de Carvalho e Silva,Man City,1
59,Bertrand Traoré,Aston Villa,0
141,Billy Gilmour,Brighton,1
357,Bobby Clark,Liverpool,0
305,Bobby De Cordova-Reid,Fulham,1
48,Boubacar Kamara,Aston Villa,1
661,Boubacar Traoré,Wolves,0
527,Braian Ojeda Rodríguez,Nott'm Forest,0
502,Brandon Aguilera Zamora,Nott'm Forest,0
518,Brennan Johnson,Nott'm Forest,1
431,Bruno Borges Fernandes,Man Utd,1
648,Bruno Cavaco Jordão,Wolves,0
466,Bruno Guimarães Rodriguez Moura,Newcastle,1
575,Bryan Gil Salvatierra,Spurs,0
116,Bryan Mbeumo,Brentford,1
18,Bukayo Saka,Arsenal,1
224,Callum Hudson-Odoi,Chelsea,0
434,Carlos Henrique Casimiro,Man Utd,1
372,Carlos Mendes Gomes,Luton,0
215,Carney Chukwuemeka,Chelsea,1
247,Cheick Doucouré,Crystal Palace,1
519,Cheikhou Kouyaté,Nott'm Forest,0
436,Christian Eriksen,Man Utd,0
118,Christian Nørgaard,Brentford,1
231,Christian Pulisic,Chelsea,0
418,Cole Palmer,Man City,0
615,Conor Coventry,West Ham,0
221,Conor Gallagher,Chelsea,1
342,Curtis Jones,Liverpool,1
81,Dango Ouattara,Bournemouth,0
655,Daniel Castelo Podence,Wolves,0
510,Danilo dos Santos de Oliveira,Nott'm Forest,1
173,Dara Costelloe,Burnley,0
171,Darko Churlinov,Burnley,0
67,David Brooks,Bournemouth,1
29,Declan Rice,Arsenal,1
583,Dejan Kulusevski,Spurs,1
275,Dele Alli,Everton,0
280,Demarai Gray,Everton,0
336,Diogo Teixeira da Silva,Liverpool,1
379,Dion Pereira,Luton,0
351,Dominik Szoboszlai,Liverpool,1
457,Donny van de Beek,Man Utd,0
44,Douglas Luiz Soares de Paulo,Aston Villa,1
286,Dwight McNeil,Everton,0
