index,name,team,points,value
Bernd Leno2023-08-19T14:00:00Z,Bernd Leno,Fulham,7.237541491395627,45
Thomas Kaminski2023-08-25T19:00:00Z,Thomas Kaminski,Luton,5.75354508947068,45
Emiliano Martínez Romero2023-08-20T13:00:00Z,Emiliano Martínez Romero,Aston Villa,5.56997739658249,50
Wes Foderingham2023-08-18T18:45:00Z,Wes Foderingham,Sheffield Utd,5.478849678622828,45
James Trafford2023-08-27T13:00:00Z,James Trafford,Burnley,4.878509914853133,45
Alisson Ramses Becker2023-08-19T14:00:00Z,Alisson Ramses Becker,Liverpool,4.7277411453614,55
Matt Turner2023-08-18T18:45:00Z,Matt Turner,Nott'm Forest,4.630319526536354,40
Mark Flekken2023-08-19T14:00:00Z,Mark Flekken,Brentford,4.546045011280023,45
André Onana2023-08-19T16:30:00Z,André Onana,Man Utd,4.37033971629758,50
Jason Steele2023-08-19T14:00:00Z,Jason Steele,Brighton,4.265737838470138,45
Aaron Ramsdale2023-08-21T19:00:00Z,Aaron Ramsdale,Arsenal,4.2245045245853925,50
Alphonse Areola2023-08-20T15:30:00Z,Alphonse Areola,West Ham,3.8278077811913103,40
Jordan Pickford2023-08-20T13:00:00Z,Jordan Pickford,Everton,3.80892271600827,45
Robert Sánchez2023-08-20T15:30:00Z,Robert Sánchez,Chelsea,3.629279320201046,45
Ederson Santana de Moraes2023-08-19T19:00:00Z,Ederson Santana de Moraes,Man City,3.2739342118799213,55
Guglielmo Vicario2023-08-19T16:30:00Z,Guglielmo Vicario,Spurs,3.271815659315772,50
Nick Pope2023-08-19T19:00:00Z,Nick Pope,Newcastle,3.1018095158296153,55
Sam Johnstone2023-08-21T19:00:00Z,Sam Johnstone,Crystal Palace,3.0332585287198603,45
Norberto Murara Neto2023-08-19T14:00:00Z,Norberto Murara Neto,Bournemouth,2.6256037411815885,45
José Malheiro de Sá2023-08-19T14:00:00Z,José Malheiro de Sá,Wolves,2.531751888897588,50
