,name,team,minutes
616,Aaron Cresswell,West Ham,0
112,Aaron Hickey,Brentford,1
458,Aaron Wan-Bissaka,Man Utd,1
209,Abdul Rahman Baba,Chelsea,0
87,Adam Smith,Bournemouth,0
160,Adam Webster,Brighton,0
396,Aidan Francis-Clarke,Luton,0
498,Alex Murphy,Newcastle,0
428,Alex Telles,Man Utd,0
33,Alexandre Moreno Lopera,Aston Villa,0
368,Alfie Doughty,Luton,0
363,Amari'i Bell,Luton,0
166,Ameen Al-Dakhil,Burnley,0
349,Andrew Robertson,Liverpool,1
543,Anel Ahmedhodžić,Sheffield Utd,1
630,Angelo Ogbonna,West Ham,0
318,Antonee Robinson,Fulham,1
295,Ashley Young,Everton,1
542,Auston Trusty,Sheffield Utd,0
239,Axel Disasi,Chelsea,1
413,Aymeric Laporte,Man City,1
214,Ben Chilwell,Chelsea,1
576,Ben Davies,Spurs,0
577,Ben Davies,Spurs,1
279,Ben Godfrey,Everton,0
95,Ben Greenwood,Bournemouth,0
622,Ben Johnson,West Ham,0
117,Ben Mee,Brentford,0
636,Bendegúz Bolla,Wolves,0
26,Benjamin White,Arsenal,1
210,Benoît Badiashile,Chelsea,0
188,Bobby Thomas,Burnley,0
432,Brandon Williams,Man Utd,0
175,CJ Egan-Riley,Burnley,0
38,Calum Chambers,Aston Villa,0
326,Calvin Bassey,Fulham,0
110,Charlie Goode,Brentford,0
187,Charlie Taylor,Burnley,0
546,Chris Basham,Sheffield Utd,0
78,Chris Mepham,Bournemouth,1
262,Chris Richards,Crystal Palace,0
185,Connor Roberts,Burnley,1
640,Craig Dawson,Wolves,1
593,Cristian Romero,Spurs,1
1,Cédric Alves Soares,Arsenal,0
208,César Azpilicueta,Chelsea,0
467,Dan Burn,Newcastle,1
380,Dan Potts,Luton,0
182,Dara O'Shea,Burnley,1
594,Davinson Sánchez,Spurs,1
601,Destiny Udogie,Spurs,1
42,Diego Carlos Santos Silva,Aston Villa,1
435,Diogo Dalot Teixeira,Man Utd,0
599,Djed Spence,Spurs,0
579,Emerson Leite de Souza Junior,Spurs,1
618,Emerson Palmieri dos Santos,West Ham,1
477,Emil Krafth,Newcastle,0
433,Eric Bailly,Man Utd,0
578,Eric Dier,Spurs,0
204,Ethan Ampadu,Chelsea,0
120,Ethan Pinnock,Brentford,1
49,Ezri Konsa Ngoyo,Aston Villa,1
487,Fabian Schär,Newcastle,1
513,Felipe Augusto de Almeida Monteiro,Nott'm Forest,0
567,Femi Seriki,Sheffield Utd,0
377,Gabriel Osho,Luton,0
4,Gabriel dos Santos Magalhães,Arsenal,0
545,George Baldock,Sheffield Utd,0
506,Giulian Biancone,Nott'm Forest,0
464,Harrison Ashby,Newcastle,0
444,Harry Maguire,Man Utd,0
533,Harry Toffolo,Nott'm Forest,0
176,Hjalmar Ekdal,Burnley,0
637,Hugo Bueno López,Wolves,1
344,Ibrahima Konaté,Liverpool,1
163,Igor Julio dos Santos de Paulo,Brighton,0
92,Illia Zabarnyi,Bournemouth,1
306,Issa Diop,Fulham,1
392,Issa Kaboré,Luton,1
589,Ivan Perišić,Spurs,1
562,Jack Robinson,Sheffield Utd,1
259,Jake O'Brien,Crystal Palace,0
9,Jakub Kiwior,Arsenal,0
479,Jamaal Lascelles,Newcastle,0
480,Jamal Lewis,Newcastle,0
72,James Hill,Bournemouth,0
292,James Tarkowski,Everton,1
265,James Tomkins,Crystal Palace,0
157,Jan Paul van Hecke,Brighton,1
600,Japhet Tanganga,Spurs,0
356,Jarell Quansah,Liverpool,0
272,Jarrad Branthwaite,Everton,0
482,Javier Manquillo Gaitán,Newcastle,0
547,Jayden Bogle,Sheffield Utd,0
244,Joachim Andersen,Crystal Palace,1
340,Joe Gomez,Liverpool,0
592,Joe Rodon,Spurs,0
537,Joe Worrall,Nott'm Forest,1
347,Joel Matip,Liverpool,0
266,Joel Ward,Crystal Palace,1
551,John Egan,Sheffield Utd,1
424,John Stones,Man City,0
647,Jonathan Castro Otto,Wolves,0
528,Jonathan Panzo,Nott'm Forest,0
169,Jordan Beyer,Burnley,0
541,Josh Powell,Nott'm Forest,0
402,João Cancelo,Man City,0
158,Joël Veltman,Brighton,0
426,Joško Gvardiol,Man City,0
31,Jurriën Timber,Arsenal,0
491,Kell Watts,Newcastle,0
320,Kenny Tete,Fulham,1
312,Kevin Mbabu,Fulham,0
644,Ki-Jana Hoever,Wolves,0
23,Kieran Tierney,Arsenal,0
490,Kieran Trippier,Newcastle,1
353,Konstantinos Tsimikas,Liverpool,0
46,Kortney Hause,Aston Villa,0
98,Kristoffer Ajer,Brentford,1
629,Kurt Zouma,West Ham,1
425,Kyle Walker,Man City,1
216,Levi Colwill,Chelsea,1
137,Lewis Dunk,Brighton,1
223,Lewis Hall,Chelsea,0
448,Lisandro Martínez,Man Utd,1
73,Lloyd Kelly,Bournemouth,0
522,Loïc Mbe Soh,Nott'm Forest,0
327,Luc De Fougerolles,Fulham,0
43,Lucas Digne,Aston Villa,1
180,Luke McNally,Burnley,0
455,Luke Shaw,Man Utd,1
101,Mads Bech Sørensen,Brentford,0
362,Mads Juel Andersen,Luton,0
122,Mads Roerslev Rasmussen,Brentford,0
232,Malang Sarr,Chelsea,0
222,Malo Gusto,Chelsea,0
397,Manuel Akanji,Man City,1
217,Marc Cucurella Saseta,Chelsea,0
252,Marc Guéhi,Crystal Palace,1
86,Marcos Senesi,Bournemouth,1
282,Mason Holgate,Everton,0
129,Mathias Jorgensen,Brentford,1
663,Matt Doherty,Wolves,0
488,Matt Targett,Newcastle,0
37,Matty Cash,Aston Villa,1
96,Max Aarons,Bournemouth,1
650,Max Kilman,Wolves,1
555,Max Lowe,Sheffield Utd,1
284,Michael Keane,Everton,1
144,Michał Karbownik,Brighton,0
605,Micky van de Ven,Spurs,0
93,Milos Kerkez,Bournemouth,1
512,Mohamed Dräger,Nott'm Forest,0
525,Moussa Niakhaté,Nott'm Forest,0
398,Nathan Aké,Man City,1
104,Nathan Collins,Brentford,1
289,Nathan Patterson,Everton,1
246,Nathaniel Clyne,Crystal Palace,0
348,Nathaniel Phillips,Liverpool,0
608,Nayef Aguerd,West Ham,1
535,Neco Williams,Nott'm Forest,0
22,Nuno Varela Tavares,Arsenal,0
