index,name,team,points,value
Erling Haaland2023-08-19T19:00:00Z,Erling Haaland,Man City,6.658684112538275,140
Ollie Watkins2023-08-20T13:00:00Z,Ollie Watkins,Aston Villa,5.589141126507305,80
Taiwo Awoniyi2023-08-18T18:45:00Z,Taiwo Awoniyi,Nott'm Forest,5.41176952676795,65
Callum Wilson2023-08-19T19:00:00Z,Callum Wilson,Newcastle,4.710744339970085,80
Dominic Solanke2023-08-19T14:00:00Z,Dominic Solanke,Bournemouth,4.544389231257851,65
Alexander Isak2023-08-19T19:00:00Z,Alexander Isak,Newcastle,4.443013383184134,76
Harry Kane2023-08-19T16:30:00Z,Harry Kane,Spurs,4.421522685675122,125
Eddie Nketiah2023-08-21T19:00:00Z,Eddie Nketiah,Arsenal,4.39925124583012,55
Odsonne Edouard2023-08-21T19:00:00Z,Odsonne Edouard,Crystal Palace,4.242598217073902,55
Carlton Morris2023-08-25T19:00:00Z,Carlton Morris,Luton,4.1442192375809395,55
Cody Gakpo2023-08-19T14:00:00Z,Cody Gakpo,Liverpool,3.9869321416879253,75
Neal Maupay2023-08-20T13:00:00Z,Neal Maupay,Everton,3.928297854767394,50
Yoane Wissa2023-08-19T14:00:00Z,Yoane Wissa,Brentford,3.9111260483468127,60
Aleksandar Mitrović2023-08-19T14:00:00Z,Aleksandar Mitrović,Fulham,3.8799098947330664,75
João Pedro Junqueira de Jesus2023-08-19T14:00:00Z,João Pedro Junqueira de Jesus,Brighton,3.802887998515375,55
Julián Álvarez2023-08-19T19:00:00Z,Julián Álvarez,Man City,3.7740447295986406,65
Danny Welbeck2023-08-19T14:00:00Z,Danny Welbeck,Brighton,3.602861238435145,60
Darwin Núñez Ribeiro2023-08-19T14:00:00Z,Darwin Núñez Ribeiro,Liverpool,3.5234950645883787,75
Fábio Silva2023-08-19T14:00:00Z,Fábio Silva,Wolves,3.4663772125456833,55
Rasmus Højlund2023-08-19T16:30:00Z,Rasmus Højlund,Man Utd,3.4481937319324216,70
Matheus Santos Carneiro Da Cunha2023-08-19T14:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,3.40838637699052,55
Michail Antonio2023-08-20T15:30:00Z,Michail Antonio,West Ham,3.3511893089176588,60
Nicolas Jackson2023-08-20T15:30:00Z,Nicolas Jackson,Chelsea,3.3454891544359273,70
Evan Ferguson2023-08-19T14:00:00Z,Evan Ferguson,Brighton,3.2390090718945377,60
Bénie Traoré2023-08-18T18:45:00Z,Bénie Traoré,Sheffield Utd,3.124337922377395,55
Zeki Amdouni2023-08-27T13:00:00Z,Zeki Amdouni,Burnley,3.016983274096046,55
William Osula2023-08-18T18:45:00Z,William Osula,Sheffield Utd,2.9620679577191242,45
Raúl Jiménez2023-08-19T14:00:00Z,Raúl Jiménez,Fulham,2.7354244448684133,55
Lyle Foster2023-08-27T13:00:00Z,Lyle Foster,Burnley,2.5138368796254733,50
Elijah Adebayo2023-08-25T19:00:00Z,Elijah Adebayo,Luton,2.5071972701039,50
Danny Ings2023-08-20T15:30:00Z,Danny Ings,West Ham,2.5029051704233845,60
