,name,team,minutes
139,Aaron Connolly,Brighton,0
387,Admiral Muskwe,Luton,0
630,Alejo Véliz,Spurs,0
323,Aleksandar Mitrović,Fulham,1
494,Alexander Isak,Newcastle,1
166,Andi Zeqiri,Brighton,0
463,Anthony Martial,Man Utd,1
88,Antoine Semenyo,Bournemouth,1
592,Antwoine Hackford,Sheffield Utd,0
391,Aribim Pepple,Luton,0
217,Armando Broja,Chelsea,0
587,Bénie Traoré,Sheffield Utd,1
512,Callum Wilson,Newcastle,1
564,Cameron Archer,Sheffield Utd,0
332,Carlos Vinícius Alves Morais,Fulham,0
386,Carlton Morris,Luton,1
400,Cauley Woodrow,Luton,0
388,Chiedozie Ogbene,Luton,0
556,Chris Wood,Nott'm Forest,0
234,Christopher Nkunku,Chelsea,0
351,Cody Gakpo,Liverpool,1
629,Dane Scarlett,Spurs,0
576,Daniel Jebbison,Sheffield Utd,0
644,Danny Ings,West Ham,0
165,Danny Welbeck,Brighton,1
347,Darwin Núñez Ribeiro,Liverpool,1
224,David Datro Fofana,Chelsea,0
249,Deivid Washington de Souza Eugênio,Chelsea,0
160,Deniz Undav,Brighton,0
647,Divin Mubama,West Ham,0
283,Dominic Calvert-Lewin,Everton,0
91,Dominic Solanke,Bournemouth,1
12,Eddie Nketiah,Arsenal,1
374,Elijah Adebayo,Luton,1
301,Ellis Simms,Everton,0
531,Emmanuel Dennis,Nott'm Forest,0
426,Erling Haaland,Man City,1
144,Evan Ferguson,Brighton,1
0,Folarin Balogun,Arsenal,0
666,Fábio Silva,Wolves,1
7,Gabriel Fernando de Jesus,Arsenal,1
649,Gianluca Scamacca,West Ham,0
112,Halil Dervişoğlu,Brentford,0
605,Harry Kane,Spurs,0
554,Hwang Ui-jo,Nott'm Forest,0
579,Iliman Ndiaye,Sheffield Utd,0
128,Ivan Toney,Brentford,0
408,Jacob Brown,Luton,0
190,Jay Rodriguez,Burnley,0
338,Jay Stansfield,Fulham,0
266,Jean-Philippe Mateta,Crystal Palace,0
45,Jhon Durán,Aston Villa,0
396,Joe Taylor,Luton,0
384,John McAtee,Luton,0
280,John-Kymani Gordon,Crystal Palace,0
147,João Pedro Junqueira de Jesus,Brighton,1
414,Julián Álvarez,Man City,1
40,Keinan Davis,Aston Villa,0
82,Kieffer Moore,Bournemouth,0
590,Louie Marsh,Sheffield Utd,0
271,Luke Plange,Crystal Palace,0
181,Lyle Foster,Burnley,1
245,Mason Burstow,Chelsea,0
687,Matheus Santos Carneiro Da Cunha,Wolves,1
187,Michael Obafemi,Burnley,0
632,Michail Antonio,West Ham,1
295,Neal Maupay,Everton,1
233,Nicolas Jackson,Chelsea,1
259,Odsonne Edouard,Crystal Palace,1
578,Oliver McBurnie,Sheffield Utd,0
60,Ollie Watkins,Aston Villa,1
212,Pierre-Emerick Aubameyang,Chelsea,0
476,Rasmus Højlund,Man Utd,0
334,Raúl Jiménez,Fulham,1
570,Rhian Brewster,Sheffield Utd,0
324,Rodrigo Muniz Carvalho,Fulham,0
230,Romelu Lukaku Bolingoli,Chelsea,0
552,Sam Surridge,Nott'm Forest,0
674,Sasa Kalajdzic,Wolves,1
472,Shola Shoretire,Man Utd,0
525,Taiwo Awoniyi,Nott'm Forest,1
309,Thomas Cannon,Everton,0
61,Wesley Moraes Ferreira da Silva,Aston Villa,0
583,William Osula,Sheffield Utd,1
196,Wout Weghorst,Burnley,0
130,Yoane Wissa,Brentford,1
308,Youssef Ramalho Chermiti,Everton,0
199,Zeki Amdouni,Burnley,1
