index,name,team,points,value
Trent Alexander-Arnold2023-09-03T13:00:00Z,Trent Alexander-Arnold,Liverpool,5.394511421507345,79
Andrew Robertson2023-09-03T13:00:00Z,Andrew Robertson,Liverpool,4.902168104490447,65
Kyle Walker2023-09-02T14:00:00Z,Kyle Walker,Man City,4.693110133826083,51
Pedro Porro2023-09-02T14:00:00Z,Pedro Porro,Spurs,4.649309845335333,49
Nathan Aké2023-09-02T14:00:00Z,Nathan Aké,Man City,4.593238779491706,51
Emerson Leite de Souza Junior2023-09-02T14:00:00Z,Emerson Leite de Souza Junior,Spurs,4.510264799974671,45
Rúben Gato Alves Dias2023-09-02T14:00:00Z,Rúben Gato Alves Dias,Man City,4.373615653645766,55
Destiny Udogie2023-09-02T14:00:00Z,Destiny Udogie,Spurs,4.304848143286647,46
Emerson Palmieri dos Santos2023-09-01T19:00:00Z,Emerson Palmieri dos Santos,West Ham,4.207347735538803,45
Kurt Zouma2023-09-01T19:00:00Z,Kurt Zouma,West Ham,4.173302780536059,45
Vladimír Coufal2023-09-01T19:00:00Z,Vladimír Coufal,West Ham,4.0807251584641655,45
Marcos Senesi2023-09-02T14:00:00Z,Marcos Senesi,Bournemouth,4.07273960363005,44
Joško Gvardiol2023-09-02T14:00:00Z,Joško Gvardiol,Man City,4.053471573076061,51
Micky van de Ven2023-09-02T14:00:00Z,Micky van de Ven,Spurs,4.027178839571486,45
Manuel Akanji2023-09-02T14:00:00Z,Manuel Akanji,Man City,4.020289956681784,51
Kieran Trippier2023-09-02T16:30:00Z,Kieran Trippier,Newcastle,3.9087721049238153,65
Ashley Young2023-09-02T11:30:00Z,Ashley Young,Everton,3.856105216835417,45
Aaron Hickey2023-09-02T14:00:00Z,Aaron Hickey,Brentford,3.8260453416896785,45
Joel Ward2023-09-03T13:00:00Z,Joel Ward,Crystal Palace,3.796105181313803,45
Cristian Romero2023-09-02T14:00:00Z,Cristian Romero,Spurs,3.7018204780974915,46
Ibrahima Konaté2023-09-03T13:00:00Z,Ibrahima Konaté,Liverpool,3.6929222957191516,50
Ben Chilwell2023-09-02T14:00:00Z,Ben Chilwell,Chelsea,3.6791148531627833,58
Ben Davies2023-09-02T14:00:00Z,Ben Davies,Spurs,3.6651344424054892,45
Marc Guéhi2023-09-03T13:00:00Z,Marc Guéhi,Crystal Palace,3.6273575709013954,45
Pervis Estupiñán2023-09-02T16:30:00Z,Pervis Estupiñán,Brighton,3.6046790871706933,53
Rico Henry2023-09-02T14:00:00Z,Rico Henry,Brentford,3.528314829721284,46
Thiago Emiliano da Silva2023-09-02T14:00:00Z,Thiago Emiliano da Silva,Chelsea,3.447678412474415,50
Axel Disasi2023-09-02T14:00:00Z,Axel Disasi,Chelsea,3.424800570895916,51
Konstantinos Mavropanos2023-09-01T19:00:00Z,Konstantinos Mavropanos,West Ham,3.4238761793015415,45
Joachim Andersen2023-09-03T13:00:00Z,Joachim Andersen,Crystal Palace,3.3937626373752505,46
Tyrick Mitchell2023-09-03T13:00:00Z,Tyrick Mitchell,Crystal Palace,3.3801973908929517,45
Willy Boly2023-09-02T14:00:00Z,Willy Boly,Nott'm Forest,3.372432267903959,45
Craig Dawson2023-09-03T13:00:00Z,Craig Dawson,Wolves,3.3441030956259277,45
Malo Gusto2023-09-02T14:00:00Z,Malo Gusto,Chelsea,3.319914121414173,41
William Saliba2023-09-03T15:30:00Z,William Saliba,Arsenal,3.3089369824332784,52
Max Kilman2023-09-03T13:00:00Z,Max Kilman,Wolves,3.305829682142469,45
Nathan Collins2023-09-02T14:00:00Z,Nathan Collins,Brentford,3.24745554260392,45
Ivan Perišić2023-09-02T14:00:00Z,Ivan Perišić,Spurs,3.241826001944337,49
Angelo Ogbonna2023-09-01T19:00:00Z,Angelo Ogbonna,West Ham,3.20596556936331,45
Virgil van Dijk2023-09-03T13:00:00Z,Virgil van Dijk,Liverpool,3.1857514297294087,60
Levi Colwill2023-09-02T14:00:00Z,Levi Colwill,Chelsea,3.1408359840140534,45
Reece James2023-09-02T14:00:00Z,Reece James,Chelsea,3.128168114092021,54
Nayef Aguerd2023-09-01T19:00:00Z,Nayef Aguerd,West Ham,3.1243224945488164,45
Raphaël Varane2023-09-03T15:30:00Z,Raphaël Varane,Man Utd,3.1232164885459537,51
Ethan Pinnock2023-09-02T14:00:00Z,Ethan Pinnock,Brentford,3.081342306336866,45
Nélson Cabral Semedo2023-09-03T13:00:00Z,Nélson Cabral Semedo,Wolves,3.030106453566644,45
Nathan Patterson2023-09-02T11:30:00Z,Nathan Patterson,Everton,3.022375677232642,45
Diogo Dalot Teixeira2023-09-03T15:30:00Z,Diogo Dalot Teixeira,Man Utd,2.9657381614405125,49
James Tarkowski2023-09-02T11:30:00Z,James Tarkowski,Everton,2.9284598685470753,45
Hugo Bueno López2023-09-03T13:00:00Z,Hugo Bueno López,Wolves,2.9263294671560933,45
Luke Shaw2023-09-03T15:30:00Z,Luke Shaw,Man Utd,2.9244407912348698,54
Milos Kerkez2023-09-02T14:00:00Z,Milos Kerkez,Bournemouth,2.883179620775339,45
Anel Ahmedhodžić2023-09-02T11:30:00Z,Anel Ahmedhodžić,Sheffield Utd,2.775792684733747,45
Kristoffer Ajer2023-09-02T14:00:00Z,Kristoffer Ajer,Brentford,2.6863847179077576,45
Ryan Giles2023-09-01T19:00:00Z,Ryan Giles,Luton,2.6805640778782798,45
Jack Robinson2023-09-02T11:30:00Z,Jack Robinson,Sheffield Utd,2.6533141932240154,45
Aaron Wan-Bissaka2023-09-03T15:30:00Z,Aaron Wan-Bissaka,Man Utd,2.6324691612260107,46
Chris Basham2023-09-02T11:30:00Z,Chris Basham,Sheffield Utd,2.6286412470834857,40
Dara O'Shea2023-09-02T14:00:00Z,Dara O'Shea,Burnley,2.6110461700100074,45
Connor Roberts2023-09-02T14:00:00Z,Connor Roberts,Burnley,2.588451615205354,45
George Baldock2023-09-02T11:30:00Z,George Baldock,Sheffield Utd,2.5847301511698175,40
Benjamin White2023-09-03T15:30:00Z,Benjamin White,Arsenal,2.56472778130994,55
Jordan Beyer2023-09-02T14:00:00Z,Jordan Beyer,Burnley,2.5034607023540025,40
John Egan2023-09-02T11:30:00Z,John Egan,Sheffield Utd,2.4562521633897827,45
Michael Keane2023-09-02T11:30:00Z,Michael Keane,Everton,2.4476943787504037,45
Victor da Silva2023-09-02T14:00:00Z,Victor da Silva,Burnley,2.44314732817033,45
Issa Kaboré2023-09-01T19:00:00Z,Issa Kaboré,Luton,2.403608954372464,40
Gabriel dos Santos Magalhães2023-09-03T15:30:00Z,Gabriel dos Santos Magalhães,Arsenal,2.380439220243554,48
Scott McKenna2023-09-02T14:00:00Z,Scott McKenna,Nott'm Forest,2.346145372101799,45
Ameen Al-Dakhil2023-09-02T14:00:00Z,Ameen Al-Dakhil,Burnley,2.3376492379510783,40
Lloyd Kelly2023-09-02T14:00:00Z,Lloyd Kelly,Bournemouth,2.3151525008648646,45
Lisandro Martínez2023-09-03T15:30:00Z,Lisandro Martínez,Man Utd,2.2768418653268414,49
Max Lowe2023-09-02T11:30:00Z,Max Lowe,Sheffield Utd,2.250946510136776,45
Jurriën Timber2023-09-03T15:30:00Z,Jurriën Timber,Arsenal,2.248668396461284,48
Joe Gomez2023-09-03T13:00:00Z,Joe Gomez,Liverpool,2.2259020432256533,45
Sven Botman2023-09-02T16:30:00Z,Sven Botman,Newcastle,2.1918204565010275,45
Mads Juel Andersen2023-09-01T19:00:00Z,Mads Juel Andersen,Luton,2.1814501292617785,40
Tom Lockyer2023-09-01T19:00:00Z,Tom Lockyer,Luton,2.1357553048654596,45
Yasser Larouci2023-09-02T11:30:00Z,Yasser Larouci,Sheffield Utd,2.096215533944657,45
Diego Carlos Santos Silva2023-09-03T13:00:00Z,Diego Carlos Santos Silva,Aston Villa,2.0947213187505707,45
Rayan Aït-Nouri2023-09-03T13:00:00Z,Rayan Aït-Nouri,Wolves,2.0732459674387895,45
Jayden Bogle2023-09-02T11:30:00Z,Jayden Bogle,Sheffield Utd,2.0708702175372187,45
Illia Zabarnyi2023-09-02T14:00:00Z,Illia Zabarnyi,Bournemouth,1.97402330873573,45
