,name,team,minutes
140,Aaron Connolly,Brighton,0
401,Admiral Muskwe,Luton,0
654,Alejo Véliz,Spurs,0
333,Aleksandar Mitrović,Fulham,0
509,Alexander Isak,Newcastle,1
167,Andi Zeqiri,Brighton,0
475,Anthony Martial,Man Utd,1
86,Antoine Semenyo,Bournemouth,0
615,Antwoine Hackford,Sheffield Utd,0
405,Aribim Pepple,Luton,0
222,Armando Broja,Chelsea,0
610,Bénie Traoré,Sheffield Utd,1
527,Callum Wilson,Newcastle,1
586,Cameron Archer,Sheffield Utd,1
342,Carlos Vinícius Alves Morais,Fulham,1
400,Carlton Morris,Luton,1
414,Cauley Woodrow,Luton,0
402,Chiedozie Ogbene,Luton,0
572,Chris Wood,Nott'm Forest,0
238,Christopher Nkunku,Chelsea,0
363,Cody Gakpo,Liverpool,1
653,Dane Scarlett,Spurs,0
599,Daniel Jebbison,Sheffield Utd,0
669,Danny Ings,West Ham,0
166,Danny Welbeck,Brighton,1
359,Darwin Núñez Ribeiro,Liverpool,1
229,David Datro Fofana,Chelsea,0
254,Deivid Washington de Souza Eugênio,Chelsea,0
161,Deniz Undav,Brighton,0
672,Divin Mubama,West Ham,0
584,Divock Origi,Nott'm Forest,0
293,Dominic Calvert-Lewin,Everton,1
89,Dominic Solanke,Bournemouth,1
11,Eddie Nketiah,Arsenal,1
388,Elijah Adebayo,Luton,1
309,Ellis Simms,Everton,0
548,Emmanuel Dennis,Nott'm Forest,0
440,Erling Haaland,Man City,1
145,Evan Ferguson,Brighton,1
0,Folarin Balogun,Arsenal,0
692,Fábio Silva,Wolves,1
6,Gabriel Fernando de Jesus,Arsenal,1
674,Gianluca Scamacca,West Ham,0
111,Halil Dervişoğlu,Brentford,0
630,Harry Kane,Spurs,0
570,Hwang Ui-jo,Nott'm Forest,0
602,Iliman Ndiaye,Sheffield Utd,0
127,Ivan Toney,Brentford,0
423,Jacob Brown,Luton,0
193,Jay Rodriguez,Burnley,0
348,Jay Stansfield,Fulham,0
275,Jean-Philippe Mateta,Crystal Palace,1
42,Jhon Durán,Aston Villa,1
410,Joe Taylor,Luton,0
398,John McAtee,Luton,0
290,John-Kymani Gordon,Crystal Palace,0
148,João Pedro Junqueira de Jesus,Brighton,1
429,Julián Álvarez,Man City,1
37,Keinan Davis,Aston Villa,0
80,Kieffer Moore,Bournemouth,0
613,Louie Marsh,Sheffield Utd,0
280,Luke Plange,Crystal Palace,0
184,Lyle Foster,Burnley,1
250,Mason Burstow,Chelsea,0
712,Matheus Santos Carneiro Da Cunha,Wolves,1
190,Michael Obafemi,Burnley,0
657,Michail Antonio,West Ham,1
716,Nathan Fraser,Wolves,0
132,Neal Maupay,Brentford,0
237,Nicolas Jackson,Chelsea,1
320,Norberto Bercique Gomes Betuncal,Everton,1
268,Odsonne Edouard,Crystal Palace,1
601,Oliver McBurnie,Sheffield Utd,0
57,Ollie Watkins,Aston Villa,1
217,Pierre-Emerick Aubameyang,Chelsea,0
488,Rasmus Højlund,Man Utd,1
344,Raúl Jiménez,Fulham,1
593,Rhian Brewster,Sheffield Utd,0
334,Rodrigo Muniz Carvalho,Fulham,0
234,Romelu Lukaku Bolingoli,Chelsea,0
259,Ronnie Stutter,Chelsea,0
568,Sam Surridge,Nott'm Forest,0
700,Sasa Kalajdzic,Wolves,0
483,Shola Shoretire,Man Utd,0
542,Taiwo Awoniyi,Nott'm Forest,1
317,Thomas Cannon,Everton,0
58,Wesley Moraes Ferreira da Silva,Aston Villa,0
606,William Osula,Sheffield Utd,0
199,Wout Weghorst,Burnley,0
129,Yoane Wissa,Brentford,1
316,Youssef Ramalho Chermiti,Everton,0
202,Zeki Amdouni,Burnley,1
