,name,team,minutes
664,Aaron Cresswell,West Ham,0
115,Aaron Hickey,Brentford,1
485,Aaron Wan-Bissaka,Man Utd,0
219,Abdul Rahman Baba,Chelsea,0
88,Adam Smith,Bournemouth,0
165,Adam Webster,Brighton,0
424,Aidan Francis-Clarke,Luton,0
532,Alex Murphy,Newcastle,0
457,Alex Telles,Man Utd,0
31,Alexandre Moreno Lopera,Aston Villa,0
395,Alfie Doughty,Luton,0
258,Alfie Gilchrist,Chelsea,0
390,Amari'i Bell,Luton,1
173,Ameen Al-Dakhil,Burnley,1
581,Andrew Omobamidele,Nott'm Forest,0
373,Andrew Robertson,Liverpool,1
588,Anel Ahmedhodžić,Sheffield Utd,1
678,Angelo Ogbonna,West Ham,0
338,Antonee Robinson,Fulham,0
655,Ashley Phillips,Spurs,0
313,Ashley Young,Everton,1
585,Auston Trusty,Sheffield Utd,0
248,Axel Disasi,Chelsea,1
442,Aymeric Laporte,Man City,0
253,Bashir Humphreys,Chelsea,0
224,Ben Chilwell,Chelsea,1
624,Ben Davies,Spurs,0
625,Ben Davies,Spurs,0
299,Ben Godfrey,Everton,0
96,Ben Greenwood,Bournemouth,0
670,Ben Johnson,West Ham,0
120,Ben Mee,Brentford,1
687,Bendegúz Bolla,Wolves,0
23,Benjamin White,Arsenal,1
220,Benoît Badiashile,Chelsea,0
195,Bobby Thomas,Burnley,0
461,Brandon Williams,Man Utd,0
182,CJ Egan-Riley,Burnley,0
35,Calum Chambers,Aston Villa,0
346,Calvin Bassey,Fulham,0
113,Charlie Goode,Brentford,0
194,Charlie Taylor,Burnley,0
591,Chris Basham,Sheffield Utd,0
79,Chris Mepham,Bournemouth,0
281,Chris Richards,Crystal Palace,0
65,Clément Lenglet,Aston Villa,0
192,Connor Roberts,Burnley,1
691,Craig Dawson,Wolves,1
640,Cristian Romero,Spurs,1
1,Cédric Alves Soares,Arsenal,0
218,César Azpilicueta,Chelsea,0
501,Dan Burn,Newcastle,1
407,Dan Potts,Luton,0
189,Dara O'Shea,Burnley,1
641,Davinson Sánchez,Spurs,0
648,Destiny Udogie,Spurs,1
39,Diego Carlos Santos Silva,Aston Villa,0
464,Diogo Dalot Teixeira,Man Utd,1
646,Djed Spence,Spurs,0
627,Emerson Leite de Souza Junior,Spurs,0
666,Emerson Palmieri dos Santos,West Ham,1
511,Emil Krafth,Newcastle,0
462,Eric Bailly,Man Utd,0
626,Eric Dier,Spurs,0
215,Ethan Ampadu,Chelsea,0
123,Ethan Pinnock,Brentford,1
46,Ezri Konsa Ngoyo,Aston Villa,1
521,Fabian Schär,Newcastle,1
550,Felipe Augusto de Almeida Monteiro,Nott'm Forest,0
612,Femi Seriki,Sheffield Utd,0
354,Fodé Ballo-Touré,Fulham,0
404,Gabriel Osho,Luton,0
4,Gabriel dos Santos Magalhães,Arsenal,1
590,George Baldock,Sheffield Utd,0
543,Giulian Biancone,Nott'm Forest,0
578,Gonzalo Montiel,Nott'm Forest,0
209,Hannes Delcroix,Burnley,0
498,Harrison Ashby,Newcastle,0
472,Harry Maguire,Man Utd,0
569,Harry Toffolo,Nott'm Forest,0
183,Hjalmar Ekdal,Burnley,0
688,Hugo Bueno López,Wolves,1
368,Ibrahima Konaté,Liverpool,1
168,Igor Julio dos Santos de Paulo,Brighton,0
93,Illia Zabarnyi,Bournemouth,1
326,Issa Diop,Fulham,1
420,Issa Kaboré,Luton,1
637,Ivan Perišić,Spurs,1
607,Jack Robinson,Sheffield Utd,1
278,Jake O'Brien,Crystal Palace,0
8,Jakub Kiwior,Arsenal,0
513,Jamaal Lascelles,Newcastle,0
514,Jamal Lewis,Newcastle,0
73,James Hill,Bournemouth,0
310,James Tarkowski,Everton,1
284,James Tomkins,Crystal Palace,0
162,Jan Paul van Hecke,Brighton,0
647,Japhet Tanganga,Spurs,0
380,Jarell Quansah,Liverpool,1
292,Jarrad Branthwaite,Everton,1
516,Javier Manquillo Gaitán,Newcastle,0
592,Jayden Bogle,Sheffield Utd,1
263,Joachim Andersen,Crystal Palace,1
364,Joe Gomez,Liverpool,1
639,Joe Rodon,Spurs,0
573,Joe Worrall,Nott'm Forest,1
371,Joel Matip,Liverpool,1
285,Joel Ward,Crystal Palace,1
596,John Egan,Sheffield Utd,0
451,John Stones,Man City,0
698,Jonathan Castro Otto,Wolves,0
564,Jonathan Panzo,Nott'm Forest,0
493,Jonny Evans,Man Utd,0
176,Jordan Beyer,Burnley,1
426,Joseph Johnson,Luton,0
577,Josh Powell,Nott'm Forest,0
432,João Cancelo,Man City,0
163,Joël Veltman,Brighton,1
454,Joško Gvardiol,Man City,1
29,Jurriën Timber,Arsenal,0
525,Kell Watts,Newcastle,0
340,Kenny Tete,Fulham,1
332,Kevin Mbabu,Fulham,0
695,Ki-Jana Hoever,Wolves,0
20,Kieran Tierney,Arsenal,0
524,Kieran Trippier,Newcastle,1
682,Konstantinos Mavropanos,West Ham,0
377,Konstantinos Tsimikas,Liverpool,0
43,Kortney Hause,Aston Villa,0
101,Kristoffer Ajer,Brentford,0
677,Kurt Zouma,West Ham,1
452,Kyle Walker,Man City,1
226,Levi Colwill,Chelsea,1
142,Lewis Dunk,Brighton,1
495,Lewis Hall,Newcastle,0
476,Lisandro Martínez,Man Utd,1
74,Lloyd Kelly,Bournemouth,1
558,Loïc Mbe Soh,Nott'm Forest,0
347,Luc De Fougerolles,Fulham,0
40,Lucas Digne,Aston Villa,1
187,Luke McNally,Burnley,0
482,Luke Shaw,Man Utd,0
618,Luke Thomas,Sheffield Utd,0
104,Mads Bech Sørensen,Brentford,0
