index,name,team,points,value
Aaron Ramsdale2023-09-24T13:00:00Z,Aaron Ramsdale,Arsenal,2.7104404577810164,50
Alisson Ramses Becker2023-09-24T13:00:00Z,Alisson Ramses Becker,Liverpool,3.2224857793153925,55
Alphonse Areola2023-09-24T13:00:00Z,Alphonse Areola,West Ham,2.115821920119198,41
André Onana2023-09-23T19:00:00Z,André Onana,Man Utd,3.8638714537571017,50
Bart Verbruggen2023-09-24T13:00:00Z,Bart Verbruggen,Brighton,2.7856863658454887,44
Bernd Leno2023-09-23T14:00:00Z,Bernd Leno,Fulham,3.4135263774295996,46
David Raya Martin2023-09-24T13:00:00Z,David Raya Martin,Arsenal,3.79311632980744,48
Ederson Santana de Moraes2023-09-23T14:00:00Z,Ederson Santana de Moraes,Man City,2.570420243481714,56
Emiliano Martínez Romero2023-09-24T13:00:00Z,Emiliano Martínez Romero,Aston Villa,2.967046396348636,49
Guglielmo Vicario2023-09-24T13:00:00Z,Guglielmo Vicario,Spurs,2.7064100146310395,51
James Trafford2023-09-23T19:00:00Z,James Trafford,Burnley,1.8341466304426854,45
Jason Steele2023-09-24T13:00:00Z,Jason Steele,Brighton,2.5388356716896654,44
Jordan Pickford2023-09-23T16:30:00Z,Jordan Pickford,Everton,2.9295544418927526,44
José Malheiro de Sá2023-09-23T14:00:00Z,José Malheiro de Sá,Wolves,3.5419626426624116,50
Mark Flekken2023-09-23T16:30:00Z,Mark Flekken,Brentford,2.9039506685790695,45
Matt Turner2023-09-23T14:00:00Z,Matt Turner,Nott'm Forest,2.154124997316993,40
Nick Pope2023-09-24T15:30:00Z,Nick Pope,Newcastle,3.3853718945775153,55
Norberto Murara Neto2023-09-24T13:00:00Z,Norberto Murara Neto,Bournemouth,2.4496291268459536,45
Robert Sánchez2023-09-24T13:00:00Z,Robert Sánchez,Chelsea,3.0413436739385853,45
Sam Johnstone2023-09-23T14:00:00Z,Sam Johnstone,Crystal Palace,3.0255190216319363,45
Thomas Kaminski2023-09-23T14:00:00Z,Thomas Kaminski,Luton,2.835049689866295,45
Wes Foderingham2023-09-24T15:30:00Z,Wes Foderingham,Sheffield Utd,2.3804753412603734,45
