index,name,team,points,value
Abdoulaye Doucouré2023-09-17T15:30:00Z,Abdoulaye Doucouré,Everton,3.3296983887343377,55
Alex Iwobi2023-09-16T14:00:00Z,Alex Iwobi,Fulham,4.371061025818869,54
Amadou Onana2023-09-17T15:30:00Z,Amadou Onana,Everton,2.4778034634373634,49
Andreas Hoelgebaum Pereira2023-09-16T14:00:00Z,Andreas Hoelgebaum Pereira,Fulham,2.703816896745524,55
Anssumane Fati Vieira2023-09-16T14:00:00Z,Anssumane Fati Vieira,Brighton,2.519428779623623,65
Anthony Elanga2023-09-18T18:45:00Z,Anthony Elanga,Nott'm Forest,2.5161501198630085,50
Anthony Gordon2023-09-16T16:30:00Z,Anthony Gordon,Newcastle,3.027088677613438,55
Antony Matheus dos Santos2023-09-16T14:00:00Z,Antony Matheus dos Santos,Man Utd,3.0513880239651265,68
Arnaut Danjuma Groeneveld2023-09-17T15:30:00Z,Arnaut Danjuma Groeneveld,Everton,2.919779274105486,55
Ben Osborn2023-09-16T14:00:00Z,Ben Osborn,Sheffield Utd,1.9847613870881033,49
Bernardo Veiga de Carvalho e Silva2023-09-16T14:00:00Z,Bernardo Veiga de Carvalho e Silva,Man City,2.6328988931354083,64
Billy Gilmour2023-09-16T14:00:00Z,Billy Gilmour,Brighton,2.3689443605102003,49
Bobby De Cordova-Reid2023-09-16T14:00:00Z,Bobby De Cordova-Reid,Fulham,3.1148120162959425,55
Boubacar Kamara2023-09-16T14:00:00Z,Boubacar Kamara,Aston Villa,2.7780245220912168,50
Brennan Johnson2023-09-16T14:00:00Z,Brennan Johnson,Spurs,2.9315575818766524,59
Bruno Borges Fernandes2023-09-16T14:00:00Z,Bruno Borges Fernandes,Man Utd,4.215624279806429,84
Bruno Guimarães Rodriguez Moura2023-09-16T16:30:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,2.8405596257671144,58
Bryan Mbeumo2023-09-16T16:30:00Z,Bryan Mbeumo,Brentford,4.321471968015977,68
Bukayo Saka2023-09-17T15:30:00Z,Bukayo Saka,Arsenal,4.899141703853204,87
Carlos Henrique Casimiro2023-09-16T14:00:00Z,Carlos Henrique Casimiro,Man Utd,2.942991874977957,54
Carney Chukwuemeka2023-09-17T13:00:00Z,Carney Chukwuemeka,Chelsea,2.1562316190554496,44
Cheick Doucouré2023-09-16T14:00:00Z,Cheick Doucouré,Crystal Palace,2.898512444260891,50
Christian Eriksen2023-09-16T14:00:00Z,Christian Eriksen,Man Utd,2.5236312297685894,59
Christian Nørgaard2023-09-16T16:30:00Z,Christian Nørgaard,Brentford,2.679174060418935,55
Conor Gallagher2023-09-17T13:00:00Z,Conor Gallagher,Chelsea,2.298599078350205,55
Danilo dos Santos de Oliveira2023-09-18T18:45:00Z,Danilo dos Santos de Oliveira,Nott'm Forest,3.109223023438643,54
David Brooks2023-09-17T13:00:00Z,David Brooks,Bournemouth,2.0743293756196497,49
Declan Rice2023-09-17T15:30:00Z,Declan Rice,Arsenal,2.971090578934789,54
Dejan Kulusevski2023-09-16T14:00:00Z,Dejan Kulusevski,Spurs,4.860639866978591,70
Diogo Teixeira da Silva2023-09-16T11:30:00Z,Diogo Teixeira da Silva,Liverpool,3.6429783829270446,80
Dominik Szoboszlai2023-09-16T11:30:00Z,Dominik Szoboszlai,Liverpool,3.8842333823731052,70
Douglas Luiz Soares de Paulo2023-09-16T14:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,2.6315831983757976,54
Dwight McNeil2023-09-17T15:30:00Z,Dwight McNeil,Everton,1.7815163014478894,54
Eberechi Eze2023-09-16T14:00:00Z,Eberechi Eze,Crystal Palace,4.416199413474603,63
Edson Álvarez Velázquez2023-09-16T14:00:00Z,Edson Álvarez Velázquez,West Ham,1.637242063419466,50
Elliot Anderson2023-09-16T16:30:00Z,Elliot Anderson,Newcastle,1.8979258914777133,44
Enzo Fernández2023-09-17T13:00:00Z,Enzo Fernández,Chelsea,3.034281222262361,50
Frank Onyeka2023-09-16T16:30:00Z,Frank Onyeka,Brentford,1.8816055281014759,49
Fábio Ferreira Vieira2023-09-17T15:30:00Z,Fábio Ferreira Vieira,Arsenal,2.2767391608673386,54
Gabriel Martinelli Silva2023-09-17T15:30:00Z,Gabriel Martinelli Silva,Arsenal,4.385959646542092,79
Gustavo Hamer2023-09-16T14:00:00Z,Gustavo Hamer,Sheffield Utd,2.864924103085738,50
Harrison Reed2023-09-16T14:00:00Z,Harrison Reed,Fulham,3.0108426428119732,48
Harry Wilson2023-09-16T14:00:00Z,Harry Wilson,Fulham,3.581994354524207,54
Harvey Barnes2023-09-16T16:30:00Z,Harvey Barnes,Newcastle,3.2388256742354544,64
Harvey Elliott2023-09-16T11:30:00Z,Harvey Elliott,Liverpool,1.6219668985069196,49
Hwang Hee-chan2023-09-16T11:30:00Z,Hwang Hee-chan,Wolves,2.2956683909818723,54
Idrissa Gueye2023-09-17T15:30:00Z,Idrissa Gueye,Everton,2.082770539832204,49
Jack Grealish2023-09-16T14:00:00Z,Jack Grealish,Man City,4.735488061773049,73
Jack Harrison2023-09-17T15:30:00Z,Jack Harrison,Everton,2.180968228265434,55
Jacob Bruun Larsen2023-09-18T18:45:00Z,Jacob Bruun Larsen,Burnley,2.0267712938010343,49
Jadon Sancho2023-09-16T14:00:00Z,Jadon Sancho,Man Utd,2.6867737634309155,68
James Garner2023-09-17T15:30:00Z,James Garner,Everton,2.129964454414285,50
James Maddison2023-09-16T14:00:00Z,James Maddison,Spurs,5.553637161873047,78
James Milner2023-09-16T14:00:00Z,James Milner,Brighton,1.7696831036795524,49
James Ward-Prowse2023-09-16T14:00:00Z,James Ward-Prowse,West Ham,3.4161340170738077,61
Jarrod Bowen2023-09-16T14:00:00Z,Jarrod Bowen,West Ham,4.591880187658806,71
Jefferson Lerma Solís2023-09-16T14:00:00Z,Jefferson Lerma Solís,Crystal Palace,2.5856752407332273,49
Jeffrey Schlupp2023-09-16T14:00:00Z,Jeffrey Schlupp,Crystal Palace,2.647735662919297,49
Joelinton Cássio Apolinário de Lira2023-09-16T16:30:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,2.733479920356799,59
John McGinn2023-09-16T14:00:00Z,John McGinn,Aston Villa,3.28297926064395,55
Jordan Ayew2023-09-16T14:00:00Z,Jordan Ayew,Crystal Palace,2.981649382791496,55
Jorge Luiz Frello Filho2023-09-17T15:30:00Z,Jorge Luiz Frello Filho,Arsenal,1.6910759926779064,54
Josh Brownhill2023-09-18T18:45:00Z,Josh Brownhill,Burnley,2.137461916547588,48
Josh Cullen2023-09-18T18:45:00Z,Josh Cullen,Burnley,2.117794031018911,50
João Victor Gomes da Silva2023-09-16T11:30:00Z,João Victor Gomes da Silva,Wolves,2.0610394918330397,50
Julio Enciso2023-09-16T14:00:00Z,Julio Enciso,Brighton,2.485420061316084,53
Justin Kluivert2023-09-17T13:00:00Z,Justin Kluivert,Bournemouth,2.16632359839768,48
Jérémy Doku2023-09-16T14:00:00Z,Jérémy Doku,Man City,3.0332345694925023,65
Kai Havertz2023-09-17T15:30:00Z,Kai Havertz,Arsenal,3.3980697160836404,73
Kaoru Mitoma2023-09-16T14:00:00Z,Kaoru Mitoma,Brighton,4.469492485734994,65
Kevin Schade2023-09-16T16:30:00Z,Kevin Schade,Brentford,2.673925593959858,54
Leandro Trossard2023-09-17T15:30:00Z,Leandro Trossard,Arsenal,3.5992600212253407,66
Leon Bailey2023-09-16T14:00:00Z,Leon Bailey,Aston Villa,2.9310708873390823,55
Lewis Cook2023-09-17T13:00:00Z,Lewis Cook,Bournemouth,2.1555380271268167,50
Luca Koleosho2023-09-18T18:45:00Z,Luca Koleosho,Burnley,1.833229824643311,50
Lucas Tolentino Coelho de Lima2023-09-16T14:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,3.090816793351437,60
Luis Díaz2023-09-16T11:30:00Z,Luis Díaz,Liverpool,3.8928025372733814,77
Luis Sinisterra2023-09-17T13:00:00Z,Luis Sinisterra,Bournemouth,2.342296328709389,55
Manor Solomon2023-09-16T14:00:00Z,Manor Solomon,Spurs,3.0045856869812866,53
Marcus Rashford2023-09-16T14:00:00Z,Marcus Rashford,Man Utd,4.8117529717253715,89
Mario Lemina2023-09-16T11:30:00Z,Mario Lemina,Wolves,2.557586671335305,50
Martin Ødegaard2023-09-17T15:30:00Z,Martin Ødegaard,Arsenal,4.098721990255937,85
Marvelous Nakamba2023-09-16T14:00:00Z,Marvelous Nakamba,Luton,1.635013039467025,44
Mateo Kovačić2023-09-16T14:00:00Z,Mateo Kovačić,Man City,2.5170221460678066,49
Mathias Jensen2023-09-16T16:30:00Z,Mathias Jensen,Brentford,3.004095150903024,54
Miguel Almirón Rejala2023-09-16T16:30:00Z,Miguel Almirón Rejala,Newcastle,3.4410642700403162,63
Mike Trésor2023-09-18T18:45:00Z,Mike Trésor,Burnley,2.246093461888987,55
Mohamed Salah2023-09-16T11:30:00Z,Mohamed Salah,Liverpool,6.896788194758162,125
Mohammed Kudus2023-09-16T14:00:00Z,Mohammed Kudus,West Ham,2.641238935279379,65
Moisés Caicedo Corozo2023-09-17T13:00:00Z,Moisés Caicedo Corozo,Chelsea,2.689932576679794,49
Morgan Gibbs-White2023-09-18T18:45:00Z,Morgan Gibbs-White,Nott'm Forest,4.13661999882355,59
Moussa Diaby2023-09-16T14:00:00Z,Moussa Diaby,Aston Villa,4.616081240044408,66
Mykhailo Mudryk2023-09-17T13:00:00Z,Mykhailo Mudryk,Chelsea,2.8438480340424257,64
Nathan Redmond2023-09-18T18:45:00Z,Nathan Redmond,Burnley,1.593274676906668,48
Noni Madueke2023-09-17T13:00:00Z,Noni Madueke,Chelsea,2.1221584420211617,54
Oliver Norwood2023-09-16T14:00:00Z,Oliver Norwood,Sheffield Utd,2.5879507103236863,50
Orel Mangala2023-09-18T18:45:00Z,Orel Mangala,Nott'm Forest,2.3808849227841926,50
Pablo Fornals Malla2023-09-16T14:00:00Z,Pablo Fornals Malla,West Ham,1.753857901519407,49
Pablo Sarabia2023-09-16T11:30:00Z,Pablo Sarabia,Wolves,2.1687048733619605,50
Pape Matar Sarr2023-09-16T14:00:00Z,Pape Matar Sarr,Spurs,3.545939006562139,46
Pascal Groß2023-09-16T14:00:00Z,Pascal Groß,Brighton,3.6160387139713808,64
Pedro Lomba Neto2023-09-16T11:30:00Z,Pedro Lomba Neto,Wolves,4.033607633011774,55
Pelly Ruddock Mpanzu2023-09-16T14:00:00Z,Pelly Ruddock Mpanzu,Luton,1.8763016829900832,49
Phil Foden2023-09-16T14:00:00Z,Phil Foden,Man City,5.475835317400713,76
Philip Billing2023-09-17T13:00:00Z,Philip Billing,Bournemouth,3.200039492861735,53
Pierre-Emile Højbjerg2023-09-16T14:00:00Z,Pierre-Emile Højbjerg,Spurs,2.4612488911088923,53
Raheem Sterling2023-09-17T13:00:00Z,Raheem Sterling,Chelsea,3.7605929221040904,72
Richarlison de Andrade2023-09-16T14:00:00Z,Richarlison de Andrade,Spurs,3.787549646507315,68
Rodrigo Hernandez2023-09-16T14:00:00Z,Rodrigo Hernandez,Man City,3.0245159071049357,57
Ryan Christie2023-09-17T13:00:00Z,Ryan Christie,Bournemouth,2.6059252294843933,50
Ryan Yates2023-09-18T18:45:00Z,Ryan Yates,Nott'm Forest,2.7935924545022486,49
Sander Berge2023-09-18T18:45:00Z,Sander Berge,Burnley,1.9997539191334668,49
Sandro Tonali2023-09-16T16:30:00Z,Sandro Tonali,Newcastle,2.925231909613068,55
Saïd Benrahma2023-09-16T14:00:00Z,Saïd Benrahma,West Ham,2.8503972850339974,59
Saša Lukić2023-09-16T14:00:00Z,Saša Lukić,Fulham,2.7644716392848525,45
Sean Longstaff2023-09-16T16:30:00Z,Sean Longstaff,Newcastle,2.1310146136488046,49
Solly March2023-09-16T14:00:00Z,Solly March,Brighton,3.9680385888970293,66
Son Heung-min2023-09-16T14:00:00Z,Son Heung-min,Spurs,5.330982372002514,91
Tahith Chong2023-09-16T14:00:00Z,Tahith Chong,Luton,2.017611155361635,50
Thomas Partey2023-09-17T15:30:00Z,Thomas Partey,Arsenal,2.764668581379436,49
Tomáš Souček2023-09-16T14:00:00Z,Tomáš Souček,West Ham,1.854141489678072,49
Vini de Souza Costa2023-09-16T14:00:00Z,Vini de Souza Costa,Sheffield Utd,2.560513224488715,50
