,name,team,minutes
3,Aaron Ramsdale,Arsenal,0
8,Adam Davies,Sheffield Utd,0
15,Adrián San Miguel del Castillo,Liverpool,0
32,Alfie Whiteman,Spurs,0
33,Alisson Ramses Becker,Liverpool,1
36,Alphonse Areola,West Ham,1
37,Altay Bayindir,Man Utd,0
49,André Onana,Man Utd,1
51,Andy Lonergan,Everton,0
65,Arijanet Muric,Burnley,0
73,Bailey Peacock-Farrell,Burnley,0
74,Bart Verbruggen,Brighton,1
90,Bernd Leno,Fulham,1
100,Brandon Austin,Spurs,0
116,Caoimhin Kelleher,Liverpool,0
152,Daniel Bentley,Wolves,0
162,Darren Randolph,Bournemouth,0
167,David Raya Martin,Arsenal,1
169,Dean Henderson,Crystal Palace,0
175,Denis Franchi,Burnley,0
186,Djordje Petrovic,Chelsea,0
194,Eddie Beach,Chelsea,0
196,Ederson Santana de Moraes,Man City,1
199,Ellery Balcombe,Brentford,0
209,Emiliano Martínez Romero,Aston Villa,1
219,Ethan Horvath,Nott'm Forest,0
229,Filip Marschall,Aston Villa,0
235,Fraser Forster,Spurs,0
243,Gabriel Słonina,Chelsea,0
248,George Shelvey,Nott'm Forest,0
256,Guglielmo Vicario,Spurs,1
276,Hugo Lloris,Spurs,0
286,Ionuț Radu,Bournemouth,0
299,Jack Walton,Luton,0
321,James Shea,Luton,0
324,James Trafford,Burnley,1
332,Jason Steele,Brighton,0
353,Joe Whitworth,Crystal Palace,0
369,Jordan Amissah,Sheffield Utd,0
374,Jordan Pickford,Everton,1
376,Joseph Anang,West Ham,0
384,José Malheiro de Sá,Wolves,1
386,João Neves Virgínia,Everton,0
402,Karl Darlow,Newcastle,0
403,Karl Hein,Arsenal,0
408,Kepa Arrizabalaga,Chelsea,0
416,Kjell Scherpen,Brighton,0
424,Lawrence Vigouroux,Burnley,0
438,Loris Karius,Newcastle,0
444,Lucas Bergström,Chelsea,0
449,Lukasz Fabianski,West Ham,0
475,Marcus Bettinelli,Chelsea,0
479,Marek Rodák,Fulham,0
481,Mark Flekken,Brentford,1
482,Mark Gillespie,Newcastle,0
483,Mark Travers,Bournemouth,0
484,Martin Dubravka,Newcastle,0
496,Matija Šarkić,Wolves,0
498,Matt Macey,Luton,0
501,Matt Turner,Nott'm Forest,1
502,Matthew Cox,Brentford,0
543,Nick Pope,Newcastle,1
551,Norberto Murara Neto,Bournemouth,1
555,Odysseas Vlachodimos,Nott'm Forest,0
560,Oliwier Zych,Aston Villa,0
584,Radek Vítek,Man Utd,0
593,Remi Matthews,Crystal Palace,0
603,Robert Sánchez,Chelsea,1
604,Robin Olsen,Aston Villa,0
621,Rúnar Alex Rúnarsson,Arsenal,0
622,Sam Johnstone,Crystal Palace,1
632,Scott Carson,Man City,0
652,Stefan Ortega Moreno,Man City,0
655,Steven Benda,Fulham,0
668,Thomas Kaminski,Luton,1
670,Thomas Strakosha,Brentford,0
672,Tim Krul,Luton,0
678,Tom Heaton,Man Utd,0
679,Tom King,Wolves,0
681,Tom McGill,Brighton,0
694,Vicente Guaita,Crystal Palace,0
697,Viljami Sinisalo,Aston Villa,0
704,Wayne Hennessey,Nott'm Forest,0
705,Wes Foderingham,Sheffield Utd,1
722,Zack Steffen,Man City,0
