,name,team,minutes
4,Aaron Ramsey,Burnley,0
6,Abdoulaye Doucouré,Everton,1
9,Adam Lallana,Brighton,0
12,Adama Traoré,Fulham,0
17,Albert Sambi Lokonga,Luton,1
18,Alejandro Garnacho,Man Utd,1
21,Alex Iwobi,Fulham,1
22,Alex Matos,Chelsea,0
23,Alex Mighten,Nott'm Forest,0
25,Alex Scott,Bournemouth,0
29,Alexis Mac Allister,Liverpool,1
34,Allan Campbell,Luton,0
35,Allan Saint-Maximin,Newcastle,0
38,Amad Diallo,Man Utd,0
39,Amadou Onana,Everton,1
42,Anass Zaroury,Burnley,0
44,Andre Brooks,Sheffield Utd,0
45,Andreas Hoelgebaum Pereira,Fulham,1
48,Andrey Nascimento dos Santos,Nott'm Forest,0
50,André Tavares Gomes,Everton,0
54,Anis Slimane,Sheffield Utd,1
55,Anssumane Fati Vieira,Brighton,1
56,Anthony Elanga,Nott'm Forest,1
57,Anthony Gordon,Newcastle,1
58,Anthony Knockaert,Fulham,0
62,Antony Matheus dos Santos,Man Utd,1
67,Arnaut Danjuma Groeneveld,Everton,1
79,Ben Doak,Liverpool,0
84,Ben Osborn,Sheffield Utd,0
85,Ben Pearson,Bournemouth,0
89,Bernardo Veiga de Carvalho e Silva,Man City,1
91,Bertrand Traoré,Aston Villa,0
92,Billy Gilmour,Brighton,1
93,Bobby Clark,Liverpool,0
94,Bobby De Cordova-Reid,Fulham,1
96,Boubacar Kamara,Aston Villa,1
97,Boubacar Traoré,Wolves,1
98,Braian Ojeda Rodríguez,Nott'm Forest,0
99,Brandon Aguilera Zamora,Nott'm Forest,0
102,Brennan Johnson,Spurs,1
103,Bruno Borges Fernandes,Man Utd,1
104,Bruno Cavaco Jordão,Wolves,0
105,Bruno Guimarães Rodriguez Moura,Newcastle,1
106,Bryan Gil Salvatierra,Spurs,0
107,Bryan Mbeumo,Brentford,1
108,Bukayo Saka,Arsenal,1
111,Callum Hudson-Odoi,Nott'm Forest,1
117,Carlos Baleba,Brighton,0
118,Carlos Henrique Casimiro,Man Utd,1
119,Carlos Mendes Gomes,Luton,0
122,Carney Chukwuemeka,Chelsea,0
126,Cheick Doucouré,Crystal Palace,1
127,Cheikhou Kouyaté,Nott'm Forest,1
133,Christian Eriksen,Man Utd,1
134,Christian Nørgaard,Brentford,1
135,Christian Pulisic,Chelsea,0
139,Cole Palmer,Chelsea,1
141,Conor Coventry,West Ham,0
142,Conor Gallagher,Chelsea,1
145,Curtis Jones,Liverpool,1
151,Dango Ouattara,Bournemouth,1
153,Daniel Castelo Podence,Wolves,0
154,Daniel Gore,Man Utd,0
156,Danilo dos Santos de Oliveira,Nott'm Forest,0
159,Dara Costelloe,Burnley,0
161,Darko Churlinov,Burnley,0
164,David Brooks,Bournemouth,1
166,David Ozoh,Crystal Palace,0
170,Declan Rice,Arsenal,1
172,Dejan Kulusevski,Spurs,1
173,Dele Alli,Everton,0
174,Demarai Gray,Everton,0
179,Diego Manuel Jadon da Silva Moreira,Chelsea,0
181,Diogo Teixeira da Silva,Liverpool,0
182,Dion Pereira,Luton,0
189,Dominik Szoboszlai,Liverpool,1
190,Donny van de Beek,Man Utd,0
191,Douglas Luiz Soares de Paulo,Aston Villa,1
192,Dwight McNeil,Everton,1
193,Eberechi Eze,Crystal Palace,1
197,Edson Álvarez Velázquez,West Ham,1
200,Elliot Anderson,Newcastle,1
201,Elliot Thorpe,Luton,0
206,Emile Smith Rowe,Arsenal,0
207,Emiliano Buendía Stati,Aston Villa,0
208,Emiliano Marcondes,Bournemouth,0
211,Enock Agyei,Burnley,0
212,Enso González,Wolves,0
213,Enzo Fernández,Chelsea,1
218,Ethan Brierley,Brentford,0
224,Fabio Henrique Tavares,Liverpool,0
225,Facundo Buonanotte,Brighton,0
226,Facundo Pellistri Rebollo,Man Utd,0
230,Flynn Downes,West Ham,0
233,Francisco Jorge Tomás Oliveira,Wolves,0
234,Frank Onyeka,Brentford,1
236,Fred Onyedinma,Luton,0
237,Frederico Rodrigues de Paula Santos,Man Utd,0
238,Fábio Ferreira Vieira,Arsenal,1
241,Gabriel Martinelli Silva,Arsenal,1
245,Garang Kuol,Newcastle,0
246,Gavin Kilkenny,Bournemouth,0
250,Giovani Lo Celso,Spurs,0
252,Glen Rea,Luton,0
254,Gonçalo Manuel Ganchinho Guedes,Wolves,0
