,name,team,minutes
0,Aaron Connolly,Brighton,0
13,Ademola Ola-Adebomi,Crystal Palace,0
14,Admiral Muskwe,Luton,0
19,Alejo Véliz,Spurs,0
20,Aleksandar Mitrović,Fulham,0
27,Alexander Isak,Newcastle,1
43,Andi Zeqiri,Brighton,0
59,Anthony Martial,Man Utd,1
60,Antoine Semenyo,Bournemouth,1
63,Antwoine Hackford,Sheffield Utd,0
64,Aribim Pepple,Luton,0
66,Armando Broja,Chelsea,1
109,Bénie Traoré,Sheffield Utd,1
112,Callum Wilson,Newcastle,1
115,Cameron Archer,Sheffield Utd,1
120,Carlos Vinícius Alves Morais,Fulham,1
121,Carlton Morris,Luton,1
123,Cauley Woodrow,Luton,0
128,Chiedozie Ogbene,Luton,1
132,Chris Wood,Nott'm Forest,1
136,Christopher Nkunku,Chelsea,0
138,Cody Gakpo,Liverpool,1
150,Dane Scarlett,Spurs,0
155,Daniel Jebbison,Sheffield Utd,0
157,Danny Ings,West Ham,0
158,Danny Welbeck,Brighton,1
163,Darwin Núñez Ribeiro,Liverpool,1
165,David Datro Fofana,Chelsea,0
171,Deivid Washington de Souza Eugênio,Chelsea,0
176,Deniz Undav,Brighton,0
183,Divin Mubama,West Ham,0
184,Divock Origi,Nott'm Forest,0
187,Dominic Calvert-Lewin,Everton,1
188,Dominic Solanke,Bournemouth,1
195,Eddie Nketiah,Arsenal,1
198,Elijah Adebayo,Luton,1
202,Ellis Simms,Everton,0
210,Emmanuel Dennis,Nott'm Forest,0
216,Erling Haaland,Man City,1
221,Evan Ferguson,Brighton,1
232,Folarin Balogun,Arsenal,0
239,Fábio Silva,Wolves,0
240,Gabriel Fernando de Jesus,Arsenal,1
249,Gianluca Scamacca,West Ham,0
260,Halil Dervişoğlu,Brentford,0
268,Harry Kane,Spurs,0
278,Hwang Ui-jo,Nott'm Forest,0
284,Iliman Ndiaye,Sheffield Utd,0
293,Ivan Toney,Brentford,0
300,Jacob Brown,Luton,1
326,Jamie Donley,Spurs,0
334,Jay Rodriguez,Burnley,0
335,Jay Stansfield,Fulham,0
338,Jean-Philippe Mateta,Crystal Palace,1
345,Jhon Durán,Aston Villa,0
352,Joe Taylor,Luton,0
361,John McAtee,Luton,0
364,John-Kymani Gordon,Crystal Palace,0
388,João Pedro Junqueira de Jesus,Brighton,1
393,Julián Álvarez,Man City,1
405,Keinan Davis,Aston Villa,0
413,Kieffer Moore,Bournemouth,0
439,Louie Marsh,Sheffield Utd,0
456,Luke Plange,Crystal Palace,0
459,Lyle Foster,Burnley,1
487,Mason Burstow,Chelsea,0
493,Matheus Santos Carneiro Da Cunha,Wolves,1
510,Michael Obafemi,Burnley,0
513,Michail Antonio,West Ham,1
535,Nathan Fraser,Wolves,0
541,Neal Maupay,Brentford,1
544,Nicolas Jackson,Chelsea,1
550,Norberto Bercique Gomes Betuncal,Everton,1
554,Odsonne Edouard,Crystal Palace,1
557,Oliver McBurnie,Sheffield Utd,1
561,Ollie Watkins,Aston Villa,1
582,Pierre-Emerick Aubameyang,Chelsea,0
587,Rasmus Højlund,Man Utd,1
589,Raúl Jiménez,Fulham,1
595,Rhian Brewster,Sheffield Utd,1
607,Rodrigo Muniz Carvalho,Fulham,0
608,Romelu Lukaku Bolingoli,Chelsea,0
610,Ronnie Stutter,Chelsea,0
623,Sam Surridge,Nott'm Forest,0
629,Sasa Kalajdzic,Wolves,1
645,Shola Shoretire,Man Utd,0
658,Taiwo Awoniyi,Nott'm Forest,1
667,Thomas Cannon,Everton,0
707,Wesley Moraes Ferreira da Silva,Aston Villa,0
709,William Osula,Sheffield Utd,0
714,Wout Weghorst,Burnley,0
718,Yoane Wissa,Brentford,1
720,Youssef Ramalho Chermiti,Everton,0
723,Zeki Amdouni,Burnley,1
