,name,team,minutes
138,Aaron Connolly,Brighton,0
379,Admiral Muskwe,Luton,0
616,Alejo Véliz,Spurs,0
317,Aleksandar Mitrović,Fulham,1
483,Alexander Isak,Newcastle,1
165,Andi Zeqiri,Brighton,0
453,Anthony Martial,Man Utd,0
88,Antoine Semenyo,Bournemouth,1
578,Antwoine Hackford,Sheffield Utd,0
383,Aribim Pepple,Luton,0
215,Armando Broja,Chelsea,0
573,Bénie Traoré,Sheffield Utd,1
501,Callum Wilson,Newcastle,1
35,Cameron Archer,Aston Villa,0
326,Carlos Vinícius Alves Morais,Fulham,0
378,Carlton Morris,Luton,1
392,Cauley Woodrow,Luton,0
380,Chiedozie Ogbene,Luton,1
544,Chris Wood,Nott'm Forest,1
232,Christopher Nkunku,Chelsea,0
343,Cody Gakpo,Liverpool,1
615,Dane Scarlett,Spurs,0
562,Daniel Jebbison,Sheffield Utd,0
630,Danny Ings,West Ham,0
164,Danny Welbeck,Brighton,1
339,Darwin Núñez Ribeiro,Liverpool,1
222,David Datro Fofana,Chelsea,0
159,Deniz Undav,Brighton,0
633,Divin Mubama,West Ham,0
277,Dominic Calvert-Lewin,Everton,1
91,Dominic Solanke,Bournemouth,1
12,Eddie Nketiah,Arsenal,1
366,Elijah Adebayo,Luton,1
295,Ellis Simms,Everton,0
519,Emmanuel Dennis,Nott'm Forest,0
417,Erling Haaland,Man City,1
143,Evan Ferguson,Brighton,1
0,Folarin Balogun,Arsenal,0
650,Fábio Silva,Wolves,1
7,Gabriel Fernando de Jesus,Arsenal,0
635,Gianluca Scamacca,West Ham,0
112,Halil Dervişoğlu,Brentford,0
591,Harry Kane,Spurs,0
542,Hwang Ui-jo,Nott'm Forest,0
565,Iliman Ndiaye,Sheffield Utd,0
128,Ivan Toney,Brentford,0
400,Jacob Brown,Luton,0
189,Jay Rodriguez,Burnley,0
332,Jay Stansfield,Fulham,0
260,Jean-Philippe Mateta,Crystal Palace,0
46,Jhon Durán,Aston Villa,1
388,Joe Taylor,Luton,0
376,John McAtee,Luton,0
274,John-Kymani Gordon,Crystal Palace,0
146,João Pedro Junqueira de Jesus,Brighton,1
405,Julián Álvarez,Man City,1
41,Keinan Davis,Aston Villa,0
82,Kieffer Moore,Bournemouth,1
576,Louie Marsh,Sheffield Utd,0
265,Luke Plange,Crystal Palace,0
180,Lyle Foster,Burnley,1
243,Mason Burstow,Chelsea,0
671,Matheus Santos Carneiro Da Cunha,Wolves,1
186,Michael Obafemi,Burnley,0
618,Michail Antonio,West Ham,1
289,Neal Maupay,Everton,1
231,Nicolas Jackson,Chelsea,1
253,Odsonne Edouard,Crystal Palace,1
564,Oliver McBurnie,Sheffield Utd,0
61,Ollie Watkins,Aston Villa,1
210,Pierre-Emerick Aubameyang,Chelsea,0
466,Rasmus Højlund,Man Utd,0
328,Raúl Jiménez,Fulham,1
556,Rhian Brewster,Sheffield Utd,0
318,Rodrigo Muniz Carvalho,Fulham,0
228,Romelu Lukaku Bolingoli,Chelsea,0
540,Sam Surridge,Nott'm Forest,0
658,Sasa Kalajdzic,Wolves,0
462,Shola Shoretire,Man Utd,0
513,Taiwo Awoniyi,Nott'm Forest,1
303,Thomas Cannon,Everton,0
62,Wesley Moraes Ferreira da Silva,Aston Villa,0
569,William Osula,Sheffield Utd,1
195,Wout Weghorst,Burnley,0
130,Yoane Wissa,Brentford,1
302,Youssef Ramalho Chermiti,Everton,0
198,Zeki Amdouni,Burnley,1
