index,name,team,points,value
Erling Haaland2023-08-27T13:00:00Z,Erling Haaland,Man City,5.8926533312911555,140
Yoane Wissa2023-08-26T14:00:00Z,Yoane Wissa,Brentford,4.547222981219424,61
Ollie Watkins2023-08-27T13:00:00Z,Ollie Watkins,Aston Villa,4.401438710841129,80
Dominic Solanke2023-08-26T11:30:00Z,Dominic Solanke,Bournemouth,4.239559994790743,65
Julián Álvarez2023-08-27T13:00:00Z,Julián Álvarez,Man City,4.141160293084842,66
Alexander Isak2023-08-27T15:30:00Z,Alexander Isak,Newcastle,4.1134166953913835,77
Taiwo Awoniyi2023-08-26T14:00:00Z,Taiwo Awoniyi,Nott'm Forest,3.77997079994016,65
Eddie Nketiah2023-08-26T14:00:00Z,Eddie Nketiah,Arsenal,3.68072560689432,56
Matheus Santos Carneiro Da Cunha2023-08-26T14:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,3.6462232609442413,55
Callum Wilson2023-08-27T15:30:00Z,Callum Wilson,Newcastle,3.5222032481397285,79
Odsonne Edouard2023-08-26T14:00:00Z,Odsonne Edouard,Crystal Palace,3.370952144842365,55
Nicolas Jackson2023-08-25T19:00:00Z,Nicolas Jackson,Chelsea,3.3611544782077507,70
Carlton Morris2023-08-25T19:00:00Z,Carlton Morris,Luton,3.111861205832905,55
Cody Gakpo2023-08-27T15:30:00Z,Cody Gakpo,Liverpool,3.1038417593244154,75
Michail Antonio2023-08-26T16:30:00Z,Michail Antonio,West Ham,3.0742759760449143,60
Fábio Silva2023-08-26T14:00:00Z,Fábio Silva,Wolves,3.027701802175628,55
Antoine Semenyo2023-08-26T11:30:00Z,Antoine Semenyo,Bournemouth,2.9620567393408237,45
Danny Welbeck2023-08-26T16:30:00Z,Danny Welbeck,Brighton,2.958162108017104,59
Jhon Durán2023-08-27T13:00:00Z,Jhon Durán,Aston Villa,2.920011405823617,50
Neal Maupay2023-08-26T14:00:00Z,Neal Maupay,Everton,2.8258122958334093,50
Aleksandar Mitrović2023-08-26T14:00:00Z,Aleksandar Mitrović,Fulham,2.7704859586298305,74
Chris Wood2023-08-26T14:00:00Z,Chris Wood,Nott'm Forest,2.7263585122163687,50
Bénie Traoré2023-08-27T13:00:00Z,Bénie Traoré,Sheffield Utd,2.72353731205545,55
Dominic Calvert-Lewin2023-08-26T14:00:00Z,Dominic Calvert-Lewin,Everton,2.7057731329158603,59
Evan Ferguson2023-08-26T16:30:00Z,Evan Ferguson,Brighton,2.5347689120170513,60
Zeki Amdouni2023-08-27T13:00:00Z,Zeki Amdouni,Burnley,2.4143226388127474,55
Darwin Núñez Ribeiro2023-08-27T15:30:00Z,Darwin Núñez Ribeiro,Liverpool,2.3694558399631562,74
João Pedro Junqueira de Jesus2023-08-26T16:30:00Z,João Pedro Junqueira de Jesus,Brighton,2.2229367237447697,56
Elijah Adebayo2023-08-25T19:00:00Z,Elijah Adebayo,Luton,2.1676251803097633,50
Lyle Foster2023-08-27T13:00:00Z,Lyle Foster,Burnley,2.1438663662371322,50
Kieffer Moore2023-08-26T11:30:00Z,Kieffer Moore,Bournemouth,2.119460171920582,50
Chiedozie Ogbene2023-08-25T19:00:00Z,Chiedozie Ogbene,Luton,2.1100441540376687,50
Raúl Jiménez2023-08-26T14:00:00Z,Raúl Jiménez,Fulham,2.1007154380365005,54
William Osula2023-08-27T13:00:00Z,William Osula,Sheffield Utd,2.098465201576651,45
