,name,team,minutes
625,Aaron Cresswell,West Ham,0
116,Aaron Hickey,Brentford,1
464,Aaron Wan-Bissaka,Man Utd,1
212,Abdul Rahman Baba,Chelsea,0
90,Adam Smith,Bournemouth,0
163,Adam Webster,Brighton,1
401,Aidan Francis-Clarke,Luton,0
506,Alex Murphy,Newcastle,0
434,Alex Telles,Man Utd,0
34,Alexandre Moreno Lopera,Aston Villa,0
373,Alfie Doughty,Luton,0
368,Amari'i Bell,Luton,0
169,Ameen Al-Dakhil,Burnley,1
353,Andrew Robertson,Liverpool,1
551,Anel Ahmedhodžić,Sheffield Utd,1
639,Angelo Ogbonna,West Ham,0
322,Antonee Robinson,Fulham,1
299,Ashley Young,Everton,1
550,Auston Trusty,Sheffield Utd,0
241,Axel Disasi,Chelsea,1
419,Aymeric Laporte,Man City,0
246,Bashir Humphreys,Chelsea,0
217,Ben Chilwell,Chelsea,1
585,Ben Davies,Spurs,0
586,Ben Davies,Spurs,1
283,Ben Godfrey,Everton,0
98,Ben Greenwood,Bournemouth,0
631,Ben Johnson,West Ham,0
121,Ben Mee,Brentford,0
645,Bendegúz Bolla,Wolves,0
26,Benjamin White,Arsenal,1
213,Benoît Badiashile,Chelsea,0
191,Bobby Thomas,Burnley,0
438,Brandon Williams,Man Utd,0
178,CJ Egan-Riley,Burnley,0
39,Calum Chambers,Aston Villa,0
330,Calvin Bassey,Fulham,0
114,Charlie Goode,Brentford,0
190,Charlie Taylor,Burnley,0
554,Chris Basham,Sheffield Utd,1
81,Chris Mepham,Bournemouth,0
266,Chris Richards,Crystal Palace,0
188,Connor Roberts,Burnley,1
649,Craig Dawson,Wolves,1
602,Cristian Romero,Spurs,1
1,Cédric Alves Soares,Arsenal,0
211,César Azpilicueta,Chelsea,0
475,Dan Burn,Newcastle,1
385,Dan Potts,Luton,0
185,Dara O'Shea,Burnley,1
603,Davinson Sánchez,Spurs,0
610,Destiny Udogie,Spurs,1
43,Diego Carlos Santos Silva,Aston Villa,1
441,Diogo Dalot Teixeira,Man Utd,1
608,Djed Spence,Spurs,0
588,Emerson Leite de Souza Junior,Spurs,1
627,Emerson Palmieri dos Santos,West Ham,1
485,Emil Krafth,Newcastle,0
439,Eric Bailly,Man Utd,0
587,Eric Dier,Spurs,0
207,Ethan Ampadu,Chelsea,0
124,Ethan Pinnock,Brentford,1
50,Ezri Konsa Ngoyo,Aston Villa,1
495,Fabian Schär,Newcastle,1
521,Felipe Augusto de Almeida Monteiro,Nott'm Forest,0
575,Femi Seriki,Sheffield Utd,0
382,Gabriel Osho,Luton,0
4,Gabriel dos Santos Magalhães,Arsenal,1
553,George Baldock,Sheffield Utd,0
514,Giulian Biancone,Nott'm Forest,0
472,Harrison Ashby,Newcastle,0
450,Harry Maguire,Man Utd,0
541,Harry Toffolo,Nott'm Forest,0
179,Hjalmar Ekdal,Burnley,0
646,Hugo Bueno López,Wolves,1
348,Ibrahima Konaté,Liverpool,1
166,Igor Julio dos Santos de Paulo,Brighton,0
95,Illia Zabarnyi,Bournemouth,1
310,Issa Diop,Fulham,1
397,Issa Kaboré,Luton,1
598,Ivan Perišić,Spurs,1
570,Jack Robinson,Sheffield Utd,1
263,Jake O'Brien,Crystal Palace,0
9,Jakub Kiwior,Arsenal,0
487,Jamaal Lascelles,Newcastle,0
488,Jamal Lewis,Newcastle,0
75,James Hill,Bournemouth,0
296,James Tarkowski,Everton,1
269,James Tomkins,Crystal Palace,0
160,Jan Paul van Hecke,Brighton,0
609,Japhet Tanganga,Spurs,0
360,Jarell Quansah,Liverpool,0
276,Jarrad Branthwaite,Everton,0
490,Javier Manquillo Gaitán,Newcastle,0
555,Jayden Bogle,Sheffield Utd,0
248,Joachim Andersen,Crystal Palace,1
344,Joe Gomez,Liverpool,0
601,Joe Rodon,Spurs,0
545,Joe Worrall,Nott'm Forest,1
351,Joel Matip,Liverpool,0
270,Joel Ward,Crystal Palace,1
559,John Egan,Sheffield Utd,1
430,John Stones,Man City,0
656,Jonathan Castro Otto,Wolves,0
536,Jonathan Panzo,Nott'm Forest,0
172,Jordan Beyer,Burnley,1
549,Josh Powell,Nott'm Forest,0
408,João Cancelo,Man City,0
161,Joël Veltman,Brighton,1
432,Joško Gvardiol,Man City,1
32,Jurriën Timber,Arsenal,0
499,Kell Watts,Newcastle,0
324,Kenny Tete,Fulham,1
316,Kevin Mbabu,Fulham,0
653,Ki-Jana Hoever,Wolves,0
23,Kieran Tierney,Arsenal,0
498,Kieran Trippier,Newcastle,1
357,Konstantinos Tsimikas,Liverpool,0
47,Kortney Hause,Aston Villa,0
102,Kristoffer Ajer,Brentford,1
638,Kurt Zouma,West Ham,1
431,Kyle Walker,Man City,1
219,Levi Colwill,Chelsea,1
140,Lewis Dunk,Brighton,1
469,Lewis Hall,Newcastle,0
454,Lisandro Martínez,Man Utd,1
76,Lloyd Kelly,Bournemouth,0
530,Loïc Mbe Soh,Nott'm Forest,0
331,Luc De Fougerolles,Fulham,0
44,Lucas Digne,Aston Villa,1
183,Luke McNally,Burnley,0
461,Luke Shaw,Man Utd,1
105,Mads Bech Sørensen,Brentford,0
367,Mads Juel Andersen,Luton,0
125,Mads Roerslev Rasmussen,Brentford,0
234,Malang Sarr,Chelsea,0
225,Malo Gusto,Chelsea,1
403,Manuel Akanji,Man City,1
220,Marc Cucurella Saseta,Chelsea,0
256,Marc Guéhi,Crystal Palace,1
89,Marcos Senesi,Bournemouth,1
286,Mason Holgate,Everton,0
132,Mathias Jorgensen,Brentford,0
672,Matt Doherty,Wolves,0
496,Matt Targett,Newcastle,0
38,Matty Cash,Aston Villa,1
99,Max Aarons,Bournemouth,1
659,Max Kilman,Wolves,1
563,Max Lowe,Sheffield Utd,1
288,Michael Keane,Everton,1
147,Michał Karbownik,Brighton,0
614,Micky van de Ven,Spurs,1
96,Milos Kerkez,Bournemouth,1
520,Mohamed Dräger,Nott'm Forest,0
533,Moussa Niakhaté,Nott'm Forest,0
404,Nathan Aké,Man City,1
108,Nathan Collins,Brentford,1
293,Nathan Patterson,Everton,1
250,Nathaniel Clyne,Crystal Palace,0
352,Nathaniel Phillips,Liverpool,0
617,Nayef Aguerd,West Ham,1
543,Neco Williams,Nott'm Forest,1
22,Nuno Varela Tavares,Arsenal,0
668,Nélson Cabral Semedo,Wolves,1
28,Oleksandr Zinchenko,Arsenal,0
547,Olu Aina,Nott'm Forest,0
537,Omar Richards,Nott'm Forest,0
203,Owen Dodgson,Burnley,0
63,Pau Torres,Aston Villa,1
503,Paul Dummett,Newcastle,0
597,Pedro Porro,Spurs,1
142,Pervis Estupiñán,Brighton,1
458,Raphaël Varane,Man Utd,1
643,Rayan Aït-Nouri,Wolves,1
370,Reece Burke,Luton,0
227,Reece James,Chelsea,1
566,Rhys Norrington-Davies,Sheffield Utd,0
528,Richie Laryea,Nott'm Forest,0
115,Rico Henry,Brentford,1
420,Rico Lewis,Man City,0
6,Rob Holding,Arsenal,0
74,Ryan Fredericks,Bournemouth,0
393,Ryan Giles,Luton,1
605,Ryan Sessegnon,Spurs,0
412,Rúben Gato Alves Dias,Man City,1
531,Scott McKenna,Nott'm Forest,1
278,Seamus Coleman,Everton,0
358,Sepp van den Berg,Liverpool,0
512,Serge Aurier,Nott'm Forest,1
428,Sergio Gómez,Man City,0
599,Sergio Reguilón,Spurs,0
517,Steve Cook,Nott'm Forest,0
473,Sven Botman,Newcastle,1
24,Takehiro Tomiyasu,Arsenal,1
150,Tariq Lamptey,Brighton,0
456,Teden Mengi,Man Utd,0
313,Terence Kongolo,Fulham,0
237,Thiago Emiliano da Silva,Chelsea,1
632,Thilo Kehrer,West Ham,0
320,Tim Ream,Fulham,1
505,Tino Livramento,Newcastle,0
394,Tom Lockyer,Luton,1
325,Tosin Adarabioyo,Fulham,0
669,Toti António Gomes,Wolves,0
336,Trent Alexander-Arnold,Liverpool,1
216,Trevoh Chalobah,Chelsea,0
452,Tyrell Malacia,Man Utd,0
262,Tyrick Mitchell,Crystal Palace,1
53,Tyrone Mings,Aston Villa,0
449,Victor Lindelöf,Man Utd,0
194,Victor da Silva,Burnley,1
359,Virgil van Dijk,Liverpool,1
291,Vitalii Mykolenko,Everton,0
623,Vladimír Coufal,West Ham,1
223,Wesley Fofana,Chelsea,0
19,William Saliba,Arsenal,1
515,Willy Boly,Nott'm Forest,1
572,Yasser Larouci,Sheffield Utd,0
443,Álvaro Fernández Carreras,Man Utd,0
