index,name,team,points,value
Thomas Kaminski2023-08-25T19:00:00Z,Thomas Kaminski,Luton,5.843449110618633,45
James Trafford2023-08-27T13:00:00Z,James Trafford,Burnley,4.894679287302102,45
Ederson Santana de Moraes2023-08-27T13:00:00Z,Ederson Santana de Moraes,Man City,4.5518684163245755,55
Aaron Ramsdale2023-08-26T14:00:00Z,Aaron Ramsdale,Arsenal,4.312821919341269,50
Jason Steele2023-08-26T16:30:00Z,Jason Steele,Brighton,4.188363179046914,45
Sam Johnstone2023-08-26T14:00:00Z,Sam Johnstone,Crystal Palace,4.156315135639439,45
Mark Flekken2023-08-26T14:00:00Z,Mark Flekken,Brentford,3.9621381840211147,45
Emiliano Martínez Romero2023-08-27T13:00:00Z,Emiliano Martínez Romero,Aston Villa,3.955060146528323,50
José Malheiro de Sá2023-08-26T14:00:00Z,José Malheiro de Sá,Wolves,3.83434911272927,50
André Onana2023-08-26T14:00:00Z,André Onana,Man Utd,3.7073582280285002,50
Robert Sánchez2023-08-25T19:00:00Z,Robert Sánchez,Chelsea,3.641122874569228,45
Jordan Pickford2023-08-26T14:00:00Z,Jordan Pickford,Everton,3.6015358254159167,45
Guglielmo Vicario2023-08-26T11:30:00Z,Guglielmo Vicario,Spurs,3.514893189360679,50
Alphonse Areola2023-08-26T16:30:00Z,Alphonse Areola,West Ham,3.511452744576547,40
Bernd Leno2023-08-26T14:00:00Z,Bernd Leno,Fulham,3.3952501166301055,45
Norberto Murara Neto2023-08-26T11:30:00Z,Norberto Murara Neto,Bournemouth,3.1947886051953738,45
Nick Pope2023-08-27T15:30:00Z,Nick Pope,Newcastle,3.0492372595359916,55
Matt Turner2023-08-26T14:00:00Z,Matt Turner,Nott'm Forest,2.7483023181384123,40
Alisson Ramses Becker2023-08-27T15:30:00Z,Alisson Ramses Becker,Liverpool,2.4630265732925385,55
Wes Foderingham2023-08-27T13:00:00Z,Wes Foderingham,Sheffield Utd,2.3716304612106542,45
