index,name,team,points,value
Ollie Watkins2023-11-05T14:00:00Z,Ollie Watkins,Aston Villa,3.628196874783503,84
Callum Wilson2023-11-04T17:30:00Z,Callum Wilson,Newcastle,3.2800700042353608,78
Alexander Isak2023-11-04T17:30:00Z,Alexander Isak,Newcastle,1.9293470132314363,75
Darwin Núñez Ribeiro2023-11-05T16:30:00Z,Darwin Núñez Ribeiro,Liverpool,3.9460204152307097,74
Cody Gakpo2023-11-05T16:30:00Z,Cody Gakpo,Liverpool,3.046424197613969,72
Eddie Nketiah2023-11-04T17:30:00Z,Eddie Nketiah,Arsenal,1.7405981757540485,55
João Pedro Junqueira de Jesus2023-11-04T15:00:00Z,João Pedro Junqueira de Jesus,Brighton,2.6942894644723863,53
Danny Welbeck2023-11-04T15:00:00Z,Danny Welbeck,Brighton,2.0854883864399993,58
Evan Ferguson2023-11-04T15:00:00Z,Evan Ferguson,Brighton,3.1188190094860575,60
Gabriel Fernando de Jesus2023-11-04T17:30:00Z,Gabriel Fernando de Jesus,Arsenal,2.873163102562366,79
Julián Álvarez2023-11-04T15:00:00Z,Julián Álvarez,Man City,6.5794109807000325,72
Erling Haaland2023-11-04T15:00:00Z,Erling Haaland,Man City,7.206406063203985,140
Yoane Wissa2023-11-04T15:00:00Z,Yoane Wissa,Brentford,3.984315201850695,59
Michail Antonio2023-11-04T15:00:00Z,Michail Antonio,West Ham,2.3605350652778365,58
Matheus Santos Carneiro Da Cunha2023-11-04T15:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,3.9135517713135473,55
Sasa Kalajdzic2023-11-04T15:00:00Z,Sasa Kalajdzic,Wolves,2.1325766304355698,49
Nicolas Jackson2023-11-06T20:00:00Z,Nicolas Jackson,Chelsea,2.2733034084256016,68
Neal Maupay2023-11-04T15:00:00Z,Neal Maupay,Brentford,2.929311633172696,49
Rasmus Højlund2023-11-04T12:30:00Z,Rasmus Højlund,Man Utd,2.8243490541649243,71
Cameron Archer2023-11-04T15:00:00Z,Cameron Archer,Sheffield Utd,2.6497898573247953,45
Armando Broja2023-11-06T20:00:00Z,Armando Broja,Chelsea,1.589342368953059,49
Dominic Calvert-Lewin2023-11-04T15:00:00Z,Dominic Calvert-Lewin,Everton,3.076280205593062,58
Anthony Martial2023-11-04T12:30:00Z,Anthony Martial,Man Utd,2.5016470493673317,64
Jacob Brown2023-11-05T16:30:00Z,Jacob Brown,Luton,1.939956105679504,49
Zeki Amdouni2023-11-04T15:00:00Z,Zeki Amdouni,Burnley,2.203584676386775,54
Taiwo Awoniyi2023-11-05T14:00:00Z,Taiwo Awoniyi,Nott'm Forest,2.1077373844983964,64
Elijah Adebayo2023-11-05T16:30:00Z,Elijah Adebayo,Luton,1.8592823696506238,48
Chiedozie Ogbene2023-11-05T16:30:00Z,Chiedozie Ogbene,Luton,1.7386295893121622,49
Lyle Foster2023-11-04T15:00:00Z,Lyle Foster,Burnley,2.979415812068424,50
Cauley Woodrow2023-11-05T16:30:00Z,Cauley Woodrow,Luton,1.0592244178185855,44
Chris Wood2023-11-05T14:00:00Z,Chris Wood,Nott'm Forest,3.204397703446993,49
Carlton Morris2023-11-05T16:30:00Z,Carlton Morris,Luton,1.6009081541510806,55
Antoine Semenyo2023-11-04T15:00:00Z,Antoine Semenyo,Bournemouth,1.4718034895491818,45
Kieffer Moore2023-11-04T15:00:00Z,Kieffer Moore,Bournemouth,1.245364482300125,47
Dominic Solanke2023-11-04T15:00:00Z,Dominic Solanke,Bournemouth,3.439870417727371,64
Carlos Vinícius Alves Morais2023-11-04T12:30:00Z,Carlos Vinícius Alves Morais,Fulham,2.4672831781704527,48
Raúl Jiménez2023-11-04T12:30:00Z,Raúl Jiménez,Fulham,2.240135171789523,52
Odsonne Edouard2023-11-04T15:00:00Z,Odsonne Edouard,Crystal Palace,3.4718457735751893,55
Jean-Philippe Mateta2023-11-04T15:00:00Z,Jean-Philippe Mateta,Crystal Palace,2.6804160445810443,49
Rodrigo Muniz Carvalho2023-11-04T12:30:00Z,Rodrigo Muniz Carvalho,Fulham,1.9837223763044132,44
Oliver McBurnie2023-11-04T15:00:00Z,Oliver McBurnie,Sheffield Utd,2.0439545442424527,54
Rhian Brewster2023-11-04T15:00:00Z,Rhian Brewster,Sheffield Utd,1.6974900210230743,49
Norberto Bercique Gomes Betuncal2023-11-04T15:00:00Z,Norberto Bercique Gomes Betuncal,Everton,1.9774733775411963,59
