,name,team,minutes
0,Javier Manquillo Gaitán,Newcastle,0
2,Dan Burn,Newcastle,1
8,Emil Krafth,Newcastle,0
17,Paul Dummett,Newcastle,0
22,Jamal Lewis,Newcastle,0
27,Diego Carlos Santos Silva,Aston Villa,1
32,Jamaal Lascelles,Newcastle,1
33,Sven Botman,Newcastle,0
35,Lucas Digne,Aston Villa,1
36,Kell Watts,Newcastle,0
40,Kieran Trippier,Newcastle,1
41,Kortney Hause,Aston Villa,0
42,Harrison Ashby,Newcastle,0
47,Tyrone Mings,Aston Villa,0
49,Fabian Schär,Newcastle,1
50,Matty Cash,Aston Villa,1
53,Calum Chambers,Aston Villa,0
54,Ezri Konsa Ngoyo,Aston Villa,1
57,Alexandre Moreno Lopera,Aston Villa,0
61,Matt Targett,Newcastle,0
64,Pau Torres,Aston Villa,1
67,Jarell Quansah,Liverpool,0
77,Alex Murphy,Newcastle,0
78,Tino Livramento,Newcastle,0
82,Trent Alexander-Arnold,Liverpool,1
85,Virgil van Dijk,Liverpool,1
86,Konstantinos Tsimikas,Liverpool,1
89,Ibrahima Konaté,Liverpool,1
93,Nathaniel Phillips,Liverpool,0
95,Sepp van den Berg,Liverpool,0
96,Joel Matip,Liverpool,1
98,Andrew Robertson,Liverpool,1
99,Joe Gomez,Liverpool,1
101,Gabriel dos Santos Magalhães,Arsenal,1
107,Cédric Alves Soares,Arsenal,0
109,Jan Paul van Hecke,Brighton,1
115,Igor Julio dos Santos de Paulo,Brighton,1
116,Jurriën Timber,Arsenal,0
118,Joël Veltman,Brighton,1
122,Jakub Kiwior,Arsenal,0
134,Tariq Lamptey,Brighton,0
137,Benjamin White,Arsenal,1
139,Oleksandr Zinchenko,Arsenal,1
140,Kieran Tierney,Arsenal,0
141,Takehiro Tomiyasu,Arsenal,1
147,Michał Karbownik,Brighton,0
148,Adam Webster,Brighton,1
149,William Saliba,Arsenal,1
155,Lewis Dunk,Brighton,1
156,Lewis Hall,Newcastle,0
162,Pervis Estupiñán,Brighton,0
163,Micky van de Ven,Spurs,1
170,Ivan Perišić,Spurs,0
174,Ryan Sessegnon,Spurs,0
177,Rúben Gato Alves Dias,Man City,1
178,Japhet Tanganga,Spurs,0
179,Destiny Udogie,Spurs,1
181,Cristian Romero,Spurs,1
183,Manuel Akanji,Man City,0
184,João Cancelo,Man City,0
185,Nathan Aké,Man City,1
186,Davinson Sánchez,Spurs,0
189,Joe Rodon,Spurs,0
194,Djed Spence,Spurs,0
195,Pedro Porro,Spurs,1
200,Rico Lewis,Man City,0
204,Kyle Walker,Man City,1
210,Sergio Gómez,Man City,0
214,John Stones,Man City,1
216,Ben Davies,Spurs,1
219,Eric Dier,Spurs,0
220,Aymeric Laporte,Man City,0
221,Emerson Leite de Souza Junior,Spurs,1
224,Joško Gvardiol,Man City,1
233,Nathan Collins,Brentford,1
240,Rico Henry,Brentford,0
241,Mads Roerslev Rasmussen,Brentford,1
242,Charlie Goode,Brentford,0
244,Ben Mee,Brentford,0
246,Mathias Jorgensen,Brentford,0
249,Mads Bech Sørensen,Brentford,0
256,Kristoffer Ajer,Brentford,1
259,Ethan Pinnock,Brentford,1
260,Aaron Hickey,Brentford,1
265,Vladimír Coufal,West Ham,1
270,Aaron Cresswell,West Ham,1
273,Ben Johnson,West Ham,0
274,Emerson Palmieri dos Santos,West Ham,1
276,Nayef Aguerd,West Ham,1
277,Thilo Kehrer,West Ham,0
279,Kurt Zouma,West Ham,1
280,Angelo Ogbonna,West Ham,0
292,Max Kilman,Wolves,1
295,Ki-Jana Hoever,Wolves,0
296,Matt Doherty,Wolves,1
299,Jonathan Castro Otto,Wolves,0
303,César Azpilicueta,Chelsea,0
308,Craig Dawson,Wolves,1
313,Abdul Rahman Baba,Chelsea,0
315,Toti António Gomes,Wolves,1
317,Hugo Bueno López,Wolves,0
318,Ethan Ampadu,Chelsea,0
320,Sergio Reguilón,Man Utd,1
322,Rayan Aït-Nouri,Wolves,1
325,Nélson Cabral Semedo,Wolves,1
327,Bendegúz Bolla,Wolves,0
328,Benoît Badiashile,Chelsea,0
333,Owen Dodgson,Burnley,0
336,Wesley Fofana,Chelsea,0
337,Nathan Patterson,Everton,1
340,Thiago Emiliano da Silva,Chelsea,1
341,Levi Colwill,Chelsea,1
345,Michael Keane,Everton,0
346,Trevoh Chalobah,Chelsea,0
347,Vitalii Mykolenko,Everton,1
349,Ben Chilwell,Chelsea,0
352,Marc Cucurella Saseta,Chelsea,1
353,Ashley Young,Everton,1
354,Ben Godfrey,Everton,0
355,Mason Holgate,Everton,0
360,Reece James,Chelsea,1
361,Malo Gusto,Chelsea,1
362,Axel Disasi,Chelsea,1
363,Malang Sarr,Chelsea,0
367,Seamus Coleman,Everton,0
385,James Tarkowski,Everton,1
388,Jarrad Branthwaite,Everton,1
395,Eric Bailly,Man Utd,0
401,Rob Holding,Crystal Palace,0
402,Alex Telles,Man Utd,0
403,Raphaël Varane,Man Utd,1
406,Brandon Williams,Man Utd,0
407,Diogo Dalot Teixeira,Man Utd,1
409,Luke Shaw,Man Utd,0
412,Tyrell Malacia,Man Utd,0
416,Aaron Wan-Bissaka,Man Utd,0
418,Harry Maguire,Man Utd,1
419,Lisandro Martínez,Man Utd,0
421,Victor Lindelöf,Man Utd,1
422,Álvaro Fernández Carreras,Man Utd,0
425,Willy Boly,Nott'm Forest,1
427,Reece Burke,Luton,1
433,Giulian Biancone,Nott'm Forest,0
439,Aidan Francis-Clarke,Luton,0
442,Gabriel Osho,Luton,0
444,Omar Richards,Nott'm Forest,0
445,Olu Aina,Nott'm Forest,1
447,Nuno Varela Tavares,Nott'm Forest,0
450,Neco Williams,Nott'm Forest,1
454,Richie Laryea,Nott'm Forest,0
455,Steve Cook,Nott'm Forest,0
460,Ameen Al-Dakhil,Burnley,1
461,Amari'i Bell,Luton,0
466,Harry Toffolo,Nott'm Forest,1
468,Hjalmar Ekdal,Burnley,0
470,Tom Lockyer,Luton,1
471,Serge Aurier,Nott'm Forest,1
472,Felipe Augusto de Almeida Monteiro,Nott'm Forest,0
474,Scott McKenna,Nott'm Forest,0
475,Issa Kaboré,Luton,1
481,Ryan Giles,Luton,1
484,Alfie Doughty,Luton,1
485,Victor da Silva,Burnley,1
498,Jordan Beyer,Burnley,0
500,Loïc Mbe Soh,Nott'm Forest,0
504,Charlie Taylor,Burnley,1
510,Joe Worrall,Nott'm Forest,1
511,Luke McNally,Burnley,0
515,Josh Powell,Nott'm Forest,0
517,Connor Roberts,Burnley,0
518,Jonathan Panzo,Nott'm Forest,0
519,Dan Potts,Luton,0
521,Bobby Thomas,Burnley,0
522,Mads Juel Andersen,Luton,0
523,Moussa Niakhaté,Nott'm Forest,1
530,CJ Egan-Riley,Burnley,0
535,Dara O'Shea,Burnley,1
536,Mohamed Dräger,Nott'm Forest,0
537,Teden Mengi,Luton,1
544,Ryan Fredericks,Bournemouth,0
545,Lloyd Kelly,Bournemouth,1
547,Adam Smith,Bournemouth,1
554,Chris Mepham,Bournemouth,1
556,Milos Kerkez,Bournemouth,1
557,James Hill,Bournemouth,0
565,Marcos Senesi,Bournemouth,1
567,Illia Zabarnyi,Bournemouth,1
570,Terence Kongolo,Fulham,0
574,Chris Richards,Crystal Palace,0
577,Femi Seriki,Sheffield Utd,0
581,Tyrick Mitchell,Crystal Palace,1
584,Tosin Adarabioyo,Fulham,0
590,Tim Ream,Fulham,1
592,Kevin Mbabu,Fulham,0
594,Kenny Tete,Fulham,0
599,Max Aarons,Bournemouth,1
601,Jake O'Brien,Crystal Palace,0
602,Joachim Andersen,Crystal Palace,1
606,Ben Greenwood,Bournemouth,0
608,James Tomkins,Crystal Palace,0
614,Nathaniel Clyne,Crystal Palace,1
615,Joel Ward,Crystal Palace,1
617,Issa Diop,Fulham,0
620,Marc Guéhi,Crystal Palace,1
621,Calvin Bassey,Fulham,1
622,Antonee Robinson,Fulham,1
634,Luc De Fougerolles,Fulham,0
635,George Baldock,Sheffield Utd,0
636,Yasser Larouci,Sheffield Utd,1
640,Anel Ahmedhodžić,Sheffield Utd,1
