,name,team,minutes
1,Omari Kellyman,Aston Villa,0
3,Morgan Sanson,Aston Villa,0
4,Sandro Tonali,Newcastle,1
5,Jaden Philogene-Bidace,Aston Villa,0
6,Sean Longstaff,Newcastle,1
7,Moussa Diaby,Aston Villa,1
9,Joelinton Cássio Apolinário de Lira,Newcastle,1
10,Joe Willock,Newcastle,1
11,Emiliano Buendía Stati,Aston Villa,0
12,Jacob Ramsey,Aston Villa,0
14,Jacob Murphy,Newcastle,1
15,Miguel Almirón Rejala,Newcastle,1
16,Boubacar Kamara,Aston Villa,1
18,Anthony Gordon,Newcastle,1
19,Isaac Hayden,Newcastle,0
20,Ryan Fraser,Newcastle,0
21,Elliot Anderson,Newcastle,1
24,Bertrand Traoré,Aston Villa,0
28,Douglas Luiz Soares de Paulo,Aston Villa,1
29,Philippe Coutinho Correia,Aston Villa,0
31,Jeff Hendrick,Newcastle,0
34,John McGinn,Aston Villa,1
38,Garang Kuol,Newcastle,0
39,Youri Tielemans,Aston Villa,1
44,Leander Dendoncker,Aston Villa,0
45,Leon Bailey,Aston Villa,1
52,Tim Iroegbunam,Aston Villa,0
59,Matt Ritchie,Newcastle,0
60,Harvey Barnes,Newcastle,0
62,Bruno Guimarães Rodriguez Moura,Newcastle,1
63,Allan Saint-Maximin,Newcastle,0
66,Ben Doak,Liverpool,0
68,Bobby Clark,Liverpool,0
69,James McConnell,Liverpool,0
73,Harvey Elliott,Liverpool,1
75,Alexis Mac Allister,Liverpool,1
76,Thiago Alcántara do Nascimento,Liverpool,0
79,Luis Díaz,Liverpool,1
81,Fabio Henrique Tavares,Liverpool,0
83,Lewis Miley,Newcastle,0
87,Curtis Jones,Liverpool,0
90,Jordan Henderson,Liverpool,0
91,Stefan Bajcetic,Liverpool,0
92,Diogo Teixeira da Silva,Liverpool,1
94,Dominik Szoboszlai,Liverpool,1
97,Mohamed Salah,Liverpool,1
100,Gabriel Martinelli Silva,Arsenal,1
102,Kaoru Mitoma,Brighton,1
104,Kacper Kozłowski,Brighton,0
105,Jeremy Sarmiento Morante,Brighton,0
106,Granit Xhaka,Arsenal,0
108,Facundo Buonanotte,Brighton,1
111,Kai Havertz,Arsenal,1
112,Declan Rice,Arsenal,1
113,James Milner,Brighton,1
117,Julio Enciso,Brighton,0
120,Jakub Moder,Brighton,0
124,Jorge Luiz Frello Filho,Arsenal,1
126,Emile Smith Rowe,Arsenal,1
129,Thomas Partey,Arsenal,1
130,Bukayo Saka,Arsenal,1
131,Mohamed Elneny,Arsenal,0
133,Billy Gilmour,Brighton,1
135,Reiss Nelson,Arsenal,0
136,Simon Adingra,Brighton,1
138,Nicolas Pépé,Arsenal,0
142,Steven Alzate,Brighton,0
143,Solly March,Brighton,1
144,Pascal Groß,Brighton,1
152,Yasin Ayari,Brighton,0
154,Leandro Trossard,Arsenal,1
157,Mahmoud Dahoud,Brighton,1
158,Fábio Ferreira Vieira,Arsenal,1
159,Marcus Oliveira Alencar,Arsenal,0
160,Martin Ødegaard,Arsenal,1
161,Adam Lallana,Brighton,1
167,Shea Charles,Man City,0
168,Kevin De Bruyne,Man City,0
169,Son Heung-min,Spurs,1
172,Tanguy Ndombélé Alvaro,Spurs,0
176,Giovani Lo Celso,Spurs,0
180,Pape Matar Sarr,Spurs,1
187,Bernardo Veiga de Carvalho e Silva,Man City,1
188,Dejan Kulusevski,Spurs,1
190,Oliver Skipp,Spurs,1
191,Oscar Bobb,Man City,0
192,Manor Solomon,Spurs,0
196,Phil Foden,Man City,1
197,James Maddison,Spurs,1
198,Richarlison de Andrade,Spurs,1
199,Riyad Mahrez,Man City,0
203,Yves Bissouma,Spurs,1
205,Kalvin Phillips,Man City,0
206,Mateo Kovačić,Man City,1
208,Jack Grealish,Man City,1
209,Máximo Perrone,Man City,0
211,Pierre-Emile Højbjerg,Spurs,1
212,Rodrigo Hernandez,Man City,1
213,Rodrigo Bentancur,Spurs,0
222,Bryan Gil Salvatierra,Spurs,0
223,Jack Hinshelwood,Brighton,0
225,Tom Davies,Sheffield Utd,0
226,Gustavo Hamer,Sheffield Utd,1
227,Matheus Luiz Nunes,Man City,1
228,Brennan Johnson,Spurs,1
229,Tommy Doyle,Wolves,1
