,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
129,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,5621.0,0.0,0.0,Aaron Connolly,45.0,FWD,Brighton,1,3.0,Luton,6,20,2.7777777777777777,4,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,0.0,False,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,85483.0,0.0,0.0,Aaron Cresswell,45.0,DEF,West Ham,1,1.0,Bournemouth,14,15,3.896103896103896,0,0.0,1.0,74.0,2235.0,32.0,632.9,411.6,81.0,8.0,439.0,113.0,6.0,0.0,3.0,1.5,47.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.0,True,2023-08-13T13:00:00Z,71.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,11.0,10.8,4.0,2.6,45,0.0,26398.0,0.0,0.0,Aaron Hickey,45.0,DEF,Brentford,1,1.0,Spurs,9,8,2.980132450331126,1,0.0,3.0,63.0,1918.0,30.0,119.8,223.6,98.0,2.0,310.0,44.2,5.0,0.0,7.0,0.3,49.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.0,True,2023-08-12T12:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,12.6,0.0,0.0,1.3,50,0.0,1510016.0,0.0,0.0,Aaron Ramsdale,50.0,GKP,Arsenal,1,3.0,Nott'm Forest,2,16,2.7777777777777777,0,0.0,0.0,143.0,3420.0,43.0,0.0,761.4,0.0,9.0,664.0,76.2,14.0,0.0,1.0,11.4,48.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,12.0,True,2023-08-14T19:00:00Z,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,42.4,33.7,6.0,8.2,45,0.0,122037.0,0.0,0.0,Aaron Wan-Bissaka,45.0,DEF,Man Utd,1,3.0,Wolves,3,13,2.623906705539359,4,0.0,0.0,67.0,1432.0,10.0,221.9,290.4,143.0,3.0,308.0,65.5,8.0,0.0,2.0,1.8,43.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2.0,True,2023-08-12T14:00:00Z,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.8,34.4,25.0,6.8,55,0.0,18521.0,0.0,0.0,Abdoulaye Doucouré,55.0,MID,Everton,1,0.0,Fulham,17,10,4.435483870967742,0,5.0,2.0,76.0,1527.0,27.0,261.2,315.8,229.0,10.0,263.0,80.3,4.0,1.0,6.0,0.2,53.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.0,True,2023-08-13T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,541.0,0.0,0.0,Abdul Rahman Baba,40.0,DEF,Chelsea,1,1.0,Liverpool,12,5,2.0050125313283207,12,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,17210.0,0.0,0.0,Adam Davies,40.0,GKP,Sheffield Utd,1,0.0,Crystal Palace,20,11,3.6036036036036037,1,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,6587.0,0.0,0.0,Adam Lallana,50.0,MID,Brighton,1,3.0,Luton,6,20,3.0864197530864197,4,2.0,1.0,47.0,717.0,10.0,186.7,144.2,152.0,4.0,146.0,48.5,5.0,0.0,0.0,0.1,48.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0.0,True,2023-08-12T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,2685.0,0.0,0.0,Adam Smith,45.0,DEF,Bournemouth,1,1.0,West Ham,15,14,3.1578947368421053,0,0.0,1.0,74.0,2940.0,58.0,261.6,406.2,88.0,5.0,400.0,75.7,7.0,0.0,11.0,0.2,43.0,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
