,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
160,,False,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Adam Webster,,DEF,Brighton,2,,Wolves,6,13,2.7027027027027026,2,0.0,0.0,75.0,1983.0,27.0,104.0,354.0,126.0,3.0,405.0,58.4,9.0,0.0,2.0,0.5,45.0,DEF,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28853.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,,True,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Adama Traoré,,MID,Fulham,2,,Brentford,10,9,3.5842293906810037,4,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,False,2023-08-25T19:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Admiral Muskwe,,FWD,Luton,2,,Chelsea,20,12,2.662721893491124,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21151.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,,True,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,40,,,,,Adrián San Miguel del Castillo,,GKP,Liverpool,2,,Bournemouth,5,15,2.43161094224924,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,38.0,GK,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27036.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,,False,2023-08-25T19:00:00Z,,,,,,,,,,,,,,,,,,40,,,,,Aidan Francis-Clarke,,DEF,Luton,2,,Chelsea,20,12,2.366863905325444,4,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,False,2023-08-21T19:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Albert Sambi Lokonga,,MID,Arsenal,2,,Crystal Palace,2,11,2.7917364600781687,10,0.0,0.0,23.0,728.0,8.0,57.2,98.4,20.0,0.0,129.0,17.6,2.0,0.0,2.0,0.2,43.0,MID,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,,False,2023-08-19T16:30:00Z,,,,,,,,,,,,,,,,,,50,,,,,Alejandro Garnacho,,MID,Man Utd,2,,Spurs,3,8,2.73224043715847,7,3.0,2.0,39.0,557.0,13.0,58.5,153.8,266.0,0.0,81.0,47.9,0.0,0.0,3.0,1.5,41.0,MID,2023-24,0.0,0.0,4.0,1.0,3.8,0.0,0.0,1.5,0.0,67.0,0.0,0.0,0.0,0.0,0.0,221486.0,14.0,3.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,,True,2023-08-19T16:30:00Z,,,,,,,,,,,,,,,,,,55,,,,,Alejo Véliz,,FWD,Spurs,2,,Man Utd,8,3,3.0054644808743167,1,,,,,,,,,,,,,,,,,,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,True,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,75,,,,,Aleksandar Mitrović,,FWD,Fulham,2,,Brentford,10,9,5.376344086021505,0,14.0,2.0,107.0,2010.0,30.0,216.5,584.8,1141.0,14.0,324.0,193.1,7.0,0.0,7.0,12.5,66.0,FWD,2023-24,0.0,0.0,6.0,0.0,0.3,0.0,0.0,3.3,6.4,32.0,0.0,0.0,0.0,0.0,0.0,364552.0,26.0,1.0,0.0,0.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,,False,2023-08-20T13:00:00Z,,,,,,,,,,,,,,,,,,55,,,,,Alex Iwobi,,MID,Everton,2,,Aston Villa,17,7,3.7162162162162162,0,2.0,8.0,126.0,3379.0,56.0,917.7,682.4,366.0,9.0,563.0,196.7,9.0,0.0,2.0,1.1,49.0,MID,2023-24,0.0,0.0,9.0,0.0,40.7,1.0,0.0,10.6,19.4,90.0,0.0,0.0,0.0,0.0,0.0,75742.0,46.0,2.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
