index,name,team,points,value
Kieran Trippier2023-08-12T16:30:00Z,Kieran Trippier,Newcastle,3.9966449413567213,65
Rúben Gato Alves Dias2023-08-11T19:00:00Z,Rúben Gato Alves Dias,Man City,3.9821001841744352,55
João Cancelo2023-08-11T19:00:00Z,João Cancelo,Man City,3.97412095687339,60
Joël Veltman2023-08-12T14:00:00Z,Joël Veltman,Brighton,3.9624442858236435,45
Adam Webster2023-08-12T14:00:00Z,Adam Webster,Brighton,3.9462665358053046,45
John Stones2023-08-11T19:00:00Z,John Stones,Man City,3.9023680899589106,55
Lewis Dunk2023-08-12T14:00:00Z,Lewis Dunk,Brighton,3.864768737774593,50
Reece James2023-08-13T15:30:00Z,Reece James,Chelsea,3.803412037163169,55
Pervis Estupiñán2023-08-12T14:00:00Z,Pervis Estupiñán,Brighton,3.8009144583656944,50
Manuel Akanji2023-08-11T19:00:00Z,Manuel Akanji,Man City,3.786501121574827,50
Andrew Robertson2023-08-13T15:30:00Z,Andrew Robertson,Liverpool,3.783345582778801,65
Ben Chilwell2023-08-13T15:30:00Z,Ben Chilwell,Chelsea,3.755375043984705,55
Gabriel dos Santos Magalhães2023-08-12T11:30:00Z,Gabriel dos Santos Magalhães,Arsenal,3.753317918257987,50
Dan Burn2023-08-12T16:30:00Z,Dan Burn,Newcastle,3.715599511770592,45
Fabian Schär2023-08-12T16:30:00Z,Fabian Schär,Newcastle,3.673665039925576,50
Oleksandr Zinchenko2023-08-12T11:30:00Z,Oleksandr Zinchenko,Arsenal,3.6685469481364197,50
William Saliba2023-08-12T11:30:00Z,William Saliba,Arsenal,3.6428882236775912,50
Benjamin White2023-08-12T11:30:00Z,Benjamin White,Arsenal,3.640110314199187,55
Diogo Dalot Teixeira2023-08-14T19:00:00Z,Diogo Dalot Teixeira,Man Utd,3.625704005343742,50
Trent Alexander-Arnold2023-08-13T15:30:00Z,Trent Alexander-Arnold,Liverpool,3.6182887674318924,80
Luke Shaw2023-08-14T19:00:00Z,Luke Shaw,Man Utd,3.612121650781962,55
