index,name,team,points,value
Mohamed Salah2023-08-13T15:30:00Z,Mohamed Salah,Liverpool,12.358239200416357,125
Kevin De Bruyne2023-08-11T19:00:00Z,Kevin De Bruyne,Man City,7.1460196845804465,105
Bruno Borges Fernandes2023-08-14T19:00:00Z,Bruno Borges Fernandes,Man Utd,6.5933279824841895,85
Bukayo Saka2023-08-12T11:30:00Z,Bukayo Saka,Arsenal,6.050806718354199,85
Martin Ødegaard2023-08-12T11:30:00Z,Martin Ødegaard,Arsenal,5.174048092475295,85
Gabriel Martinelli Silva2023-08-12T11:30:00Z,Gabriel Martinelli Silva,Arsenal,4.899228234148987,80
Solly March2023-08-12T14:00:00Z,Solly March,Brighton,4.708994981613453,65
Pascal Groß2023-08-12T14:00:00Z,Pascal Groß,Brighton,4.686204050999623,65
Phil Foden2023-08-11T19:00:00Z,Phil Foden,Man City,4.474744758620438,75
Kaoru Mitoma2023-08-12T14:00:00Z,Kaoru Mitoma,Brighton,4.411997606338816,65
Eberechi Eze2023-08-12T14:00:00Z,Eberechi Eze,Crystal Palace,4.32049278314912,65
Jack Grealish2023-08-11T19:00:00Z,Jack Grealish,Man City,4.1836334404749005,75
Marcus Rashford2023-08-14T19:00:00Z,Marcus Rashford,Man Utd,4.176691154111034,90
Riyad Mahrez2023-08-11T19:00:00Z,Riyad Mahrez,Man City,4.176505991025554,75
Son Heung-min2023-08-13T13:00:00Z,Son Heung-min,Spurs,3.8753397118227686,90
Leandro Trossard2023-08-12T11:30:00Z,Leandro Trossard,Arsenal,3.7589905457264132,70
Bernardo Veiga de Carvalho e Silva2023-08-11T19:00:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.7508526561900353,65
Kai Havertz2023-08-12T11:30:00Z,Kai Havertz,Arsenal,3.7462670968148277,75
Jarrod Bowen2023-08-12T14:00:00Z,Jarrod Bowen,West Ham,3.6682510994132413,70
Michael Olise2023-08-12T14:00:00Z,Michael Olise,Crystal Palace,3.4552284385168086,60
James Maddison2023-08-13T13:00:00Z,James Maddison,Spurs,3.437354688606831,75
Raheem Sterling2023-08-13T15:30:00Z,Raheem Sterling,Chelsea,3.4199233900358816,70
Bryan Mbeumo2023-08-13T13:00:00Z,Bryan Mbeumo,Brentford,3.4098121520104065,65
Jadon Sancho2023-08-14T19:00:00Z,Jadon Sancho,Man Utd,3.383607231354269,70
Antony Matheus dos Santos2023-08-14T19:00:00Z,Antony Matheus dos Santos,Man Utd,3.3672621235503977,70
Dominik Szoboszlai2023-08-13T15:30:00Z,Dominik Szoboszlai,Liverpool,3.3434862232038856,70
Harvey Barnes2023-08-12T16:30:00Z,Harvey Barnes,Newcastle,3.3403554968181797,65
Diogo Teixeira da Silva2023-08-13T15:30:00Z,Diogo Teixeira da Silva,Liverpool,3.3389249210254786,80
Lucas Tolentino Coelho de Lima2023-08-12T14:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,3.3236302851661277,60
Miguel Almirón Rejala2023-08-12T16:30:00Z,Miguel Almirón Rejala,Newcastle,3.3124880367689715,65
Saïd Benrahma2023-08-12T14:00:00Z,Saïd Benrahma,West Ham,3.3117954304380786,60
Andreas Hoelgebaum Pereira2023-08-12T14:00:00Z,Andreas Hoelgebaum Pereira,Fulham,3.310136111345528,55
Luis Díaz2023-08-13T15:30:00Z,Luis Díaz,Liverpool,3.286840556639937,75
Alex Iwobi2023-08-12T14:00:00Z,Alex Iwobi,Everton,3.269515873756577,55
Dejan Kulusevski2023-08-13T13:00:00Z,Dejan Kulusevski,Spurs,3.2685303564239483,70
Mason Mount2023-08-14T19:00:00Z,Mason Mount,Man Utd,3.268411249082455,70
Richarlison de Andrade2023-08-13T13:00:00Z,Richarlison de Andrade,Spurs,3.0663997103013707,70
Alexis Mac Allister2023-08-13T15:30:00Z,Alexis Mac Allister,Liverpool,3.063003426289121,60
Jordan Ayew2023-08-12T14:00:00Z,Jordan Ayew,Crystal Palace,3.061394904387398,55
Declan Rice2023-08-12T11:30:00Z,Declan Rice,Arsenal,3.050406601153129,55
Willian Borges da Silva2023-08-12T14:00:00Z,Willian Borges da Silva,Fulham,3.0178499114482866,55
Bobby De Cordova-Reid2023-08-12T14:00:00Z,Bobby De Cordova-Reid,Fulham,3.011474114491145,55
Dwight McNeil2023-08-12T14:00:00Z,Dwight McNeil,Everton,3.0105652941889627,55
Granit Xhaka2023-08-12T11:30:00Z,Granit Xhaka,Arsenal,3.0098462822510195,60
Moussa Diaby2023-08-12T16:30:00Z,Moussa Diaby,Aston Villa,2.9990998262575,65
Philip Billing2023-08-12T14:00:00Z,Philip Billing,Bournemouth,2.9953286187353845,55
Demarai Gray2023-08-12T14:00:00Z,Demarai Gray,Everton,2.990316215264499,55
Harry Wilson2023-08-12T14:00:00Z,Harry Wilson,Fulham,2.9678043066487,55
Marcus Tavernier2023-08-12T14:00:00Z,Marcus Tavernier,Bournemouth,2.9493290564673664,55
Arnaut Danjuma Groeneveld2023-08-12T14:00:00Z,Arnaut Danjuma Groeneveld,Everton,2.9426124302946985,55
Abdoulaye Doucouré2023-08-12T14:00:00Z,Abdoulaye Doucouré,Everton,2.9111479303814543,55
