,name,team_x,minutes
2541,Kaoru Mitoma,Brighton,1
2568,Keane Lewis-Potter,Brentford,1
2611,Kevin De Bruyne,Man City,1
2656,Kiernan Dewsbury-Hall,Leicester,1
2657,Killian Phillips,Crystal Palace,0
2734,Leander Dendoncker,Aston Villa,0
2741,Leandro Trossard,Brighton,1
2757,Leon Bailey,Aston Villa,1
2771,Lewis Bate,Leeds,0
2789,Lewis Cook,Bournemouth,1
2805,Lewis O'Brien,Nott'm Forest,1
2814,Lewis Warrington,Everton,0
2876,Lucas Rodrigues Moura da Silva,Spurs,0
2877,Lucas Tolentino Coelho de Lima,West Ham,0
2886,Lucas Torreira di Pascua,Arsenal,0
2902,Luis Díaz,Liverpool,1
2909,Luis Sinisterra Lucumí,Leeds,1
2916,Luka Milivojevic,Crystal Palace,0
2947,Luke Cundle,Wolves,0
2956,Luke Harris,Fulham,0
3024,Mads Bidstrup,Brentford,0
3047,Malcolm Ebiowei,Crystal Palace,0
3056,Manor Solomon,Fulham,0
3066,Manuel Lanzini,West Ham,0
3075,Marc Albrighton,Leicester,0
3096,Marc Roca Junqué,Leeds,1
3123,Marcus Oliveira Alencar,Arsenal,0
3130,Marcus Rashford,Man Utd,1
3139,Marcus Tavernier,Bournemouth,1
3173,Martin Ødegaard,Arsenal,1
3182,Marvelous Nakamba,Aston Villa,0
3198,Mason Mount,Chelsea,1
3206,Mateo Kovacic,Chelsea,1
3213,Mateusz Klich,Leeds,1
3223,Matheus Luiz Nunes,Wolves,0
3232,Mathias Jensen,Brentford,1
3286,Matthew Smith,Arsenal,0
3304,Maxwel Cornet,West Ham,0
3320,Michael Olise,Crystal Palace,1
3338,Miguel Almirón Rejala,Newcastle,1
3339,Mikkel Damsgaard,Brentford,0
3357,Mohamed Elneny,Arsenal,0
3366,Mohamed Elyounoussi,Southampton,1
3373,Mohamed Salah,Liverpool,1
3389,Moisés Caicedo Corozo,Brighton,1
3397,Morgan Gibbs-White,Nott'm Forest,1
3406,Morgan Sanson,Aston Villa,0
3415,Moussa Djenepo,Southampton,1
3431,N'Golo Kanté,Chelsea,0
3438,Naby Keita,Liverpool,0
3447,Nampalys Mendy,Leicester,0
3489,Nathan Redmond,Southampton,0
3498,Nathan Tella,Southampton,0
3507,Nathaniel Chalobah,Fulham,0
3557,Neeskens Kebano,Fulham,1
3575,Nicolas Pépé,Arsenal,0
3593,Nikola Vlasic,West Ham,0
3636,Oliver Hammond,Nott'm Forest,0
3645,Oliver Skipp,Spurs,0
3672,Orel Mangala,Nott'm Forest,0
3681,Oriol Romeu Vidal,Southampton,0
3691,Pablo Fornals Malla,West Ham,1
3709,Pape Matar Sarr,Spurs,0
3716,Pascal Groß,Brighton,1
3765,Pedro Lomba Neto,Wolves,1
3775,Phil Foden,Man City,1
3791,Philip Billing,Bournemouth,1
3800,Philippe Coutinho Correia,Aston Villa,1
3810,Pierre-Emile Højbjerg,Spurs,1
3826,Raheem Sterling,Chelsea,1
3833,Raphael Dias Belloli,Leeds,0
3881,Reiss Nelson,Arsenal,0
3889,Remo Freuler,Nott'm Forest,0
3951,Riyad Mahrez,Man City,1
4006,Rodrigo Bentancur,Spurs,1
4015,Rodrigo Hernandez,Man City,1
4022,Rodrigo Moreno,Leeds,1
4049,Roméo Lavia,Southampton,0
4056,Ross Barkley,Chelsea,0
4063,Ruben Loftus-Cheek,Chelsea,1
4081,Ryan Christie,Bournemouth,1
4090,Ryan Fraser,Newcastle,1
4109,Ryan Trevitt,Brentford,0
4118,Ryan Yates,Nott'm Forest,1
4144,Rúben da Silva Neves,Wolves,1
4185,Saman Ghoddos,Brentford,0
4186,Samuel Edozie,Southampton,0
4196,Saïd Benrahma,West Ham,1
4221,Scott McTominay,Man Utd,1
4239,Sean Longstaff,Newcastle,1
4275,Shandon Baptiste,Brentford,1
4293,Siriki Dembélé,Bournemouth,0
4300,Solly March,Brighton,1
4309,Son Heung-min,Spurs,1
4318,Stanley Mills,Everton,0
4325,Stefan Bajcetic,Liverpool,0
4351,Steven Alzate,Brighton,0
4360,Steven Bergwijn,Spurs,0
4369,Stuart Armstrong,Southampton,1
4426,Taylor Richards,Brighton,0
4445,Theo Walcott,Southampton,0
4452,Thiago Alcántara do Nascimento,Liverpool,0
4469,Thomas Partey,Arsenal,1
4487,Tim Iroegbunam,Aston Villa,0
4530,Tom Cairney,Fulham,1
4539,Tom Davies,Everton,1
4555,Tomas Soucek,West Ham,1
4602,Tyler Adams,Leeds,1
4609,Tyler Roberts,Leeds,0
4625,Tyrese Francois,Fulham,0
4680,Vitaly Janelt,Brentford,1
4714,Wilfred Ndidi,Leicester,1
4722,Wilfried Zaha,Crystal Palace,1
4738,Will Hughes,Crystal Palace,0
4747,Will Smallbone,Southampton,0
4757,Willian Borges da Silva,Fulham,0
4785,Xande Nascimento da Costa Silva,Nott'm Forest,0
4820,Yoane Wissa,Brentford,1
4829,Youri Tielemans,Leicester,1
4838,Yves Bissouma,Spurs,0
4854,Zidane Iqbal,Man Utd,0
